source,group,n,n_lesions,accuracy,mean_confidence,signed_gap,signed_gap_ci_lo,signed_gap_ci_hi,ece,ece_ci_lo,ece_ci_hi,accuracy_ci_lo,accuracy_ci_hi,accuracy_interval_method,adequately_powered
uncalibrated,40-59,3112,2522,0.9000642673521851,0.7098589267576425,-0.19020534059454264,-0.2012992753552972,-0.1781092488562645,0.19086935289788454,0.18066410565291952,0.2027081759079414,0.8861282709263488,0.9129152972714112,grouped_bootstrap,True
uncalibrated,60+,2512,1765,0.7906050955414012,0.6715185824050225,-0.11908651313637875,-0.1366978525296703,-0.10077123674978629,0.12005023919580023,0.10396844222270499,0.13753682148371169,0.7696217834960071,0.8106350500683365,grouped_bootstrap,True
uncalibrated,<40,1319,907,0.9302501895375285,0.7012794572976623,-0.2289707322398662,-0.24586737416277735,-0.21280924952992905,0.22897073223986614,0.2138147279048762,0.2465029200415039,0.9121226170939518,0.9476488303834908,grouped_bootstrap,True
uncalibrated,unknown,38,35,0.8947368421052632,0.721349974118421,-0.17338686798684222,-0.2520076117968282,-0.07752522054302097,0.2572554777149122,0.23586800196234162,0.2967879897417683,0.7631578947368421,1.0,grouped_bootstrap,True
uncalibrated,ALL,6981,5229,0.8663515255694026,0.6945043062975672,-0.17184721927183544,-0.18043178813116909,-0.16316398586039108,0.17214601536455384,0.1639518217460188,0.1809926378919214,0.8566932424457263,0.8766758197078248,grouped_bootstrap,True
dirichlet_global,40-59,3112,2522,0.9039203084832905,0.9084484432428763,0.0045281347595858,-0.006441958612498077,0.016002301213505956,0.026036152690649066,0.019732049395350275,0.03778293817240725,0.8899349168373419,0.9169861714483966,grouped_bootstrap,True
dirichlet_global,60+,2512,1765,0.7894108280254777,0.8304096310838922,0.040998803058414524,0.02388241497178875,0.058831573267088134,0.041028302670776395,0.030148382469702344,0.06095133140067164,0.7686501327965164,0.8097569022316937,grouped_bootstrap,True
dirichlet_global,<40,1319,907,0.9347990902198635,0.9078750637549599,-0.02692402646490366,-0.0423898582249054,-0.011676700158938203,0.027632982983085412,0.021864658750033697,0.045086200726522745,0.9175015481484379,0.95140838634361,grouped_bootstrap,True
dirichlet_global,unknown,38,35,0.9473684210526315,0.9173482829337737,-0.030020138118857842,-0.08985739592755768,0.038188173569593725,0.08132779803604406,0.04055877789320775,0.13880468895747336,0.8648648648648649,1.0,grouped_bootstrap,True
dirichlet_global,ALL,6981,5229,0.8687867067755336,0.8803075479872288,0.011520841211695165,0.003021581005959475,0.020541046861311887,0.024601595175063624,0.017902339125997684,0.03266013352939834,0.8588911569245002,0.8790681275159778,grouped_bootstrap,True
dirichlet_per_band,40-59,3112,2522,0.9045629820051414,0.9129395857814617,0.008376603776320324,-0.002617313983788046,0.019959343728594793,0.021894400899328623,0.01406623526866611,0.03330589364574658,0.8909715131306041,0.9170936364135873,grouped_bootstrap,True
dirichlet_per_band,60+,2512,1765,0.7981687898089171,0.8135202083833112,0.015351418574394038,-0.0015908582767350302,0.032452342009009934,0.03010063349084814,0.02211871154953841,0.048771554334312225,0.7779510663964597,0.8172388324982068,grouped_bootstrap,True
dirichlet_per_band,<40,1319,907,0.9461713419257013,0.953152441441202,0.006981099515500744,-0.0070380166245652895,0.021163109903584287,0.009522784986614326,0.008338381457090205,0.02634010791352275,0.9303236297528195,0.9616252821670429,grouped_bootstrap,True
dirichlet_per_band,unknown,38,35,0.9473684210526315,0.9173482829337737,-0.030020138118857842,-0.08985739592755768,0.038188173569593725,0.08132779803604406,0.04055877789320775,0.13880468895747336,0.8648648648648649,1.0,grouped_bootstrap,True
dirichlet_per_band,ALL,6981,5229,0.8743732989543045,0.8847870017795754,0.010413702825270876,0.002214366367980994,0.018725434083308463,0.01897862062047821,0.013415104735100304,0.028027372165759686,0.8646734614542472,0.884174463792005,grouped_bootstrap,True
