split,band,n,n_lesions,n_escalating,n_escalating_lesions,n_caught,n_missed,sensitivity,ci_lo,ci_hi,interval_method,clopper_pearson_lo,clopper_pearson_hi,bootstrap_lo,bootstrap_hi,escalating_prior
oof,<40,1319,907.0,64,34.0,35,29.0,0.546875,0.38179653679653686,0.7164179104477612,grouped_bootstrap,0.4174763153160475,0.6717928854962819,0.38179653679653686,0.7164179104477612,0.04852160727824109
oof,40-59,3112,2522.0,397,224.0,243,154.0,0.6120906801007556,0.5468303600708336,0.6743619791666667,grouped_bootstrap,0.5622079062214773,0.6602891154697658,0.5468303600708336,0.6743619791666667,0.1275706940874036
oof,60+,2512,1765.0,893,559.0,655,238.0,0.7334826427771557,0.6966474301243464,0.7678998188151531,grouped_bootstrap,0.7031844900215721,0.7622314683848814,0.6966474301243464,0.7678998188151531,0.3554936305732484
oof,unknown,38,35.0,2,1.0,2,0.0,1.0,0.15811388300841903,1.0,clopper_pearson,0.15811388300841903,1.0,1.0,1.0,0.05263157894736842
oof,ALL,6981,5229.0,1356,818.0,935,421.0,0.68952802359882,0.6568441914429655,0.7206568059543293,grouped_bootstrap,0.6641413495798179,0.7140905586379915,0.6568441914429655,0.7206568059543293,0.19424151267726686
val,<40,267,179.0,22,10.0,12,10.0,0.5454545454545454,0.3221047545531717,0.7561381340769835,clopper_pearson,0.3221047545531717,0.7561381340769835,0.1875,0.8387419354838708,0.08239700374531835
val,40-59,697,558.0,60,33.0,33,27.0,0.55,0.3921185661764707,0.7142857142857143,grouped_bootstrap,0.4161191456332159,0.6787784765366431,0.3921185661764707,0.7142857142857143,0.08608321377331421
val,60+,558,374.0,226,132.0,175,51.0,0.7743362831858407,0.6961983494116991,0.8381840425729862,grouped_bootstrap,0.7142030872571974,0.8271213862550915,0.6961983494116991,0.8381840425729862,0.4050179211469534
val,unknown,10,,0,,0,,,,,,,,,,
val,ALL,1532,1120.0,308,175.0,220,88.0,0.7142857142857143,0.6444224422442245,0.7834459796737416,grouped_bootstrap,0.6603118632414618,0.7640833327174881,0.6444224422442245,0.7834459796737416,0.2010443864229765
