split,group,n,n_lesions,n_escalating,escalating_prior,n_caught,escalation_sensitivity,sens_ci_lo,sens_ci_hi,sens_interval_method,predicted_escalate_rate,suppressed,suppression_reason
oof,40-59 x female,1542,1270,173,0.11219195849546044,98,0.5664739884393064,0.47056386090347746,0.6667168674698792,boot,0.07976653696498054,False,
oof,40-59 x male,1570,1252,224,0.14267515923566879,145,0.6473214285714286,0.5662057379167743,0.7280711860295901,boot,0.12356687898089172,False,
oof,60+ x female,887,618,294,0.3314543404735062,207,0.7040816326530612,0.6393328779599272,0.7687136226331687,boot,0.2818489289740699,False,
oof,60+ x male,1625,1147,599,0.3686153846153846,448,0.7479131886477463,0.7046825777290782,0.7919496312047312,boot,0.3372307692307692,False,
oof,<40 x female,718,473,38,0.052924791086350974,19,0.5,0.33378900611309653,0.6662109938869034,CP,0.04596100278551532,False,
oof,<40 x male,596,432,26,0.0436241610738255,16,0.6153846153846154,0.40570753529859144,0.7977397563449796,CP,0.05536912751677853,False,
oof,<40 x unknown,5,2,0,0.0,0,,,,,0.6,True,n=5 < MIN_GROUP_SIZE=30; escalating=0 < MIN_POSITIVES=10; group contains an 'unknown' attribute level
oof,unknown x female,4,3,0,0.0,0,,,,,0.25,True,n=4 < MIN_GROUP_SIZE=30; escalating=0 < MIN_POSITIVES=10; group contains an 'unknown' attribute level
oof,unknown x male,4,2,2,0.5,2,1.0,0.15811388300841903,1.0,CP,0.5,True,n=4 < MIN_GROUP_SIZE=30; escalating=2 < MIN_POSITIVES=10; group contains an 'unknown' attribute level
oof,unknown x unknown,30,30,0,0.0,0,,,,,0.03333333333333333,True,escalating=0 < MIN_POSITIVES=10; group contains an 'unknown' attribute level
val,40-59 x female,346,284,21,0.06069364161849711,6,0.2857142857142857,0.1128094039219408,0.5217511182471137,CP,0.057803468208092484,False,
val,40-59 x male,349,273,39,0.11174785100286533,27,0.6923076923076923,0.5243086084583155,0.8298040970353053,CP,0.10315186246418338,False,
val,40-59 x unknown,2,1,0,0.0,0,,,,,0.0,True,n=2 < MIN_GROUP_SIZE=30; escalating=0 < MIN_POSITIVES=10; group contains an 'unknown' attribute level
val,60+ x female,203,140,74,0.3645320197044335,58,0.7837837837837838,0.6709429824561405,0.8888888888888888,boot,0.3448275862068966,False,
val,60+ x male,355,234,152,0.428169014084507,117,0.7697368421052632,0.68,0.8561174589739973,boot,0.3971830985915493,False,
val,<40 x female,158,105,16,0.10126582278481013,9,0.5625,0.29877689908317784,0.8024658594673321,CP,0.0759493670886076,False,
val,<40 x male,109,74,6,0.05504587155963303,3,0.5,0.11811724875702523,0.8818827512429748,CP,0.045871559633027525,True,escalating=6 < MIN_POSITIVES=10
val,unknown x male,2,1,0,0.0,0,,,,,0.0,True,n=2 < MIN_GROUP_SIZE=30; escalating=0 < MIN_POSITIVES=10; group contains an 'unknown' attribute level
val,unknown x unknown,8,8,0,0.0,0,,,,,0.0,True,n=8 < MIN_GROUP_SIZE=30; escalating=0 < MIN_POSITIVES=10; group contains an 'unknown' attribute level
