split,class_code,support,f1,ci_lo,ci_hi,ci_width,interval_method
oof,mel,773,0.6066619418851878,0.5674050875929925,0.6449489661124419,0.07754387851944944,grouped_bootstrap
oof,akiec,222,0.7,0.6372082733072648,0.7559808612440191,0.11877258793675427,grouped_bootstrap
oof,df,71,0.7086614173228346,0.5833333333333334,0.8125,0.22916666666666663,grouped_bootstrap
oof,bkl,772,0.7675033025099075,0.7354791271347249,0.7945911139729556,0.05911198683823071,grouped_bootstrap
oof,bcc,361,0.8162692847124825,0.7771040916320822,0.8540249680329528,0.07692087640087064,grouped_bootstrap
oof,vasc,99,0.9081632653061225,0.8542628874710633,0.9482109122196659,0.09394802474860264,grouped_bootstrap
oof,nv,4683,0.9360192046759211,0.9293900640027429,0.9426738527896642,0.013283788786921269,grouped_bootstrap
val,akiec,53,0.6,0.4499859550561798,0.7333544303797467,0.2833684753235669,grouped_bootstrap
val,mel,173,0.688622754491018,0.6007897623949864,0.7593437950182843,0.15855403262329792,grouped_bootstrap
val,df,24,0.7111111111111111,0.4704901960784314,0.8571428571428571,0.3866526610644257,grouped_bootstrap
val,bkl,160,0.7272727272727273,0.6582195203197868,0.7883609385783299,0.13014141825854308,grouped_bootstrap
val,bcc,82,0.8354430379746836,0.7544812015313634,0.9022798932815909,0.14779869175022742,grouped_bootstrap
val,vasc,22,0.85,0.6956521739130435,0.9583749999999998,0.2627228260869563,grouped_bootstrap
val,nv,1018,0.9343704423918328,0.9198363881046765,0.9478260869565217,0.027989698851845213,grouped_bootstrap
