block,rung,coverage,n,macro_f1,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,escalation_sensitivity,escalation_sensitivity_ci_low,escalation_sensitivity_ci_high,missed_serious
A,A1_resnet50,1.0,1502,0.7058054925419847,0.64703273223623,0.7500991572708957,0.7216821842561897,0.6583733712250635,0.7814237552849415,0.7379310344827587,0.6797227099795142,0.7977312043494975,76
A,A2_convnext_tiny,1.0,1502,0.7459089739997812,0.6928197485687191,0.7805656030736481,0.7791613293015797,0.7298578817069934,0.82358695641114,0.7758620689655172,0.7147321428571429,0.8367646023926812,65
A,A3_swinv2_tiny,1.0,1502,0.7273051127142764,0.6678056245603565,0.7767299569901995,0.7116198889651951,0.6529034485720273,0.7748901417299697,0.6620689655172414,0.5955861698612029,0.7309128787878788,98
A,A4_gated_fusion,1.0,1502,0.7410844308650872,0.6844102108319406,0.7870314709698766,0.7433360312252676,0.6901186850637976,0.7971341690471255,0.6862068965517242,0.6180182770961146,0.75,91
A,A5_soft_vote_6cnn,1.0,1502,0.77177818482484,0.7200674041255062,0.8117670905387026,0.7923156340952787,0.7336886126006555,0.8435054712316737,0.7827586206896552,0.7234024822695035,0.8464285714285714,63
A,A6_soft_vote_6cnn_tta,1.0,1502,0.7858695368708531,0.7344530678485448,0.8242240045989362,0.8101965321901371,0.7573575152436388,0.8566936418477624,0.7862068965517242,0.7269413897521715,0.8486848174402797,62
A,A7_tta_dirichlet,1.0,1502,0.8047238352979755,0.7572187831644467,0.8411818410773287,0.793927529107908,0.7363297971854851,0.8424154339689077,0.7310344827586207,0.6679091151385927,0.7977951130813337,78
B,B_margin_abstain05,0.9540612516644474,1433,0.829803092721228,0.7797079715612143,0.8688766707885509,0.8143399705020145,0.7590569053688742,0.8642593201665163,0.7519083969465649,0.6850005417900744,0.8186130312583083,65
B,B_margin_abstain10,0.8921438082556591,1340,0.857653398256514,0.8137016621035444,0.890822200636156,0.8448200419651544,0.7997838222987329,0.8832990138918986,0.762114537444934,0.6912908154356556,0.833350622406639,54
B,B_margin_abstain15,0.8355525965379494,1255,0.8695980603991907,0.825212024217372,0.902002427586344,0.8635777194564221,0.8208966474375428,0.9009492205541657,0.775,0.6956405487096023,0.8550167525773196,45
B,B_margin_abstain20,0.7789613848202397,1170,0.8956567253851093,0.8474544195558502,0.9290689423841787,0.8806106805277134,0.8341030683094153,0.9193001884019577,0.791907514450867,0.7085654761904762,0.8690504005340454,36
