cohort,panel,band,n_images,n_escalating_images,prevalence_image,n_lesions,n_escalating_lesions,prevalence_lesion,auc,ci_low,ci_high,n_boot_used,n_boot_degenerate
ham_oof,"HAM10000 OOF (N=6,981)",<40,1319,64,0.04852160727824109,907,34,0.037486218302094816,0.8953187250996015,0.8368850876381317,0.9437393845545029,1000,0
ham_oof,"HAM10000 OOF (N=6,981)",40-59,3112,397,0.1275706940874036,2522,224,0.08881839809674862,0.954677577225137,0.9417230589216317,0.9668237244981387,1000,0
ham_oof,"HAM10000 OOF (N=6,981)",60+,2512,893,0.3554936305732484,1765,559,0.31671388101983,0.9344839106163028,0.9220159245416366,0.9454258349583421,1000,0
ham_oof,"HAM10000 OOF (N=6,981)",ALL,6943,1354,0.1950165634451966,5194,817,0.15729688101655756,0.9499889395528726,0.9421099188012841,0.9575075333402943,1000,0
bcn20000,"BCN-20000 (N=11,982)",<40,1964,369,0.1878818737270876,618,114,0.18446601941747573,0.7914264597191427,0.7264309568585302,0.8430306973186532,1000,0
bcn20000,"BCN-20000 (N=11,982)",40-59,4138,1805,0.4362010633156114,1150,445,0.3869565217391304,0.8263360931260856,0.8000821030623784,0.8506085076612587,1000,0
bcn20000,"BCN-20000 (N=11,982)",60+,5806,4207,0.7245952462969342,1663,1175,0.7065544197233915,0.7945171044477078,0.770509722654307,0.8183620667200262,1000,0
bcn20000,"BCN-20000 (N=11,982)",ALL,11908,6381,0.5358582465569365,3427,1733,0.5056901079661511,0.8388135751188472,0.8248675170275614,0.8514171472581059,1000,0
mskcc,"MSKCC (N=2,903)",<40,756,36,0.047619047619047616,756,36,0.047619047619047616,0.7902777777777777,0.7030300940474954,0.8671759692862304,1000,0
mskcc,"MSKCC (N=2,903)",40-59,827,123,0.1487303506650544,826,122,0.14769975786924938,0.6930432372505542,0.639005619717816,0.7459265865748854,1000,0
mskcc,"MSKCC (N=2,903)",60+,1010,321,0.3178217821782178,995,310,0.31155778894472363,0.6937816782641328,0.6574273700832827,0.7291262258350713,1000,0
mskcc,"MSKCC (N=2,903)",ALL,2593,480,0.18511376783648284,2575,466,0.18097087378640778,0.7346278987221959,0.7096862075278623,0.7625322800557806,1000,0
