cohort,panel,band,n_images,n_escalating_images,prevalence_image,n_lesions,n_escalating_lesions,prevalence_lesion,rule,label,numerator,denominator,point,clopper_pearson_95,grouped_bootstrap_95,primary_interval,n_lesions_positive,interval,interval_method,specificity,specificity_interval,referral_rate,missed_serious,nnb_pi_03,macro_f1,lesion_level,melanoma_only,escalating_class_mix
ham_oof,"HAM10000 OOF (N=6,981)",<40,1319,64,0.04852160727824109,907,34,0.037486218302094816,argmax,ham_oof <40 argmax,35,64,0.546875,"[0.4174763153160475, 0.6717928854962819]","[0.390625, 0.7083786231884056]",grouped_bootstrap,34,"[0.390625, 0.7083786231884056]",boot,0.9752988047808765,"[0.9638927984987098, 0.9857032225121979]",0.050037907505686124,29,2.46,0.7866656600267002,"{'label': 'lesion-level <40', 'numerator': 17, 'denominator': 34, 'n_lesions': 34, 'point': 0.5, 'clopper_pearson_95': [0.32426927002132094, 0.675730729978679], 'grouped_bootstrap_95': [0.35294117647058826, 0.6764705882352942], 'primary_interval': 'clopper_pearson', 'interval': [0.32426927002132094, 0.675730729978679]}","{'label': 'HAM10000 OOF (N=6,981) <40 melanoma-only', 'numerator': 25, 'denominator': 51, 'n_lesions': 28, 'point': 0.49019607843137253, 'clopper_pearson_95': [0.3475279629951143, 0.634042860329036], 'grouped_bootstrap_95': [0.3, 0.6808510638297872], 'primary_interval': 'clopper_pearson', 'interval': [0.3475279629951143, 0.634042860329036], 'interval_method': 'CP'}","{'akiec': 1, 'bcc': 12, 'mel': 51}"
ham_oof,"HAM10000 OOF (N=6,981)",40-59,3112,397,0.1275706940874036,2522,224,0.08881839809674862,argmax,ham_oof 40-59 argmax,243,397,0.6120906801007556,"[0.5622079062214773, 0.6602891154697658]","[0.5452141472868217, 0.6745438320209973]",grouped_bootstrap,224,"[0.5452141472868217, 0.6745438320209973]",boot,0.972744014732965,"[0.9646885303734919, 0.980046447076548]",0.1018637532133676,154,2.44,0.7953785355621766,"{'label': 'lesion-level 40-59', 'numerator': 149, 'denominator': 224, 'n_lesions': 224, 'point': 0.6651785714285714, 'clopper_pearson_95': [0.5992646693784419, 0.7266527468506169], 'grouped_bootstrap_95': [0.6026785714285714, 0.7232142857142857], 'primary_interval': 'grouped_bootstrap', 'interval': [0.6026785714285714, 0.7232142857142857]}","{'label': 'HAM10000 OOF (N=6,981) 40-59 melanoma-only', 'numerator': 137, 'denominator': 280, 'n_lesions': 144, 'point': 0.48928571428571427, 'clopper_pearson_95': [0.4293335713931557, 0.549466972431555], 'grouped_bootstrap_95': [0.4075310755961441, 0.5663113767952478], 'primary_interval': 'grouped_bootstrap', 'interval': [0.4075310755961441, 0.5663113767952478], 'interval_method': 'boot'}","{'akiec': 43, 'bcc': 74, 'mel': 280}"
ham_oof,"HAM10000 OOF (N=6,981)",60+,2512,893,0.3554936305732484,1765,559,0.31671388101983,argmax,ham_oof 60+ argmax,659,893,0.7379619260918253,"[0.707805388951449, 0.7665392031093345]","[0.7005495672793365, 0.7734838056807397]",grouped_bootstrap,559,"[0.7005495672793365, 0.7734838056807397]",boot,0.9141445336627548,"[0.8984750804852728, 0.9301188881586063]",0.3176751592356688,234,4.76,0.7723500315044761,"{'label': 'lesion-level 60+', 'numerator': 422, 'denominator': 559, 'n_lesions': 559, 'point': 0.7549194991055456, 'clopper_pearson_95': [0.7170754680535878, 0.7900442330224484], 'grouped_bootstrap_95': [0.7191413237924866, 0.7906976744186046], 'primary_interval': 'grouped_bootstrap', 'interval': [0.7191413237924866, 0.7906976744186046]}","{'label': 'HAM10000 OOF (N=6,981) 60+ melanoma-only', 'numerator': 281, 'denominator': 440, 'n_lesions': 257, 'point': 0.6386363636363637, 'clopper_pearson_95': [0.5917991647554239, 0.6835954915104069], 'grouped_bootstrap_95': [0.5803435194500336, 0.6961604780801209], 'primary_interval': 'grouped_bootstrap', 'interval': [0.5803435194500336, 0.6961604780801209], 'interval_method': 'boot'}","{'akiec': 178, 'bcc': 275, 'mel': 440}"
ham_oof,"HAM10000 OOF (N=6,981)",ALL,6943,1354,0.1950165634451966,5194,817,0.15729688101655756,argmax,ham_oof ALL argmax,937,1354,0.6920236336779911,"[0.6666669786052734, 0.7165440183243778]","[0.659429910901633, 0.7243483899035364]",grouped_bootstrap,817,"[0.659429910901633, 0.7243483899035364]",boot,0.9563428162461979,"[0.9495616100296154, 0.9631003155306808]",0.1700993806711796,417,3.04,0.7843541969443419,"{'label': 'lesion-level ALL', 'numerator': 588, 'denominator': 817, 'n_lesions': 817, 'point': 0.7197062423500612, 'clopper_pearson_95': [0.687541023928127, 0.750277036152511], 'grouped_bootstrap_95': [0.6891064871481029, 0.7503059975520195], 'primary_interval': 'grouped_bootstrap', 'interval': [0.6891064871481029, 0.7503059975520195]}","{'label': 'HAM10000 OOF (N=6,981) ALL melanoma-only', 'numerator': 443, 'denominator': 771, 'n_lesions': 429, 'point': 0.5745784695201037, 'clopper_pearson_95': [0.5388018115758129, 0.6097826080219835], 'grouped_bootstrap_95': [0.5303980750044833, 0.6216702052370842], 'primary_interval': 'grouped_bootstrap', 'interval': [0.5303980750044833, 0.6216702052370842], 'interval_method': 'boot'}","{'akiec': 222, 'bcc': 361, 'mel': 771}"
bcn20000,"BCN-20000 (N=11,982)",<40,1964,369,0.1878818737270876,618,114,0.18446601941747573,argmax,bcn20000 <40 argmax,103,369,0.2791327913279133,"[0.23394235969685057, 0.3279076391248137]","[0.1792702027047378, 0.3820605700712588]",grouped_bootstrap,114,"[0.1792702027047378, 0.3820605700712588]",boot,0.9843260188087775,"[0.9744858262236671, 0.992401091884579]",0.06517311608961303,266,2.82,0.35808968756010484,"{'label': 'lesion-level <40', 'numerator': 24, 'denominator': 114, 'n_lesions': 114, 'point': 0.21052631578947367, 'clopper_pearson_95': [0.1397897150863499, 0.2968582650577121], 'grouped_bootstrap_95': [0.14035087719298245, 0.28092105263157774], 'primary_interval': 'clopper_pearson', 'interval': [0.1397897150863499, 0.2968582650577121]}","{'label': 'BCN-20000 (N=11,982) <40 melanoma-only', 'numerator': 60, 'denominator': 219, 'n_lesions': 50, 'point': 0.273972602739726, 'clopper_pearson_95': [0.21604774962169665, 0.3381293899708526], 'grouped_bootstrap_95': [0.12055865597023603, 0.4353483036707453], 'primary_interval': 'grouped_bootstrap', 'interval': [0.12055865597023603, 0.4353483036707453], 'interval_method': 'boot'}","{'akiec': 20, 'bcc': 130, 'mel': 219}"
bcn20000,"BCN-20000 (N=11,982)",40-59,4138,1805,0.4362010633156114,1150,445,0.3869565217391304,argmax,bcn20000 40-59 argmax,650,1805,0.3601108033240997,"[0.3379310167351173, 0.38274624489658926]","[0.3159275161757428, 0.40634335643439956]",grouped_bootstrap,445,"[0.3159275161757428, 0.40634335643439956]",boot,0.9772824689241321,"[0.9681685475521146, 0.9851928040918355]",0.16988883518608022,1155,3.04,0.4104277296624449,"{'label': 'lesion-level 40-59', 'numerator': 146, 'denominator': 445, 'n_lesions': 445, 'point': 0.32808988764044944, 'clopper_pearson_95': [0.28461207817721057, 0.3738716967942773], 'grouped_bootstrap_95': [0.2853932584269663, 0.3708426966292132], 'primary_interval': 'grouped_bootstrap', 'interval': [0.2853932584269663, 0.3708426966292132]}","{'label': 'BCN-20000 (N=11,982) 40-59 melanoma-only', 'numerator': 339, 'denominator': 1010, 'n_lesions': 182, 'point': 0.33564356435643566, 'clopper_pearson_95': [0.30654096778903983, 0.3657078081012882], 'grouped_bootstrap_95': [0.2644993583454613, 0.4049481289968896], 'primary_interval': 'grouped_bootstrap', 'interval': [0.2644993583454613, 0.4049481289968896], 'interval_method': 'boot'}","{'akiec': 109, 'bcc': 686, 'mel': 1010}"
bcn20000,"BCN-20000 (N=11,982)",60+,5806,4207,0.7245952462969342,1663,1175,0.7065544197233915,argmax,bcn20000 60+ argmax,1726,4207,0.4102685999524602,"[0.3953528262875751, 0.4253091012438771]","[0.3841271064807856, 0.4374195769270674]",grouped_bootstrap,1175,"[0.3841271064807856, 0.4374195769270674]",boot,0.9168230143839899,"[0.8952250504841093, 0.9360911391146339]",0.32018601446779194,2481,7.56,0.373919551467177,"{'label': 'lesion-level 60+', 'numerator': 478, 'denominator': 1175, 'n_lesions': 1175, 'point': 0.40680851063829787, 'clopper_pearson_95': [0.37855817205823533, 0.4355265331995855], 'grouped_bootstrap_95': [0.37872340425531914, 0.43659574468085105], 'primary_interval': 'grouped_bootstrap', 'interval': [0.37872340425531914, 0.43659574468085105]}","{'label': 'BCN-20000 (N=11,982) 60+ melanoma-only', 'numerator': 595, 'denominator': 1615, 'n_lesions': 290, 'point': 0.3684210526315789, 'clopper_pearson_95': [0.3448426243974947, 0.3924788452645879], 'grouped_bootstrap_95': [0.31985769395147023, 0.4157182452155809], 'primary_interval': 'grouped_bootstrap', 'interval': [0.31985769395147023, 0.4157182452155809], 'interval_method': 'boot'}","{'akiec': 605, 'bcc': 1987, 'mel': 1615}"
bcn20000,"BCN-20000 (N=11,982)",ALL,11908,6381,0.5358582465569365,3427,1733,0.5056901079661511,argmax,bcn20000 ALL argmax,2479,6381,0.3884971007679047,"[0.3765129304585205, 0.4005832759891598]","[0.36657548169744264, 0.41089058248594806]",grouped_bootstrap,1733,"[0.36657548169744264, 0.41089058248594806]",boot,0.9618237741993848,"[0.954240953951916, 0.9694630771911416]",0.22589855559287875,3902,4.18,0.4022005046713447,"{'label': 'lesion-level ALL', 'numerator': 648, 'denominator': 1733, 'n_lesions': 1733, 'point': 0.3739180611656088, 'clopper_pearson_95': [0.35107931547030097, 0.39718462246787867], 'grouped_bootstrap_95': [0.3525533756491633, 0.3958453548759377], 'primary_interval': 'grouped_bootstrap', 'interval': [0.3525533756491633, 0.3958453548759377]}","{'label': 'BCN-20000 (N=11,982) ALL melanoma-only', 'numerator': 994, 'denominator': 2844, 'n_lesions': 521, 'point': 0.349507735583685, 'clopper_pearson_95': [0.3319702868527395, 0.367355391754183], 'grouped_bootstrap_95': [0.3108576231378408, 0.3862510244133885], 'primary_interval': 'grouped_bootstrap', 'interval': [0.3108576231378408, 0.3862510244133885], 'interval_method': 'boot'}","{'akiec': 734, 'bcc': 2803, 'mel': 2844}"
mskcc,"MSKCC (N=2,903)",<40,756,36,0.047619047619047616,756,36,0.047619047619047616,argmax,mskcc <40 argmax,12,36,0.3333333333333333,"[0.18556180982592121, 0.5097025466518912]","[0.19444444444444445, 0.4729166666666629]",clopper_pearson,36,"[0.18556180982592121, 0.5097025466518912]",CP,0.9791666666666666,"[0.9680555555555556, 0.9888888888888889]",0.03571428571428571,24,3.02,,"{'label': 'lesion-level <40', 'numerator': 12, 'denominator': 36, 'n_lesions': 36, 'point': 0.3333333333333333, 'clopper_pearson_95': [0.18556180982592121, 0.5097025466518912], 'grouped_bootstrap_95': [0.19444444444444445, 0.4729166666666629], 'primary_interval': 'clopper_pearson', 'interval': [0.18556180982592121, 0.5097025466518912]}","{'label': 'MSKCC (N=2,903) <40 melanoma-only', 'numerator': 12, 'denominator': 36, 'n_lesions': 36, 'point': 0.3333333333333333, 'clopper_pearson_95': [0.18556180982592121, 0.5097025466518912], 'grouped_bootstrap_95': [0.19444444444444445, 0.4729166666666629], 'primary_interval': 'clopper_pearson', 'interval': [0.18556180982592121, 0.5097025466518912], 'interval_method': 'CP'}",{'mel': 36}
mskcc,"MSKCC (N=2,903)",40-59,827,123,0.1487303506650544,826,122,0.14769975786924938,argmax,mskcc 40-59 argmax,28,123,0.22764227642276422,"[0.15690983756985866, 0.31192955051407323]","[0.15447154471544716, 0.30327868852459017]",clopper_pearson,122,"[0.15690983756985866, 0.31192955051407323]",CP,0.9616477272727273,"[0.9474431818181818, 0.9758522727272727]",0.06650544135429262,95,6.45,,"{'label': 'lesion-level 40-59', 'numerator': 28, 'denominator': 122, 'n_lesions': 122, 'point': 0.22950819672131148, 'clopper_pearson_95': [0.1582472060892493, 0.31434121138563675], 'grouped_bootstrap_95': [0.1557377049180328, 0.30327868852459017], 'primary_interval': 'clopper_pearson', 'interval': [0.1582472060892493, 0.31434121138563675]}","{'label': 'MSKCC (N=2,903) 40-59 melanoma-only', 'numerator': 28, 'denominator': 123, 'n_lesions': 122, 'point': 0.22764227642276422, 'clopper_pearson_95': [0.15690983756985866, 0.31192955051407323], 'grouped_bootstrap_95': [0.15447154471544716, 0.30327868852459017], 'primary_interval': 'clopper_pearson', 'interval': [0.15690983756985866, 0.31192955051407323], 'interval_method': 'CP'}",{'mel': 123}
