cohort,panel,band,lambda,rule,label,numerator,denominator,point,clopper_pearson_95,grouped_bootstrap_95,primary_interval,n_lesions_positive,interval,interval_method,specificity,specificity_interval,referral_rate,missed_serious,nnb_pi_03,macro_f1,delta_sensitivity,delta_referral_rate
ham_oof,"HAM10000 OOF (N=6,981)",<40,0.26,frozen_lambda,ham_oof <40 lambda,40,64,0.625,"[0.4950764600526647, 0.7429510775519335]","[0.45450994318181825, 0.7838320463320461]",grouped_bootstrap,34,"[0.45450994318181825, 0.7838320463320461]",boot,0.9537848605577689,"[0.9377905468555094, 0.9681560231744092]",0.07429871114480667,24,3.39,0.7834517576277963,0.078125,0.024260803639120546
ham_oof,"HAM10000 OOF (N=6,981)",40-59,0.74,frozen_lambda,ham_oof 40-59 lambda,356,397,0.8967254408060453,"[0.8625104360569449, 0.9248638670378135]","[0.8553913928414258, 0.9335080771439009]",grouped_bootstrap,224,"[0.8553913928414258, 0.9335080771439009]",boot,0.8692449355432781,"[0.852876338222535, 0.8844190152433054]",0.22847043701799485,41,5.71,0.731756819368027,0.2846347607052897,0.12660668380462725
ham_oof,"HAM10000 OOF (N=6,981)",60+,0.33,frozen_lambda,ham_oof 60+ lambda,746,893,0.8353863381858903,"[0.809406809616517, 0.8591299261432201]","[0.8045579859152366, 0.8655576358296622]",grouped_bootstrap,559,"[0.8045579859152366, 0.8655576358296622]",boot,0.8505250154416306,"[0.8296689679589309, 0.8717648591386206]",0.39331210191082805,147,6.79,0.7785854845640466,0.09742441209406494,0.07563694267515925
ham_oof,"HAM10000 OOF (N=6,981)",ALL,per-band (frozen),frozen_lambda,ham_oof ALL lambda,1142,1354,0.843426883308715,"[0.822959488509662, 0.8623909027746094]","[0.8185115461577356, 0.8673700075357951]",grouped_bootstrap,817,"[0.8185115461577356, 0.8673700075357951]",boot,0.8828055108248345,"[0.8724757812379675, 0.8934258177082355]",0.2588218349416679,212,5.49,0.7688536062508501,0.15140324963072382,0.08872245427048828
bcn20000,"BCN-20000 (N=11,982)",<40,0.26,frozen_lambda,bcn20000 <40 lambda,130,369,0.3523035230352303,"[0.30356701161708116, 0.40343166094803334]","[0.24449750830564784, 0.45873419290850476]",grouped_bootstrap,114,"[0.24449750830564784, 0.45873419290850476]",boot,0.9686520376175548,"[0.9554211948295694, 0.9810608533111796]",0.09164969450101833,239,3.88,0.3835400624014173,0.07317073170731703,0.0264765784114053
bcn20000,"BCN-20000 (N=11,982)",40-59,0.74,frozen_lambda,bcn20000 40-59 lambda,1305,1805,0.7229916897506925,"[0.7017181641912672, 0.7435380258051619]","[0.6807869587250054, 0.7645541549953314]",grouped_bootstrap,445,"[0.6807869587250054, 0.7645541549953314]",boot,0.7616802400342906,"[0.7337062101173025, 0.7903355848926722]",0.44973417109714836,500,11.66,0.4488293736480299,0.3628808864265928,0.27984533591106814
bcn20000,"BCN-20000 (N=11,982)",60+,0.33,frozen_lambda,bcn20000 60+ lambda,2365,4207,0.5621583075826004,"[0.5470089598576355, 0.5772212622617154]","[0.5361336130344879, 0.5890516082033628]",grouped_bootstrap,1175,"[0.5361336130344879, 0.5890516082033628]",boot,0.8242651657285803,"[0.7935314132249206, 0.8531896855783045]",0.45573544609025146,1842,11.11,0.4145222626163262,0.15188970763014026,0.13554943162245953
bcn20000,"BCN-20000 (N=11,982)",ALL,per-band (frozen),frozen_lambda,bcn20000 ALL lambda,3800,6381,0.595517943895941,"[0.583356111442038, 0.6075923999243382]","[0.5735287004302709, 0.6177252721785307]",grouped_bootstrap,1733,"[0.5735287004302709, 0.6177252721785307]",boot,0.8395151076533381,"[0.8240250164081064, 0.8552146337142351]",0.393600940544172,2581,9.71,0.4418257158224433,0.2070208431280363,0.16770238495129325
mskcc,"MSKCC (N=2,903)",<40,0.26,frozen_lambda,mskcc <40 lambda,14,36,0.3888888888888889,"[0.2314244016621428, 0.5653619525515745]","[0.2222222222222222, 0.5555555555555556]",clopper_pearson,36,"[0.2314244016621428, 0.5653619525515745]",CP,0.9625,"[0.9486111111111111, 0.9763888888888889]",0.05423280423280423,22,4.12,,0.05555555555555558,0.018518518518518517
mskcc,"MSKCC (N=2,903)",40-59,0.74,frozen_lambda,mskcc 40-59 lambda,60,123,0.4878048780487805,"[0.39666242432272997, 0.5795481240024105]","[0.3983739837398374, 0.5773540583766488]",grouped_bootstrap,122,"[0.3983739837398374, 0.5773540583766488]",boot,0.7457386363636364,"[0.7116477272727273, 0.7769886363636364]",0.2889963724304716,63,17.85,,0.26016260162601623,0.22249093107617898
mskcc,"MSKCC (N=2,903)",60+,0.33,frozen_lambda,mskcc 60+ lambda,114,321,0.35514018691588783,"[0.30278311840519, 0.4101986081149464]","[0.3028298671963236, 0.40557494596647004]",grouped_bootstrap,310,"[0.3028298671963236, 0.40557494596647004]",boot,0.8635703918722787,"[0.8376811594202899, 0.8892168595448161]",0.20594059405940593,207,13.42,,0.09968847352024923,0.0673267326732673
mskcc,"MSKCC (N=2,903)",ALL,per-band (frozen),frozen_lambda,mskcc ALL lambda,188,480,0.39166666666666666,"[0.34774256905607615, 0.43693395269833013]","[0.34701090567703935, 0.4363294217803484]",grouped_bootstrap,466,"[0.34701090567703935, 0.4363294217803484]",boot,0.8580217699952674,"[0.8425769038221113, 0.8722800378429517]",0.18819899730042422,292,12.72,,0.1375,0.10258387967605091
