cohort,band,n,n_escalating,fpr_max,partial_auc_raw,partial_auc_mcclish,full_auc
ham_oof,ALL,6981,1356,0.2,0.15861120943952803,0.8850311373320223,0.9501081612586038
ham_oof,<40,1319,64,0.2,0.13144920318725103,0.8095811199645861,0.8953187250996015
ham_oof,40-59,3112,397,0.2,0.16249866633267002,0.8958296287018611,0.954677577225137
ham_oof,60+,2512,893,0.2,0.14712370665536012,0.8531214073760003,0.9344839106163028
bcn20000,ALL,11982,6403,0.2,0.10684741034720097,0.7412428065200027,0.8388568614645789
bcn20000,<40,1964,369,0.2,0.09883528302367664,0.7189868972879907,0.7914264597191427
bcn20000,40-59,4138,1805,0.2,0.10998400642117848,0.7499555733921625,0.8263360931260856
bcn20000,60+,5806,4207,0.2,0.08666612258998933,0.6851836738610815,0.7945171044477078
mskcc,ALL,2903,552,0.2,0.0724301715582022,0.6456393654394506,0.7427644110739187
mskcc,<40,756,36,0.2,0.09305555555555557,0.7029320987654322,0.7902777777777777
mskcc,40-59,827,123,0.2,0.06373106060606062,0.6214751683501684,0.6930432372505542
mskcc,60+,1010,321,0.2,0.05563528342579657,0.5989868984049904,0.6937816782641328
pad,ALL,2106,1627,0.2,0.078069451697798,0.6613040324938833,0.7794055942709984
pad,<40,241,74,0.2,0.09213464961967958,0.7003740267213322,0.8061174947402492
pad,40-59,748,619,0.2,0.07203917295963733,0.6445532582212148,0.7421823145608697
pad,60+,1117,934,0.2,0.06319783292964043,0.6199939803601123,0.7260534044768959
