cohort,subgroup,n,n_escalating,n_lesions,r,burden,S_argmax,S_mass,S_ustar_insample,best_score_insample,S_ustar_crossfit,C_signed,B_insample,B_crossfit,B_certified,A_point,A_lower,A_upper,notes,S_s,S_d,S_msp,S_entropy,S_margin,S_disagreement,certification
ham_oof,ALL,6981,1356,5229,1185,0.16974645466265578,0.6924778761061947,0.68952802359882,0.6924778761061947,d,0.6873156342182891,-0.002949852507374673,0.002949852507374673,-0.0022123893805309214,0.0,,0.0,0.3075221238938053,"C is signed. A is set-identified (no point estimate on real data). crossfit picks={'s': 2, 'd': 3}.",0.68952802359882,0.6924778761061947,0.39011799410029496,0.3864306784660767,0.3812684365781711,0.3547197640117994,NOT CERTIFIED
ham_oof,<40,1319,64,907,66,0.050037907505686124,0.546875,0.515625,0.546875,d,0.53125,-0.03125,0.03125,0.015625,0.0,,0.0,0.453125,"C is signed. A is set-identified (no point estimate on real data). crossfit picks={'d': 2, 's': 3}.",0.515625,0.546875,0.1875,0.125,0.203125,0.15625,NOT CERTIFIED
ham_oof,40-59,3112,397,2522,317,0.1018637532133676,0.6120906801007556,0.6070528967254408,0.6120906801007556,d,0.6146095717884131,-0.005037783375314797,0.005037783375314797,0.007556675062972307,0.0,,0.0,0.3879093198992444,"C is signed. A is set-identified (no point estimate on real data). crossfit picks={'d': 4, 's': 1}.",0.6070528967254408,0.6120906801007556,0.3350125944584383,0.3198992443324937,0.32997481108312343,0.2871536523929471,NOT CERTIFIED
ham_oof,60+,2512,893,1765,798,0.3176751592356688,0.7379619260918253,0.7402015677491601,0.7402015677491601,s,0.734602463605823,0.002239641657334812,0.0,-0.005599104143337086,0.0,,0.0,0.2597984322508399,C is signed. A is set-identified (no point estimate on real data). crossfit picks={'s': 5}.,0.7402015677491601,0.7379619260918253,0.45352743561030234,0.46136618141097424,0.45128779395296753,0.43784994400895855,NOT CERTIFIED
bcn20000,ALL,11982,6403,3454,2695,0.22492071440494074,0.3876307980634078,0.389036389192566,0.389036389192566,s,0.3899734499453381,0.0014055911291582235,0.0,0.000937060752772112,0.0,,0.0,0.610963610807434,C is signed. A is set-identified (no point estimate on real data). crossfit picks={'s': 5}.,0.389036389192566,0.3876307980634078,0.3223488989536155,0.3357801030766828,0.31719506481336873,0.3026706231454006,NOT CERTIFIED
bcn20000,<40,1964,369,618,128,0.06517311608961303,0.2791327913279133,0.2845528455284553,0.2845528455284553,s,0.22764227642276422,0.005420054200541979,0.0,-0.05691056910569106,0.0,,0.0,0.7154471544715447,"C is signed. A is set-identified (no point estimate on real data). crossfit picks={'d': 3, 's': 2}.",0.2845528455284553,0.2791327913279133,0.19241192411924118,0.2086720867208672,0.17073170731707318,0.14092140921409213,NOT CERTIFIED
bcn20000,40-59,4138,1805,1150,703,0.16988883518608022,0.3601108033240997,0.3595567867036011,0.3601108033240997,d,0.35789473684210527,-0.000554016620498643,0.000554016620498643,-0.001662049861495818,0.0,,0.0,0.6398891966759003,"C is signed. A is set-identified (no point estimate on real data). crossfit picks={'s': 3, 'd': 2}.",0.3595567867036011,0.3601108033240997,0.2803324099722992,0.2952908587257618,0.2808864265927978,0.2565096952908587,NOT CERTIFIED
bcn20000,60+,5806,4207,1663,1859,0.32018601446779194,0.4102685999524602,0.4121701925362491,0.4121701925362491,s,0.4107439980984074,0.0019015925837889136,0.0,-0.001426194437841699,0.0,,0.0,0.5878298074637509,C is signed. A is set-identified (no point estimate on real data). crossfit picks={'s': 5}.,0.4121701925362491,0.4102685999524602,0.3579748038982648,0.36843356310910386,0.355360114095555,0.3506061326360827,NOT CERTIFIED
mskcc,ALL,2903,552,2885,260,0.0895625215294523,0.26992753623188404,0.27898550724637683,0.27898550724637683,s,0.2753623188405797,0.009057971014492794,0.0,-0.0036231884057971175,0.0,,0.0,0.7210144927536232,C is signed. A is set-identified (no point estimate on real data). crossfit picks={'s': 5}.,0.27898550724637683,0.26992753623188404,0.1721014492753623,0.161231884057971,0.161231884057971,0.1105072463768116,NOT CERTIFIED
mskcc,<40,756,36,756,27,0.03571428571428571,0.3333333333333333,0.3611111111111111,0.3611111111111111,s,0.3611111111111111,0.02777777777777779,0.0,0.0,0.0,,0.0,0.6388888888888888,"C is signed. A is set-identified (no point estimate on real data). crossfit picks={'s': 4, 'd': 1}.",0.3611111111111111,0.3333333333333333,0.16666666666666666,0.1388888888888889,0.1111111111111111,0.027777777777777776,NOT CERTIFIED
