cohort,band,n,n_escalating,prior,q,sensitivity,ceiling,efficiency
ham_oof,<40,1319,64,0.0485,0.05,0.5156,1.0,0.5156
ham_oof,<40,1319,64,0.0485,0.1,0.6406,1.0,0.6406
ham_oof,<40,1319,64,0.0485,0.15,0.7031,1.0,0.7031
ham_oof,<40,1319,64,0.0485,0.2,0.7812,1.0,0.7812
ham_oof,<40,1319,64,0.0485,0.3,0.875,1.0,0.875
ham_oof,40-59,3112,397,0.1276,0.05,0.3703,0.3919,0.9447
ham_oof,40-59,3112,397,0.1276,0.1,0.5995,0.7839,0.7648
ham_oof,40-59,3112,397,0.1276,0.15,0.7834,1.0,0.7834
ham_oof,40-59,3112,397,0.1276,0.2,0.8791,1.0,0.8791
ham_oof,40-59,3112,397,0.1276,0.3,0.9446,1.0,0.9446
ham_oof,60+,2512,893,0.3555,0.05,0.1389,0.1406,0.9873
ham_oof,60+,2512,893,0.3555,0.1,0.2777,0.2813,0.9873
ham_oof,60+,2512,893,0.3555,0.15,0.4076,0.4219,0.966
ham_oof,60+,2512,893,0.3555,0.2,0.5286,0.5626,0.9395
ham_oof,60+,2512,893,0.3555,0.3,0.7167,0.8439,0.8493
bcn20000,<40,1964,369,0.1879,0.05,0.2304,0.2661,0.8656
bcn20000,<40,1964,369,0.1879,0.1,0.355,0.5322,0.667
bcn20000,<40,1964,369,0.1879,0.15,0.477,0.7984,0.5974
bcn20000,<40,1964,369,0.1879,0.2,0.5691,1.0,0.5691
bcn20000,<40,1964,369,0.1879,0.3,0.6748,1.0,0.6748
bcn20000,40-59,4138,1805,0.4362,0.05,0.1114,0.1146,0.9715
bcn20000,40-59,4138,1805,0.4362,0.1,0.2194,0.2293,0.957
bcn20000,40-59,4138,1805,0.4362,0.15,0.3202,0.3439,0.9312
bcn20000,40-59,4138,1805,0.4362,0.2,0.415,0.4585,0.905
bcn20000,40-59,4138,1805,0.4362,0.3,0.5778,0.6878,0.8402
bcn20000,60+,5806,4207,0.7246,0.05,0.0687,0.069,0.9955
bcn20000,60+,5806,4207,0.7246,0.1,0.1364,0.138,0.9886
bcn20000,60+,5806,4207,0.7246,0.15,0.203,0.207,0.9806
bcn20000,60+,5806,4207,0.7246,0.2,0.2665,0.276,0.9654
bcn20000,60+,5806,4207,0.7246,0.3,0.3889,0.414,0.9393
mskcc,<40,756,36,0.0476,0.05,0.3889,1.0,0.3889
mskcc,<40,756,36,0.0476,0.1,0.4167,1.0,0.4167
mskcc,<40,756,36,0.0476,0.15,0.5278,1.0,0.5278
mskcc,<40,756,36,0.0476,0.2,0.6111,1.0,0.6111
mskcc,<40,756,36,0.0476,0.3,0.6667,1.0,0.6667
mskcc,40-59,827,123,0.1487,0.05,0.2033,0.3362,0.6046
mskcc,40-59,827,123,0.1487,0.1,0.2927,0.6724,0.4353
mskcc,40-59,827,123,0.1487,0.15,0.3659,1.0,0.3659
mskcc,40-59,827,123,0.1487,0.2,0.4065,1.0,0.4065
mskcc,40-59,827,123,0.1487,0.3,0.5366,1.0,0.5366
mskcc,60+,1010,321,0.3178,0.05,0.0966,0.1573,0.6139
mskcc,60+,1010,321,0.3178,0.1,0.1931,0.3146,0.6139
mskcc,60+,1010,321,0.3178,0.15,0.2804,0.472,0.5941
mskcc,60+,1010,321,0.3178,0.2,0.3551,0.6293,0.5644
mskcc,60+,1010,321,0.3178,0.3,0.4766,0.9439,0.505
pad,<40,241,74,0.3071,0.05,0.1622,0.1628,0.9959
pad,<40,241,74,0.3071,0.1,0.2432,0.3257,0.7469
pad,<40,241,74,0.3071,0.15,0.3784,0.4885,0.7746
pad,<40,241,74,0.3071,0.2,0.4595,0.6514,0.7054
pad,<40,241,74,0.3071,0.3,0.6216,0.977,0.6362
pad,40-59,748,619,0.8275,0.05,0.0598,0.0604,0.9893
pad,40-59,748,619,0.8275,0.1,0.1212,0.1208,1.0027
pad,40-59,748,619,0.8275,0.15,0.1809,0.1813,0.9982
pad,40-59,748,619,0.8275,0.2,0.2423,0.2417,1.0027
pad,40-59,748,619,0.8275,0.3,0.3393,0.3625,0.9358
pad,60+,1117,934,0.8362,0.05,0.0589,0.0598,0.9848
pad,60+,1117,934,0.8362,0.1,0.1178,0.1196,0.9848
pad,60+,1117,934,0.8362,0.15,0.1756,0.1794,0.9788
pad,60+,1117,934,0.8362,0.2,0.2323,0.2392,0.9714
pad,60+,1117,934,0.8362,0.3,0.3373,0.3588,0.94
