cohort,band,score,q,r,burden,sensitivity,ci_lo,ci_hi,n_boot
ham_oof,ALL,s,0.05,349,0.04999283770233491,0.25147492625368734,,,0
ham_oof,ALL,s,0.1,698,0.09998567540466982,0.47935103244837757,,,0
ham_oof,ALL,s,0.15,1047,0.14997851310700472,0.6438053097345132,,,0
ham_oof,ALL,s,0.2,1396,0.19997135080933964,0.7662241887905604,,,0
ham_oof,ALL,s,0.3,2094,0.29995702621400944,0.9092920353982301,,,0
ham_oof,ALL,d,0.05,349,0.04999283770233491,0.25,,,0
ham_oof,ALL,d,0.1,698,0.09998567540466982,0.47123893805309736,,,0
ham_oof,ALL,d,0.15,1047,0.14997851310700472,0.6452802359882006,,,0
ham_oof,ALL,d,0.2,1396,0.19997135080933964,0.7617994100294986,,,0
ham_oof,ALL,d,0.3,2094,0.29995702621400944,0.8989675516224189,,,0
ham_oof,ALL,msp,0.05,349,0.04999283770233491,0.11061946902654868,,,0
ham_oof,ALL,msp,0.1,698,0.09998567540466982,0.22640117994100295,,,0
ham_oof,ALL,msp,0.15,1047,0.14997851310700472,0.3473451327433628,,,0
ham_oof,ALL,msp,0.2,1396,0.19997135080933964,0.4424778761061947,,,0
ham_oof,ALL,msp,0.3,2094,0.29995702621400944,0.5995575221238938,,,0
ham_oof,ALL,entropy,0.05,349,0.04999283770233491,0.12094395280235988,,,0
ham_oof,ALL,entropy,0.1,698,0.09998567540466982,0.22713864306784662,,,0
ham_oof,ALL,entropy,0.15,1047,0.14997851310700472,0.3414454277286136,,,0
ham_oof,ALL,entropy,0.2,1396,0.19997135080933964,0.4550147492625369,,,0
ham_oof,ALL,entropy,0.3,2094,0.29995702621400944,0.6010324483775811,,,0
ham_oof,ALL,margin,0.05,349,0.04999283770233491,0.10988200589970501,,,0
ham_oof,ALL,margin,0.1,698,0.09998567540466982,0.22418879056047197,,,0
ham_oof,ALL,margin,0.15,1047,0.14997851310700472,0.3407079646017699,,,0
ham_oof,ALL,margin,0.2,1396,0.19997135080933964,0.4387905604719764,,,0
ham_oof,ALL,margin,0.3,2094,0.29995702621400944,0.5936578171091446,,,0
ham_oof,ALL,disagreement,0.05,349,0.04999283770233491,0.10988200589970501,,,0
ham_oof,ALL,disagreement,0.1,698,0.09998567540466982,0.21165191740412978,,,0
ham_oof,ALL,disagreement,0.15,1047,0.14997851310700472,0.3148967551622419,,,0
ham_oof,ALL,disagreement,0.2,1396,0.19997135080933964,0.4166666666666667,,,0
ham_oof,ALL,disagreement,0.3,2094,0.29995702621400944,0.5855457227138643,,,0
ham_oof,<40,s,0.05,66,0.050037907505686124,0.515625,0.375,0.6564754098360656,500
ham_oof,<40,s,0.1,132,0.10007581501137225,0.640625,0.4932964877874844,0.7924209770114942,500
ham_oof,<40,s,0.15,198,0.15011372251705837,0.703125,0.5482843137254902,0.8444949494949491,500
ham_oof,<40,s,0.2,264,0.2001516300227445,0.78125,0.6439516129032259,0.8972906403940887,500
ham_oof,<40,s,0.3,396,0.30022744503411675,0.875,0.7647058823529411,0.9690024038461539,500
ham_oof,<40,d,0.05,66,0.050037907505686124,0.546875,0.38740947992100067,0.6755122950819671,500
ham_oof,<40,d,0.1,132,0.10007581501137225,0.640625,0.47205882352941175,0.7916666666666666,500
ham_oof,<40,d,0.15,198,0.15011372251705837,0.6875,0.528288770053476,0.8363636363636363,500
ham_oof,<40,d,0.2,264,0.2001516300227445,0.734375,0.589505347593583,0.8559090909090908,500
ham_oof,<40,d,0.3,396,0.30022744503411675,0.84375,0.7318181818181819,0.9565340909090909,500
ham_oof,<40,msp,0.05,66,0.050037907505686124,0.1875,,,0
ham_oof,<40,msp,0.1,132,0.10007581501137225,0.28125,,,0
ham_oof,<40,msp,0.15,198,0.15011372251705837,0.375,,,0
ham_oof,<40,msp,0.2,264,0.2001516300227445,0.4375,,,0
ham_oof,<40,msp,0.3,396,0.30022744503411675,0.6875,,,0
ham_oof,<40,entropy,0.05,66,0.050037907505686124,0.125,,,0
ham_oof,<40,entropy,0.1,132,0.10007581501137225,0.34375,,,0
ham_oof,<40,entropy,0.15,198,0.15011372251705837,0.390625,,,0
ham_oof,<40,entropy,0.2,264,0.2001516300227445,0.46875,,,0
ham_oof,<40,entropy,0.3,396,0.30022744503411675,0.671875,,,0
ham_oof,<40,margin,0.05,66,0.050037907505686124,0.203125,,,0
ham_oof,<40,margin,0.1,132,0.10007581501137225,0.265625,,,0
ham_oof,<40,margin,0.15,198,0.15011372251705837,0.375,,,0
ham_oof,<40,margin,0.2,264,0.2001516300227445,0.4375,,,0
ham_oof,<40,margin,0.3,396,0.30022744503411675,0.640625,,,0
ham_oof,<40,disagreement,0.05,66,0.050037907505686124,0.15625,,,0
ham_oof,<40,disagreement,0.1,132,0.10007581501137225,0.28125,,,0
ham_oof,<40,disagreement,0.15,198,0.15011372251705837,0.46875,,,0
ham_oof,<40,disagreement,0.2,264,0.2001516300227445,0.578125,,,0
ham_oof,<40,disagreement,0.3,396,0.30022744503411675,0.6875,,,0
ham_oof,40-59,s,0.05,156,0.05012853470437018,0.3702770780856423,0.32178404424327806,0.4133363054974788,500
ham_oof,40-59,s,0.1,311,0.09993573264781491,0.5994962216624685,0.5413067041147875,0.6585937499999999,500
ham_oof,40-59,s,0.15,467,0.1500642673521851,0.783375314861461,0.7326044429892228,0.838239362531172,500
ham_oof,40-59,s,0.2,622,0.19987146529562982,0.8790931989924433,0.832914673046252,0.9201537072267784,500
ham_oof,40-59,s,0.3,934,0.3001285347043702,0.9445843828715366,0.917349159579455,0.9714674315321984,500
ham_oof,40-59,d,0.05,156,0.05012853470437018,0.3677581863979849,0.3193713109661386,0.4114017314422545,500
ham_oof,40-59,d,0.1,311,0.09993573264781491,0.6070528967254408,0.552684427924787,0.669054908157219,500
ham_oof,40-59,d,0.15,467,0.1500642673521851,0.7707808564231738,0.715190751236851,0.8243055197871062,500
ham_oof,40-59,d,0.2,622,0.19987146529562982,0.8614609571788413,0.8133636363636364,0.9027138347832782,500
ham_oof,40-59,d,0.3,934,0.3001285347043702,0.947103274559194,0.9165442915776957,0.9751084710743801,500
