cohort,band,n_missed_by_argmax,compression_compatible,q_recoverable,provably_determined_benign,median_recovery_budget
ham_oof,ALL,417,226,10,191,0.24165592322016902
ham_oof,<40,29,8,1,21,0.19711902956785443
ham_oof,40-59,154,82,1,72,0.1564910025706941
ham_oof,60+,234,136,10,98,0.4148089171974523
bcn20000,ALL,3921,1382,111,2539,0.4527624770489067
bcn20000,<40,266,63,7,203,0.2670570264765784
bcn20000,40-59,1155,358,23,797,0.3946350894151764
bcn20000,60+,2481,953,80,1528,0.5864622803995866
mskcc,ALL,403,87,9,316,0.34137099552187394
mskcc,<40,24,3,1,21,0.2757936507936508
mskcc,40-59,95,17,1,78,0.3905683192261185
mskcc,60+,239,52,6,187,0.41485148514851483
pad,ALL,1268,408,28,860,0.5197056030389364
pad,<40,61,15,1,46,0.29045643153526973
pad,40-59,497,129,11,368,0.5374331550802139
pad,60+,710,264,17,446,0.5617726051924798
