image_id,rescued_by_msp,rescued_by_entropy,rescued_by_margin,rescued_by_disagreement,rescued_by_lambda_rule,n_mechanisms,mechanism_subset
ISIC_0024323,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0024481,0,0,0,1,0,1,disagreement
ISIC_0024701,0,0,0,0,1,1,lambda_rule
ISIC_0024886,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0024999,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0025018,0,0,0,0,0,0,none
ISIC_0025097,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025153,0,0,0,0,1,1,lambda_rule
ISIC_0025235,0,0,0,0,1,1,lambda_rule
ISIC_0025324,0,0,0,0,0,0,none
ISIC_0025394,0,0,0,0,0,0,none
ISIC_0025472,0,0,0,0,0,0,none
ISIC_0025500,0,0,0,0,1,1,lambda_rule
ISIC_0025513,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025592,0,0,0,0,1,1,lambda_rule
ISIC_0025724,0,0,0,0,0,0,none
ISIC_0025766,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0025941,0,0,0,0,1,1,lambda_rule
ISIC_0025964,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026081,0,0,0,0,1,1,lambda_rule
ISIC_0026113,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0026167,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026207,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0026239,0,0,1,0,1,2,margin+lambda_rule
ISIC_0026258,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0026296,0,0,0,0,0,0,none
ISIC_0026314,0,0,0,0,0,0,none
ISIC_0026395,0,0,0,1,1,2,disagreement+lambda_rule
ISIC_0026453,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0026468,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026506,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0026516,0,0,0,0,0,0,none
ISIC_0026989,0,0,0,0,0,0,none
ISIC_0026996,0,0,0,0,0,0,none
ISIC_0027060,0,0,0,0,1,1,lambda_rule
ISIC_0027089,0,0,0,0,1,1,lambda_rule
ISIC_0027105,0,0,0,0,1,1,lambda_rule
ISIC_0027144,0,1,0,1,1,3,entropy+disagreement+lambda_rule
ISIC_0027171,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027359,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0027436,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027502,0,0,0,0,0,0,none
ISIC_0027573,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027616,0,1,0,0,1,2,entropy+lambda_rule
ISIC_0027651,0,0,0,0,0,0,none
ISIC_0027663,0,1,0,1,1,3,entropy+disagreement+lambda_rule
ISIC_0027693,0,0,0,0,1,1,lambda_rule
ISIC_0027819,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027872,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028051,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028173,0,0,0,0,0,0,none
ISIC_0028198,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0028219,0,0,0,0,0,0,none
ISIC_0028326,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0028565,0,0,0,0,0,0,none
ISIC_0028858,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028878,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0028930,0,0,0,0,1,1,lambda_rule
ISIC_0028984,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0029013,0,0,0,0,0,0,none
ISIC_0029017,0,0,0,1,1,2,disagreement+lambda_rule
ISIC_0029209,0,0,0,0,0,0,none
ISIC_0029453,0,0,0,0,0,0,none
ISIC_0029562,0,0,0,0,0,0,none
ISIC_0029570,0,0,0,0,1,1,lambda_rule
ISIC_0029606,0,0,0,0,1,1,lambda_rule
ISIC_0029857,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0029915,0,0,0,1,1,2,disagreement+lambda_rule
ISIC_0029937,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
