image_id,rescued_by_msp,rescued_by_entropy,rescued_by_margin,rescued_by_disagreement,rescued_by_lambda_rule,n_mechanisms,mechanism_subset
ISIC_0024351,0,0,0,0,0,0,none
ISIC_0024400,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0024418,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0024496,0,0,0,0,0,0,none
ISIC_0024539,0,0,0,0,0,0,none
ISIC_0024554,0,0,0,1,0,1,disagreement
ISIC_0024562,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0024624,0,0,0,1,0,1,disagreement
ISIC_0024654,0,1,0,1,0,2,entropy+disagreement
ISIC_0024665,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0024675,0,0,0,0,0,0,none
ISIC_0024707,0,0,0,1,0,1,disagreement
ISIC_0024756,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0024805,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0024900,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0024930,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0024961,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0024972,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0024987,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0025069,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025089,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025127,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025128,0,0,0,0,0,0,none
ISIC_0025145,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025155,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025195,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025260,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025264,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0025277,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0025427,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0025467,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0025531,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025539,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025543,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025550,0,0,0,1,0,1,disagreement
ISIC_0025584,0,0,0,0,0,0,none
