mechanism_a,mechanism_b,n_a,n_b,n_intersection,n_union,jaccard
msp,entropy,69,62,54,77,0.7012987012987013
msp,margin,69,73,69,73,0.9452054794520548
msp,disagreement,69,53,46,76,0.6052631578947368
msp,lambda_rule,69,113,69,113,0.6106194690265486
entropy,margin,62,73,54,81,0.6666666666666666
entropy,disagreement,62,53,41,74,0.5540540540540541
entropy,lambda_rule,62,113,62,113,0.5486725663716814
margin,disagreement,73,53,46,80,0.575
margin,lambda_rule,73,113,73,113,0.6460176991150443
disagreement,lambda_rule,53,113,52,114,0.45614035087719296
