image_id,rescued_by_msp,rescued_by_entropy,rescued_by_margin,rescued_by_disagreement,rescued_by_lambda_rule,n_mechanisms,mechanism_subset
ISIC_0024410,0,0,0,0,0,0,none
ISIC_0024918,0,0,0,0,0,0,none
ISIC_0025265,0,0,0,0,0,0,none
ISIC_0025313,0,0,0,0,0,0,none
ISIC_0025451,0,0,0,0,0,0,none
ISIC_0025489,0,0,1,0,1,2,margin+lambda_rule
ISIC_0026094,0,0,0,0,0,0,none
ISIC_0026350,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026438,0,0,0,0,0,0,none
ISIC_0027793,0,0,0,0,0,0,none
ISIC_0027838,0,0,0,0,0,0,none
ISIC_0028069,0,0,0,0,0,0,none
ISIC_0028126,0,0,0,0,0,0,none
ISIC_0028579,0,0,0,0,0,0,none
ISIC_0028718,0,0,0,0,0,0,none
ISIC_0029033,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0029201,0,0,0,0,0,0,none
ISIC_0029397,0,0,0,0,0,0,none
ISIC_0029779,0,0,0,0,0,0,none
ISIC_0030134,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0030575,0,0,0,0,0,0,none
ISIC_0030747,0,0,0,0,0,0,none
ISIC_0031417,0,0,0,0,0,0,none
ISIC_0032207,0,0,0,0,0,0,none
ISIC_0032533,0,0,0,0,0,0,none
ISIC_0033004,0,0,0,0,0,0,none
ISIC_0033980,0,0,0,0,0,0,none
ISIC_0033986,0,0,0,0,0,0,none
ISIC_0034085,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
