cohort,band,n,n_escalating,prior,q,sensitivity,sens_ci_lo,sens_ci_hi,ceiling,efficiency,chance_baseline,lift_ratio,corrected_efficiency,eff_ci_lo,eff_ci_hi,underpowered
ham_oof,<40,1319,64,0.0485,0.05,0.5156,0.375,0.6565,1.0,0.5156,0.05,10.3125,0.4901,0.375,0.6565,False
ham_oof,<40,1319,64,0.0485,0.1,0.6406,0.4933,0.7924,1.0,0.6406,0.1,6.4062,0.6007,0.4933,0.7924,False
ham_oof,<40,1319,64,0.0485,0.15,0.7031,0.5483,0.8445,1.0,0.7031,0.15,4.6875,0.6507,0.5483,0.8445,False
ham_oof,<40,1319,64,0.0485,0.2,0.7812,0.644,0.8973,1.0,0.7812,0.2,3.9062,0.7266,0.644,0.8973,False
ham_oof,<40,1319,64,0.0485,0.3,0.875,0.7647,0.969,1.0,0.875,0.3,2.9167,0.8214,0.7647,0.969,False
ham_oof,40-59,3112,397,0.1276,0.05,0.3703,0.3218,0.4133,0.3919,0.9447,0.1276,7.4055,0.9366,0.821,1.0,False
ham_oof,40-59,3112,397,0.1276,0.1,0.5995,0.5413,0.6586,0.7839,0.7648,0.1276,5.995,0.7304,0.6905,0.8402,False
ham_oof,40-59,3112,397,0.1276,0.15,0.7834,0.7326,0.8382,1.0,0.7834,0.15,5.2225,0.7451,0.7326,0.8382,False
ham_oof,40-59,3112,397,0.1276,0.2,0.8791,0.8329,0.9202,1.0,0.8791,0.2,4.3955,0.8489,0.8329,0.9202,False
ham_oof,40-59,3112,397,0.1276,0.3,0.9446,0.9173,0.9715,1.0,0.9446,0.3,3.1486,0.9208,0.9173,0.9715,False
ham_oof,60+,2512,893,0.3555,0.05,0.1389,0.1281,0.1486,0.1406,0.9873,0.3555,2.7772,0.9802,0.9111,1.0,False
ham_oof,60+,2512,893,0.3555,0.1,0.2777,0.2605,0.298,0.2813,0.9873,0.3555,2.7772,0.9802,0.9261,1.0,False
ham_oof,60+,2512,893,0.3555,0.15,0.4076,0.383,0.4349,0.4219,0.966,0.3555,2.7174,0.9473,0.9078,1.0,False
ham_oof,60+,2512,893,0.3555,0.2,0.5286,0.4973,0.5611,0.5626,0.9395,0.3555,2.6428,0.9061,0.884,0.9973,False
ham_oof,60+,2512,893,0.3555,0.3,0.7167,0.6855,0.7463,0.8439,0.8493,0.3555,2.389,0.7661,0.8123,0.8844,False
bcn20000,<40,1964,369,0.1879,0.05,0.2304,0.1802,0.2704,0.2661,0.8656,0.1879,4.607,0.8345,0.6773,1.0,False
bcn20000,<40,1964,369,0.1879,0.1,0.355,0.2937,0.4226,0.5322,0.667,0.1879,3.5501,0.59,0.5518,0.7939,False
bcn20000,<40,1964,369,0.1879,0.15,0.477,0.4045,0.549,0.7984,0.5974,0.1879,3.1798,0.5043,0.5067,0.6877,False
bcn20000,<40,1964,369,0.1879,0.2,0.5691,0.4811,0.6318,1.0,0.5691,0.2,2.8455,0.4614,0.4811,0.6318,False
bcn20000,<40,1964,369,0.1879,0.3,0.6748,0.5915,0.7403,1.0,0.6748,0.3,2.2493,0.5354,0.5915,0.7403,False
bcn20000,40-59,4138,1805,0.4362,0.05,0.1114,0.1013,0.1222,0.1146,0.9715,0.4362,2.2271,0.9494,0.8837,1.0,False
bcn20000,40-59,4138,1805,0.4362,0.1,0.2194,0.2008,0.237,0.2293,0.957,0.4362,2.1939,0.9237,0.8758,1.0,False
bcn20000,40-59,4138,1805,0.4362,0.15,0.3202,0.2969,0.3447,0.3439,0.9312,0.4362,2.1348,0.878,0.8633,1.0,False
bcn20000,40-59,4138,1805,0.4362,0.2,0.415,0.3857,0.4448,0.4585,0.905,0.4362,2.0748,0.8315,0.8412,0.9701,False
bcn20000,40-59,4138,1805,0.4362,0.3,0.5778,0.5415,0.6104,0.6878,0.8402,0.4362,1.9261,0.7165,0.7874,0.8876,False
bcn20000,60+,5806,4207,0.7246,0.05,0.0687,0.0663,0.0719,0.069,0.9955,0.7246,1.3739,0.9837,0.9613,1.0,False
bcn20000,60+,5806,4207,0.7246,0.1,0.1364,0.1317,0.1417,0.138,0.9886,0.7246,1.3644,0.9587,0.9543,1.0,False
bcn20000,60+,5806,4207,0.7246,0.15,0.203,0.1962,0.211,0.207,0.9806,0.7246,1.3533,0.9295,0.9478,1.0,False
bcn20000,60+,5806,4207,0.7246,0.2,0.2665,0.2575,0.2761,0.276,0.9654,0.7246,1.3323,0.8743,0.9328,1.0,False
bcn20000,60+,5806,4207,0.7246,0.3,0.3889,0.3771,0.4027,0.414,0.9393,0.7246,1.2963,0.7794,0.9108,0.9727,False
mskcc,<40,756,36,0.0476,0.05,0.3889,0.2528,0.5484,1.0,0.3889,0.05,7.7778,0.3567,0.2528,0.5484,False
mskcc,<40,756,36,0.0476,0.1,0.4167,0.2857,0.6121,1.0,0.4167,0.1,4.1667,0.3519,0.2857,0.6121,False
mskcc,<40,756,36,0.0476,0.15,0.5278,0.3521,0.6875,1.0,0.5278,0.15,3.5185,0.4444,0.3521,0.6875,False
mskcc,<40,756,36,0.0476,0.2,0.6111,0.4125,0.75,1.0,0.6111,0.2,3.0556,0.5139,0.4125,0.75,False
mskcc,<40,756,36,0.0476,0.3,0.6667,0.525,0.817,1.0,0.6667,0.3,2.2222,0.5238,0.525,0.817,False
mskcc,40-59,827,123,0.1487,0.05,0.2033,0.1416,0.25,0.3362,0.6046,0.1487,4.065,0.5355,0.4213,0.7437,False
mskcc,40-59,827,123,0.1487,0.1,0.2927,0.2217,0.3605,0.6724,0.4353,0.1487,2.9268,0.3366,0.3297,0.5362,False
mskcc,40-59,827,123,0.1487,0.15,0.3659,0.2817,0.4484,1.0,0.3659,0.15,2.439,0.2539,0.2817,0.4484,False
mskcc,40-59,827,123,0.1487,0.2,0.4065,0.3333,0.489,1.0,0.4065,0.2,2.0325,0.2581,0.3333,0.489,False
mskcc,40-59,827,123,0.1487,0.3,0.5366,0.4526,0.6204,1.0,0.5366,0.3,1.7886,0.338,0.4526,0.6204,False
mskcc,60+,1010,321,0.3178,0.05,0.0966,0.079,0.122,0.1573,0.6139,0.3178,1.9315,0.434,0.5021,0.7752,False
mskcc,60+,1010,321,0.3178,0.1,0.1931,0.1621,0.2244,0.3146,0.6139,0.3178,1.9315,0.434,0.5153,0.7132,False
mskcc,60+,1010,321,0.3178,0.15,0.2804,0.2384,0.315,0.472,0.5941,0.3178,1.8692,0.4049,0.5052,0.6674,False
mskcc,60+,1010,321,0.3178,0.2,0.3551,0.3141,0.3947,0.6293,0.5644,0.3178,1.7757,0.3614,0.4992,0.6273,False
mskcc,60+,1010,321,0.3178,0.3,0.4766,0.4331,0.5308,0.9439,0.505,0.3178,1.5888,0.2743,0.4588,0.5623,False
pad,<40,241,74,0.3071,0.05,0.1622,0.1179,0.2,0.1628,0.9959,0.3071,3.2432,0.994,0.7243,1.0,False
pad,<40,241,74,0.3071,0.1,0.2432,0.1974,0.3312,0.3257,0.7469,0.3071,2.4324,0.6347,0.6062,1.0,False
pad,<40,241,74,0.3071,0.15,0.3784,0.2944,0.4667,0.4885,0.7746,0.3071,2.5225,0.6747,0.6027,0.9553,False
pad,<40,241,74,0.3071,0.2,0.4595,0.3687,0.5651,0.6514,0.7054,0.3071,2.2973,0.5749,0.5661,0.8676,False
pad,<40,241,74,0.3071,0.3,0.6216,0.4969,0.7333,0.977,0.6362,0.3071,2.0721,0.475,0.5086,0.7506,False
pad,40-59,748,619,0.8275,0.05,0.0598,0.0582,0.0627,0.0604,0.9893,0.8275,1.1955,0.938,0.963,1.0,False
pad,40-59,748,619,0.8275,0.1,0.1212,0.1169,0.125,0.1208,1.0027,0.8275,1.2116,1.0155,0.9672,1.0,False
pad,40-59,748,619,0.8275,0.15,0.1809,0.1755,0.188,0.1813,0.9982,0.8275,1.2062,0.9897,0.9683,1.0,False
pad,40-59,748,619,0.8275,0.2,0.2423,0.2322,0.2496,0.2417,1.0027,0.8275,1.2116,1.0155,0.9608,1.0,False
pad,40-59,748,619,0.8275,0.3,0.3393,0.329,0.3549,0.3625,0.9358,0.8275,1.1309,0.6279,0.9075,0.9789,False
pad,60+,1117,934,0.8362,0.05,0.0589,0.0556,0.0614,0.0598,0.9848,0.8362,1.1777,0.9071,0.9291,1.0,False
pad,60+,1117,934,0.8362,0.1,0.1178,0.1131,0.122,0.1196,0.9848,0.8362,1.1777,0.9071,0.9456,1.0,False
pad,60+,1117,934,0.8362,0.15,0.1756,0.1694,0.1818,0.1794,0.9788,0.8362,1.1706,0.8707,0.9443,1.0,False
pad,60+,1117,934,0.8362,0.2,0.2323,0.2249,0.24,0.2392,0.9714,0.8362,1.1617,0.8251,0.9401,1.0,False
pad,60+,1117,934,0.8362,0.3,0.3373,0.3265,0.3486,0.3588,0.94,0.8362,1.1242,0.6339,0.9101,0.9715,False
