cohort,band,n,n_escalating,prior,full_auc,partial_auc_mcclish,pauc_ci_lo,pauc_ci_hi,underpowered
ham_oof,<40,1319,64,0.0485,0.8953187250996015,0.8095811199645861,0.7239709255140605,0.8808178487933734,False
ham_oof,40-59,3112,397,0.1276,0.954677577225137,0.8958296287018611,0.8707886582810386,0.9192382066743248,False
ham_oof,60+,2512,893,0.3555,0.9344839106163028,0.8531214073760003,0.8293043113979165,0.8746250211377389,False
bcn20000,<40,1964,369,0.1879,0.7914264597191427,0.7189868972879907,0.6564524506117101,0.7724557630137404,False
bcn20000,40-59,4138,1805,0.4362,0.8263360931260856,0.7499555733921625,0.7202421809683673,0.7775358460197511,False
bcn20000,60+,5806,4207,0.7246,0.7945171044477078,0.6851836738610815,0.6611505667888979,0.7120337405307512,False
mskcc,<40,756,36,0.0476,0.7902777777777777,0.7029320987654322,0.6251370311339942,0.7869648356004577,False
mskcc,40-59,827,123,0.1487,0.6930432372505542,0.6214751683501684,0.5794205510161589,0.6665127096254441,False
mskcc,60+,1010,321,0.3178,0.6937816782641328,0.5989868984049904,0.5708078800256681,0.6308165497989248,False
pad,<40,241,74,0.3071,0.8061174947402492,0.7003740267213322,0.6234933158010082,0.7738829899604782,False
pad,40-59,748,619,0.8275,0.7421823145608697,0.6445532582212148,0.6130739368307964,0.6918412679052286,False
pad,60+,1117,934,0.8362,0.7260534044768959,0.6199939803601123,0.587003124247364,0.6672394084781387,False
