condition,class_code,f1_val,recall_val,support_val
ham_only,akiec,0.5901639344262295,0.6792452830188679,53
ham_only,bcc,0.8395061728395061,0.8292682926829268,82
ham_only,bkl,0.7132867132867133,0.6375,160
ham_only,df,0.7555555555555555,0.7083333333333334,24
ham_only,mel,0.6243093922651933,0.653179190751445,173
ham_only,nv,0.9242053789731052,0.9282907662082515,1018
ham_only,vasc,0.8095238095238095,0.7727272727272727,22
ham_mskcc,akiec,0.6732673267326733,0.6415094339622641,53
ham_mskcc,bcc,0.8148148148148148,0.8048780487804879,82
ham_mskcc,bkl,0.7278481012658228,0.71875,160
ham_mskcc,df,0.8095238095238095,0.7083333333333334,24
ham_mskcc,mel,0.6514285714285715,0.6589595375722543,173
ham_mskcc,nv,0.9263773768893223,0.9332023575638507,1018
ham_mskcc,vasc,0.9047619047619048,0.8636363636363636,22
ham_bcn,akiec,0.5811965811965812,0.6415094339622641,53
ham_bcn,bcc,0.8,0.7804878048780488,82
ham_bcn,bkl,0.6986301369863014,0.6375,160
ham_bcn,df,0.7727272727272727,0.7083333333333334,24
ham_bcn,mel,0.6461538461538462,0.6069364161849711,173
ham_bcn,nv,0.9309683604985618,0.9538310412573674,1018
ham_bcn,vasc,0.9,0.8181818181818182,22
all_three,akiec,0.5161290322580645,0.4528301886792453,53
all_three,bcc,0.8284023668639053,0.8536585365853658,82
all_three,bkl,0.697986577181208,0.65,160
all_three,df,0.65,0.5416666666666666,24
all_three,mel,0.6686390532544378,0.653179190751445,173
all_three,nv,0.9289827255278311,0.9508840864440079,1018
all_three,vasc,0.9047619047619048,0.8636363636363636,22
