class_index,class_code,band,n,knn_purity,chance,lift,underpowered
0,"SkinClass(index=0, code='akiec', name_en='Actinic keratosis / intraepithelial carcinoma', name_hi='एक्टिनिक केराटोसिस / इंट्राएपिथेलियल कार्सिनोमा', short_name_en='Actinic keratosis', short_name_hi='एक्टिनिक केराटोसिस', plain_language_en='A rough, scaly patch caused by long-term sun exposure. It is not cancer yet, but it can develop into cancer if left untreated.', plain_language_hi='लंबे समय तक धूप में रहने से होने वाला खुरदरा, पपड़ीदार धब्बा। यह अभी कैंसर नहीं है, लेकिन इलाज न होने पर कैंसर में बदल सकता है।', malignancy='premalignant')",40-59,43,0.5976744186046511,0.0318,18.794,False
0,"SkinClass(index=0, code='akiec', name_en='Actinic keratosis / intraepithelial carcinoma', name_hi='एक्टिनिक केराटोसिस / इंट्राएपिथेलियल कार्सिनोमा', short_name_en='Actinic keratosis', short_name_hi='एक्टिनिक केराटोसिस', plain_language_en='A rough, scaly patch caused by long-term sun exposure. It is not cancer yet, but it can develop into cancer if left untreated.', plain_language_hi='लंबे समय तक धूप में रहने से होने वाला खुरदरा, पपड़ीदार धब्बा। यह अभी कैंसर नहीं है, लेकिन इलाज न होने पर कैंसर में बदल सकता है।', malignancy='premalignant')",60+,178,0.5067415730337079,0.0318,15.935,False
0,"SkinClass(index=0, code='akiec', name_en='Actinic keratosis / intraepithelial carcinoma', name_hi='एक्टिनिक केराटोसिस / इंट्राएपिथेलियल कार्सिनोमा', short_name_en='Actinic keratosis', short_name_hi='एक्टिनिक केराटोसिस', plain_language_en='A rough, scaly patch caused by long-term sun exposure. It is not cancer yet, but it can develop into cancer if left untreated.', plain_language_hi='लंबे समय तक धूप में रहने से होने वाला खुरदरा, पपड़ीदार धब्बा। यह अभी कैंसर नहीं है, लेकिन इलाज न होने पर कैंसर में बदल सकता है।', malignancy='premalignant')",all,222,0.5265765765765766,0.0318,16.559,False
1,"SkinClass(index=1, code='bcc', name_en='Basal cell carcinoma', name_hi='बेसल सेल कार्सिनोमा', short_name_en='Basal cell carcinoma', short_name_hi='बेसल सेल कार्सिनोमा', plain_language_en='The most common form of skin cancer. It grows slowly and rarely spreads to other parts of the body, but it does need medical treatment.', plain_language_hi='त्वचा कैंसर का सबसे आम रूप। यह धीरे-धीरे बढ़ता है और शायद ही कभी शरीर के अन्य हिस्सों में फैलता है, लेकिन इसका चिकित्सकीय इलाज ज़रूरी है।', malignancy='malignant')",<40,12,0.8833333333333333,0.0517,17.082,True
1,"SkinClass(index=1, code='bcc', name_en='Basal cell carcinoma', name_hi='बेसल सेल कार्सिनोमा', short_name_en='Basal cell carcinoma', short_name_hi='बेसल सेल कार्सिनोमा', plain_language_en='The most common form of skin cancer. It grows slowly and rarely spreads to other parts of the body, but it does need medical treatment.', plain_language_hi='त्वचा कैंसर का सबसे आम रूप। यह धीरे-धीरे बढ़ता है और शायद ही कभी शरीर के अन्य हिस्सों में फैलता है, लेकिन इसका चिकित्सकीय इलाज ज़रूरी है।', malignancy='malignant')",40-59,74,0.7716216216216216,0.0517,14.922,False
1,"SkinClass(index=1, code='bcc', name_en='Basal cell carcinoma', name_hi='बेसल सेल कार्सिनोमा', short_name_en='Basal cell carcinoma', short_name_hi='बेसल सेल कार्सिनोमा', plain_language_en='The most common form of skin cancer. It grows slowly and rarely spreads to other parts of the body, but it does need medical treatment.', plain_language_hi='त्वचा कैंसर का सबसे आम रूप। यह धीरे-धीरे बढ़ता है और शायद ही कभी शरीर के अन्य हिस्सों में फैलता है, लेकिन इसका चिकित्सकीय इलाज ज़रूरी है।', malignancy='malignant')",60+,275,0.6898181818181818,0.0517,13.34,False
1,"SkinClass(index=1, code='bcc', name_en='Basal cell carcinoma', name_hi='बेसल सेल कार्सिनोमा', short_name_en='Basal cell carcinoma', short_name_hi='बेसल सेल कार्सिनोमा', plain_language_en='The most common form of skin cancer. It grows slowly and rarely spreads to other parts of the body, but it does need medical treatment.', plain_language_hi='त्वचा कैंसर का सबसे आम रूप। यह धीरे-धीरे बढ़ता है और शायद ही कभी शरीर के अन्य हिस्सों में फैलता है, लेकिन इसका चिकित्सकीय इलाज ज़रूरी है।', malignancy='malignant')",all,361,0.7130193905817174,0.0517,13.788,False
2,"SkinClass(index=2, code='bkl', name_en='Benign keratosis-like lesion', name_hi='सौम्य केराटोसिस जैसा घाव', short_name_en='Benign keratosis', short_name_hi='सौम्य केराटोसिस', plain_language_en='A harmless growth on the skin, often related to age or sun exposure. It is not cancer.', plain_language_hi='त्वचा पर एक हानिरहित वृद्धि, जो अक्सर उम्र या धूप के संपर्क से जुड़ी होती है। यह कैंसर नहीं है।', malignancy='benign')",<40,23,0.7782608695652175,0.1106,7.038,True
2,"SkinClass(index=2, code='bkl', name_en='Benign keratosis-like lesion', name_hi='सौम्य केराटोसिस जैसा घाव', short_name_en='Benign keratosis', short_name_hi='सौम्य केराटोसिस', plain_language_en='A harmless growth on the skin, often related to age or sun exposure. It is not cancer.', plain_language_hi='त्वचा पर एक हानिरहित वृद्धि, जो अक्सर उम्र या धूप के संपर्क से जुड़ी होती है। यह कैंसर नहीं है।', malignancy='benign')",40-59,187,0.5807486631016042,0.1106,5.252,False
2,"SkinClass(index=2, code='bkl', name_en='Benign keratosis-like lesion', name_hi='सौम्य केराटोसिस जैसा घाव', short_name_en='Benign keratosis', short_name_hi='सौम्य केराटोसिस', plain_language_en='A harmless growth on the skin, often related to age or sun exposure. It is not cancer.', plain_language_hi='त्वचा पर एक हानिरहित वृद्धि, जो अक्सर उम्र या धूप के संपर्क से जुड़ी होती है। यह कैंसर नहीं है।', malignancy='benign')",60+,557,0.5843806104129264,0.1106,5.284,False
2,"SkinClass(index=2, code='bkl', name_en='Benign keratosis-like lesion', name_hi='सौम्य केराटोसिस जैसा घाव', short_name_en='Benign keratosis', short_name_hi='सौम्य केराटोसिस', plain_language_en='A harmless growth on the skin, often related to age or sun exposure. It is not cancer.', plain_language_hi='त्वचा पर एक हानिरहित वृद्धि, जो अक्सर उम्र या धूप के संपर्क से जुड़ी होती है। यह कैंसर नहीं है।', malignancy='benign')",all,772,0.5910621761658031,0.1106,5.345,False
3,"SkinClass(index=3, code='df', name_en='Dermatofibroma', name_hi='डर्मेटोफाइब्रोमा', short_name_en='Dermatofibroma', short_name_hi='डर्मेटोफाइब्रोमा', plain_language_en='A small, firm, harmless bump under the skin, often appearing after a minor injury such as an insect bite.', plain_language_hi='त्वचा के नीचे एक छोटी, कठोर, हानिरहित गांठ, जो अक्सर कीड़े के काटने जैसी मामूली चोट के बाद दिखाई देती है।', malignancy='benign')",<40,15,0.46666666666666673,0.0102,45.885,True
3,"SkinClass(index=3, code='df', name_en='Dermatofibroma', name_hi='डर्मेटोफाइब्रोमा', short_name_en='Dermatofibroma', short_name_hi='डर्मेटोफाइब्रोमा', plain_language_en='A small, firm, harmless bump under the skin, often appearing after a minor injury such as an insect bite.', plain_language_hi='त्वचा के नीचे एक छोटी, कठोर, हानिरहित गांठ, जो अक्सर कीड़े के काटने जैसी मामूली चोट के बाद दिखाई देती है।', malignancy='benign')",40-59,30,0.39,0.0102,38.346,False
3,"SkinClass(index=3, code='df', name_en='Dermatofibroma', name_hi='डर्मेटोफाइब्रोमा', short_name_en='Dermatofibroma', short_name_hi='डर्मेटोफाइब्रोमा', plain_language_en='A small, firm, harmless bump under the skin, often appearing after a minor injury such as an insect bite.', plain_language_hi='त्वचा के नीचे एक छोटी, कठोर, हानिरहित गांठ, जो अक्सर कीड़े के काटने जैसी मामूली चोट के बाद दिखाई देती है।', malignancy='benign')",60+,26,0.2576923076923077,0.0102,25.337,True
3,"SkinClass(index=3, code='df', name_en='Dermatofibroma', name_hi='डर्मेटोफाइब्रोमा', short_name_en='Dermatofibroma', short_name_hi='डर्मेटोफाइब्रोमा', plain_language_en='A small, firm, harmless bump under the skin, often appearing after a minor injury such as an insect bite.', plain_language_hi='त्वचा के नीचे एक छोटी, कठोर, हानिरहित गांठ, जो अक्सर कीड़े के काटने जैसी मामूली चोट के बाद दिखाई देती है।', malignancy='benign')",all,71,0.3577464788732394,0.0102,35.175,False
4,"SkinClass(index=4, code='mel', name_en='Melanoma', name_hi='मेलेनोमा', short_name_en='Melanoma', short_name_hi='मेलेनोमा', plain_language_en='A serious form of skin cancer that can spread to other parts of the body if not treated early. Early treatment matters a great deal.', plain_language_hi='त्वचा कैंसर का एक गंभीर रूप, जो जल्दी इलाज न होने पर शरीर के अन्य हिस्सों में फैल सकता है। जल्दी इलाज बहुत मायने रखता है।', malignancy='malignant')",<40,51,0.3784313725490197,0.1107,3.418,False
4,"SkinClass(index=4, code='mel', name_en='Melanoma', name_hi='मेलेनोमा', short_name_en='Melanoma', short_name_hi='मेलेनोमा', plain_language_en='A serious form of skin cancer that can spread to other parts of the body if not treated early. Early treatment matters a great deal.', plain_language_hi='त्वचा कैंसर का एक गंभीर रूप, जो जल्दी इलाज न होने पर शरीर के अन्य हिस्सों में फैल सकता है। जल्दी इलाज बहुत मायने रखता है।', malignancy='malignant')",40-59,280,0.3882142857142858,0.1107,3.506,False
4,"SkinClass(index=4, code='mel', name_en='Melanoma', name_hi='मेलेनोमा', short_name_en='Melanoma', short_name_hi='मेलेनोमा', plain_language_en='A serious form of skin cancer that can spread to other parts of the body if not treated early. Early treatment matters a great deal.', plain_language_hi='त्वचा कैंसर का एक गंभीर रूप, जो जल्दी इलाज न होने पर शरीर के अन्य हिस्सों में फैल सकता है। जल्दी इलाज बहुत मायने रखता है।', malignancy='malignant')",60+,440,0.4429545454545455,0.1107,4.0,False
