bin,age_lo,ages_recorded,n,n_escalating,prevalence,prevalence_cp_lo,prevalence_cp_hi,argmax_sensitivity,sens_cp_lo,sens_cp_hi,missed_escalating,esc_mass_auc,auc_ci_lo,auc_ci_hi,auc_status,referral_rate_argmax,ece,lambda_in_force_A1,optimal_lambda,opt_lambda_ci_lo,opt_lambda_ci_hi,opt_lambda_at_grid_max,optimal_lambda_status
0-4,0.0,0,31,0,0.0,0.0,0.11218874692236995,,,,0,,,,not estimable (<10 positives),0.0,,0.26,,,,False,not estimable (<30 positives)
5-9,5.0,5,65,1,0.015384615384615385,0.00038942889109722095,0.08276308774446635,0.0,0.0,0.975,1,,,,not estimable (<10 positives),0.0,,0.26,,,,False,not estimable (<30 positives)
10-14,10.0,10,27,0,0.0,0.0,0.12770286761543234,,,,0,,,,not estimable (<10 positives),0.07407407407407407,,0.26,,,,False,not estimable (<30 positives)
15-19,15.0,15,61,0,0.0,0.0,0.05868122393229261,,,,0,,,,not estimable (<10 positives),0.06557377049180328,,0.26,,,,False,not estimable (<30 positives)
20-24,20.0,20,110,1,0.00909090909090909,0.00023013540555029267,0.04961118931198478,0.0,0.0,0.975,1,,,,not estimable (<10 positives),0.045454545454545456,,0.26,,,,False,not estimable (<30 positives)
25-29,25.0,25,156,9,0.057692307692307696,0.026716954185681176,0.1066910275718608,0.7777777777777778,0.39990642628368794,0.9718550265221018,2,,,,not estimable (<10 positives),0.09615384615384616,,0.26,,,,False,not estimable (<30 positives)
30-34,30.0,30,317,21,0.06624605678233439,0.04147171644784105,0.0994837006600637,0.38095238095238093,0.18107162554017317,0.6156456096213541,13,0.8717824967824968,0.732895691456431,0.9933426863339002,estimated,0.025236593059936908,0.025474992804383922,0.26,,,,False,not estimable (<30 positives)
35-39,35.0,35,552,32,0.057971014492753624,0.039986347064438585,0.08085526978363163,0.625,0.43692245509692657,0.7889996835760071,12,0.9057692307692308,0.8257015328810925,0.9692069188582679,estimated,0.06340579710144928,0.0346810077866984,0.26,0.19,0.0,0.76,False,estimated
40-44,40.0,40,706,65,0.09206798866855524,0.0717744566972574,0.115843434686895,0.6153846153846154,0.4864297327772668,0.7334640617045605,25,0.950270010800432,0.9146752597234717,0.9782838220164608,estimated,0.08356940509915015,0.020739514686302432,0.74,0.54,0.16,0.78,False,estimated
45-49,45.0,45,895,84,0.09385474860335195,0.07555248145494849,0.11487956145794581,0.5952380952380952,0.48253000684808195,0.7010291395193298,34,0.9555369620104515,0.9311190756594941,0.9780404003442535,estimated,0.07374301675977654,0.02745260469028246,0.74,0.71,0.48,0.87,False,estimated
50-54,50.0,50,805,105,0.13043478260869565,0.10793620488672916,0.15567854616825164,0.6095238095238096,0.5094443049911048,0.703258703627557,41,0.9565850340136054,0.9243348287120352,0.9794058273847709,estimated,0.0968944099378882,0.03565152777186275,0.74,0.83,0.63,0.86,False,estimated
55-59,55.0,55,706,143,0.20254957507082152,0.17348931396466774,0.23411976712509466,0.6223776223776224,0.5375486779547313,0.7020245300774937,54,0.9441304698853544,0.9167130365027626,0.9673801712037838,estimated,0.16147308781869688,0.03701914439008601,0.74,0.56,0.47,0.72,False,estimated
60-64,60.0,60,546,140,0.2564102564102564,0.22027115378858236,0.2952092321001661,0.6285714285714286,0.5429148819697511,0.7086641820660472,52,0.9349929627023223,0.908145306469264,0.9639903460299412,estimated,0.19230769230769232,0.028585874250888002,0.33,0.53,0.38,0.63,False,estimated
65-69,65.0,65,519,182,0.35067437379576105,0.30960960295057427,0.3934510147952939,0.7582417582417582,0.6893616753477023,0.8185096404354049,44,0.952554863534092,0.9338077525998791,0.9700991077385673,estimated,0.3179190751445087,0.04579546516986384,0.33,0.53,0.29,0.7,False,estimated
70-74,70.0,70,516,198,0.38372093023255816,0.34156421501243645,0.4272177739869216,0.7929292929292929,0.7297525345464794,0.8471146117774673,41,0.9375198526141921,0.9099786546009878,0.9610908847465607,estimated,0.35658914728682173,0.046672146012110734,0.33,0.27,0.059500000000000025,0.45,False,estimated
75-79,75.0,75,457,164,0.3588621444201313,0.3148284869108727,0.404735860120196,0.676829268292683,0.5994779853911927,0.7476539615524371,53,0.9164238741363523,0.8795325104942195,0.9492953923960772,estimated,0.3238512035010941,0.0769156882585313,0.33,0.1,0.0,0.44,False,estimated
80+,80.0,"80,85",474,209,0.4409282700421941,0.3956668074738021,0.4869311505391373,0.7703349282296651,0.7072884206798176,0.8255430186907604,48,0.9116908910354788,0.8797282520981472,0.9392206992958502,estimated,0.41350210970464135,0.059144941099651606,0.33,0.04,0.0,0.23,False,estimated
unknown,,,38,2,0.05263157894736842,0.0064387167150919125,0.17749059034764078,1.0,0.15811388300841903,1.0,0,,,,not estimable (<10 positives),0.10526315789473684,,0.65,,,,False,missing age -> pooled
