pooling,band,contrast,candidate,reference,n_escalating,n_escalating_lesions,delta_pauc,ci_lo,ci_hi,pooling_used_candidate,pooling_used_reference,excludes_zero,exceeds_mcid,verdict
primary,<40,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,279,104,-0.03630093397349232,-0.0827509430719189,0.012668963643240059,primary,primary,False,False,NOT_CERTIFIED
primary,<40,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,279,104,-0.07253065054532581,-0.11795286908981968,-0.028848306332918155,primary,primary,False,False,NOT_CERTIFIED
primary,<40,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,279,104,-0.03622971657183349,-0.0778898252437148,0.003384248438552542,primary,primary,False,False,NOT_CERTIFIED
primary,40-59,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,598,174,-0.007950309413655376,-0.04460913913781363,0.026451698395099903,primary,primary,False,False,NOT_CERTIFIED
primary,40-59,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,598,174,-0.03551732832723398,-0.07347530073635611,0.0014380742144117977,primary,primary,False,False,NOT_CERTIFIED
primary,40-59,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,598,174,-0.0275670189135786,-0.05856809869746363,0.0009189312063149731,primary,primary,False,False,NOT_CERTIFIED
primary,60+,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,1428,479,0.0381514245522514,-0.001179763002893592,0.07544022809502292,primary,primary,False,False,NOT_CERTIFIED
primary,60+,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,1428,479,-0.011626335909343366,-0.05588390437456152,0.033653056953272996,primary,primary,False,False,NOT_CERTIFIED
primary,60+,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,1428,479,-0.04977776046159477,-0.0925328692094139,-0.009016995340154982,primary,primary,False,False,NOT_CERTIFIED
primary,all,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,2340,779,0.013838339823853074,-0.006531658080311362,0.03575079118601768,primary,primary,False,False,NOT_CERTIFIED
primary,all,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,2340,779,-0.024686595796778343,-0.04882565843124489,-0.0009602380665444625,primary,primary,False,False,NOT_CERTIFIED
primary,all,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,2340,779,-0.03852493562063142,-0.058528344956975474,-0.018925670009396427,primary,primary,False,False,NOT_CERTIFIED
robustness,<40,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,279,104,-0.007731361124072689,-0.04890791951453167,0.036353886906276285,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,<40,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,279,104,-0.05013135337561936,-0.09415651532373231,-0.006945122440134062,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,<40,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,279,104,-0.04239999225154667,-0.08164057942472132,-0.005067099418703858,robustness,robustness,False,False,NOT_CERTIFIED
robustness,40-59,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,598,174,-0.007128520214210288,-0.04912648211287868,0.03238645732092616,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,40-59,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,598,174,-0.04855270895794317,-0.08923112289555471,-0.009121427997791608,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,40-59,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,598,174,-0.04142418874373288,-0.08260013211023556,-0.0031165100966365983,robustness,robustness,False,False,NOT_CERTIFIED
robustness,60+,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,1428,479,-0.006245218113274165,-0.052034474911937786,0.037465219021828686,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,60+,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,1428,479,-0.04879745944253733,-0.08761648047012945,-0.010243001604935848,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,60+,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,1428,479,-0.04255224132926316,-0.09456734522297659,0.010278779574858322,robustness,robustness,False,False,NOT_CERTIFIED
robustness,all,panderm_vitb16_minus_convnext_tiny,panderm_vitb16,convnext_tiny,2340,779,0.007511174369371876,-0.014958383173632624,0.03106402928772818,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,all,dinov2_vitb14_minus_convnext_tiny,dinov2_vitb14,convnext_tiny,2340,779,-0.03855460033200675,-0.06268436701723806,-0.013593724211576157,robustness,primary (no alternative pooling for this backbone),False,False,NOT_CERTIFIED
robustness,all,dinov2_vitb14_minus_panderm_vitb16,dinov2_vitb14,panderm_vitb16,2340,779,-0.046065774701378626,-0.0707879255296268,-0.020294282782543208,robustness,robustness,False,False,NOT_CERTIFIED
