pooling,band,backbone,n,n_escalating,n_escalating_lesions,underpowered,rho_hat,rho_ci_lo,rho_ci_hi,full_auc,pooling_used,chosen_members,probe_linear,probe_multinomial_lse,probe_mlp,probe_gbm
primary,<40,convnext_tiny,978,279,104,False,0.7318607853627159,0.6596830879610702,0.7979242674581268,0.8018828741520144,primary,gbm|gbm|gbm|gbm|gbm,0.6945941434227312,0.6857603369209812,0.7152984664329597,0.7318607853627159
primary,<40,panderm_vitb16,978,279,104,False,0.6955598513892236,0.6250755716677855,0.7688313176758256,0.8054722311956147,primary,gbm|gbm|gbm|gbm|mlp,0.6780346731890412,0.690885141144344,0.718585861693527,0.6980667039276112
primary,<40,dinov2_vitb14,978,279,104,False,0.6593301348173901,0.5924122662780256,0.7311514815865935,0.7542623614892755,primary,mlp|gbm|gbm|mlp|mlp,0.6568147361908034,0.6538606383699989,0.6834158600583755,0.6720581088418398
primary,40-59,convnext_tiny,1525,598,174,False,0.7380667188603026,0.6870348940267613,0.7884840316657155,0.807582268114138,primary,gbm|gbm|gbm|gbm|gbm,0.6866582924342879,0.6935938926230188,0.7200720408473329,0.7380667188603026
primary,40-59,panderm_vitb16,1525,598,174,False,0.7301164094466472,0.6777608848522433,0.7822895772036217,0.8191923455747854,primary,gbm|gbm|gbm|gbm|mlp,0.7081315439975916,0.7053304454458247,0.7342494078106855,0.7367749063260531
primary,40-59,dinov2_vitb14,1525,598,174,False,0.7025493905330686,0.6542758158361195,0.7509141974099627,0.7809400627045202,primary,mlp|gbm|gbm|mlp|mlp,0.6785771982760866,0.6771120082643932,0.700727423746982,0.6892283880464547
primary,60+,convnext_tiny,2111,1428,479,False,0.7200400413947912,0.6797634807409049,0.7584804502873812,0.8282457931928262,primary,gbm|gbm|gbm|gbm|gbm,0.6501501609265798,0.684195542541077,0.6874372003559843,0.7200400413947912
primary,60+,panderm_vitb16,2111,1428,479,False,0.7581914659470426,0.716767606994717,0.8010043658343089,0.8688035975737294,primary,gbm|gbm|gbm|gbm|mlp,0.7139526056070712,0.7208659777559958,0.7365169021895402,0.7640971957352976
primary,60+,dinov2_vitb14,2111,1428,479,False,0.7084137054854478,0.6621436062545724,0.7520076934937415,0.8195440694579443,primary,mlp|gbm|gbm|mlp|mlp,0.6624158855017523,0.6731519189748455,0.7074664419208386,0.6802538324586382
primary,all,convnext_tiny,4733,2340,779,False,0.755297085635573,0.7298657094829006,0.7799872912991678,0.8443267578871423,primary,gbm|gbm|gbm|gbm|gbm,0.6956764228842514,0.7154338151517425,0.7338986097866165,0.755297085635573
primary,all,panderm_vitb16,4733,2340,779,False,0.769135425459426,0.7417825434910186,0.7960567334614256,0.8654858722556174,primary,gbm|gbm|gbm|gbm|mlp,0.7265200337006996,0.732640786339073,0.7677916338767432,0.7773022494780399
primary,all,dinov2_vitb14,4733,2340,779,False,0.7306104898387946,0.7030250301962263,0.757045261537238,0.8267146699240304,primary,mlp|gbm|gbm|mlp|mlp,0.6927588141893756,0.6930790740165306,0.7339440493779539,0.7199230582710177
robustness,<40,convnext_tiny,978,279,104,False,0.7318607853627159,0.6596830879610702,0.7979242674581268,0.8018828741520144,primary (no alternative pooling for this backbone),gbm|gbm|gbm|gbm|gbm,0.6945941434227312,0.6857603369209812,0.7152984664329597,0.7318607853627159
robustness,<40,panderm_vitb16,978,279,104,False,0.7241294242386432,0.6583994558529875,0.7850698845358356,0.7993087923864609,robustness,gbm|gbm|mlp|gbm|mlp,0.6889166921624965,0.6929988736255754,0.7374100452999648,0.7263884402192584
robustness,<40,dinov2_vitb14,978,279,104,False,0.6817294319870966,0.612533313712987,0.7490958942879996,0.77892637203173,robustness,mlp|mlp|mlp|mlp|mlp,0.6257497055872615,0.6443630856847895,0.6817294319870966,0.6597318009627453
robustness,40-59,convnext_tiny,1525,598,174,False,0.7380667188603026,0.6870348940267613,0.7884840316657155,0.807582268114138,primary (no alternative pooling for this backbone),gbm|gbm|gbm|gbm|gbm,0.6866582924342879,0.6935938926230188,0.7200720408473329,0.7380667188603026
robustness,40-59,panderm_vitb16,1525,598,174,False,0.7309381986460923,0.6791536985824899,0.7819411320689897,0.817042063981701,robustness,gbm|gbm|mlp|gbm|mlp,0.6967387395838219,0.6989154787804007,0.74159790696304,0.7487910679130604
robustness,40-59,dinov2_vitb14,1525,598,174,False,0.6895140099023594,0.6389199675180058,0.7397336159697298,0.779404920392679,robustness,mlp|mlp|mlp|mlp|mlp,0.6540668343116633,0.6564770819027186,0.6895140099023594,0.6929975943624459
robustness,60+,convnext_tiny,2111,1428,479,False,0.7200400413947912,0.6797634807409049,0.7584804502873812,0.8282457931928262,primary (no alternative pooling for this backbone),gbm|gbm|gbm|gbm|gbm,0.6501501609265798,0.684195542541077,0.6874372003559843,0.7200400413947912
robustness,60+,panderm_vitb16,2111,1428,479,False,0.713794823281517,0.6598092177664117,0.7673060220829018,0.855429580324077,robustness,gbm|gbm|mlp|gbm|mlp,0.6868220201697077,0.7035486555123106,0.7312505610671143,0.7627825328927732
robustness,60+,dinov2_vitb14,2111,1428,479,False,0.6712425819522538,0.6270958527005241,0.7132303981050047,0.8054687467959365,robustness,mlp|mlp|mlp|mlp|mlp,0.6372561551056082,0.6803284515367884,0.6712425819522538,0.6643326274710307
robustness,all,convnext_tiny,4733,2340,779,False,0.755297085635573,0.7298657094829006,0.7799872912991678,0.8443267578871423,primary (no alternative pooling for this backbone),gbm|gbm|gbm|gbm|gbm,0.6956764228842514,0.7154338151517425,0.7338986097866165,0.755297085635573
robustness,all,panderm_vitb16,4733,2340,779,False,0.7628082600049448,0.7341544962203276,0.791002005437133,0.863032223615174,robustness,gbm|gbm|mlp|gbm|mlp,0.7220340150065738,0.7293224064013868,0.7720026339088883,0.7871476596229348
robustness,all,dinov2_vitb14,4733,2340,779,False,0.7167424853035662,0.6897236102092286,0.7413496451834237,0.8250688439572685,robustness,mlp|mlp|mlp|mlp|mlp,0.6728476912520651,0.6923227726960838,0.7167424853035662,0.7113745615277862
