image_id,archive,dhash,phash,dup_cluster
ISIC_0000174,isic2019,15472300220272750140,15064871047055509946,163
ISIC_0015071_downsampled,isic2019,15472300770028564152,13911949542448663994,163
ISIC_0000222,isic2019,10236417035253253894,15737549792053244058,208
ISIC_0014846_downsampled,isic2019,10236417035253253894,15737690529273163930,208
ISIC_0000519_downsampled,isic2019,10127643997163654852,16353587456638464728,445
ISIC_0011295,isic2019,10127643997163654852,16353587456638464728,445
ISIC_0010852,isic2019,17361641325913239776,10210560635376448200,1063
ISIC_0032195,isic2019,17361623733727191272,987188598521672394,1063
ISIC_0012127_downsampled,isic2019,7457749033195343622,8870277912189278406,1252
ISIC_0012970_downsampled,isic2019,7457749033195343622,8870277912189278406,1252
ISIC_0012222_downsampled,isic2019,3797828399742756580,7940859241256129228,1300
ISIC_0016003_downsampled,isic2019,3797828399746950884,7941844403674616524,1300
ISIC_0012290_downsampled,isic2019,14016212504634918686,15173655048450812290,1338
ISIC_0013594_downsampled,isic2019,14016212504634918686,15173655039860877706,1338
ISIC_0012887_downsampled,isic2019,14570890060632689292,17172413141394635340,1574
ISIC_0012989_downsampled,isic2019,14570890060632689292,17172413141394635340,1574
ISIC_0013109_downsampled,isic2019,17639138002216062494,5480655470329672598,1675
ISIC_0013163_downsampled,isic2019,17639138002216062492,5480655470329672598,1675
ISIC_0015986_downsampled,isic2019,15611357334671649498,5068020258775178394,2826
ISIC_0015987_downsampled,isic2019,15610231439059765978,5068020258775186584,2826
ISIC_0024333,isic2019,16541191652410569972,7550150190868492478,2930
ISIC_0024630,isic2019,16541191652410569972,7550150190868492478,2930
ISIC_0024349,isic2019,9513593848465136906,17354954484089123472,2946
ISIC_0026126,isic2019,9513593848465136648,17354954484089148048,2946
ISIC_0024366,isic2019,10992317533432761998,5612386309117240390,2963
ISIC_0029861,isic2019,10992317533432761998,5612386309117240390,2963
ISIC_0024538,isic2019,2984072423982199615,9125899325045548512,3135
ISIC_0025208,isic2019,7595758442409587518,8549438573010560480,3135
ISIC_0024777,isic2019,2811129088251724547,15378519696633299044,3374
ISIC_0029938,isic2019,2811129088251724547,15378519696633299044,3374
ISIC_0024834,isic2019,436575450136813043,7118958613923219014,3431
ISIC_0032165,isic2019,436293975160102322,7118958613923219014,3431
ISIC_0024876,isic2019,17361641463891161328,950878326526031564,3473
ISIC_0031933,isic2019,17361641463354290416,10174250363380806348,3473
ISIC_0024908,isic2019,17361641463251529968,988877456971740872,3505
ISIC_0030079,isic2019,17361641463251529968,988877456971740872,3505
ISIC_0024938,isic2019,2451381083909887158,14014407671448889254,3535
ISIC_0025231,isic2019,2451099608933177078,14014407671465666342,3535
ISIC_0024975,isic2019,873433479082089305,8568581533223206992,3572
ISIC_0025782,isic2019,945491073120017241,8568581533222944852,3572
ISIC_0024999,isic2019,2460720458563101804,13581536590579209348,3596
ISIC_0025512,isic2019,7072406476998878312,13582658092439540868,3596
ISIC_0025000,isic2019,17363893229210366192,9887145887136133836,3597
ISIC_0028963,isic2019,17357120237583266032,9887145887135937228,3597
ISIC_0025165,isic2019,17359349667762991344,4684082248892737024,3762
ISIC_0028698,isic2019,17359349667762991344,4684082248892737024,3762
ISIC_0025434,isic2019,14305321808114259878,10028262407437823320,4031
ISIC_0028165,isic2019,14305321808110065574,10028262407437299034,4031
ISIC_0025683,isic2019,15195653763622750413,14525013442025432684,4280
ISIC_0028621,isic2019,15195653763622734029,14527265241830729324,4280
ISIC_0026272,isic2019,9693592611521007468,13896873892614685244,4869
ISIC_0028957,isic2019,9693451874032652270,4673501855759909692,4869
ISIC_0026328,isic2019,9515699255860727566,14676453638256923744,4925
ISIC_0029334,isic2019,9515699255860725518,14676453638256923744,4925
ISIC_0026455,isic2019,2817861506988207895,18443736467584174156,5052
ISIC_0028265,isic2019,2817859307964952343,18443736467592560716,5052
ISIC_0031839,isic2019,2817859307964952343,18443736398998915148,5052
ISIC_0027122,isic2019,16764865695083054805,14786217967340040996,5719
ISIC_0031340,isic2019,16782915277964625621,14786217968380228388,5719
ISIC_0027208,isic2019,581560351910758275,7180882372469219718,5805
ISIC_0029504,isic2019,149214783388223363,7180882370388844934,5805
ISIC_0027226,isic2019,6922181212049940382,15032223232820005322,5823
ISIC_0027902,isic2019,6922462704206519198,15032214436726991306,5823
ISIC_0027423,isic2019,16918550782151377604,14791250209829403024,6020
ISIC_0030057,isic2019,16916298982337692384,14773235811319921044,6020
ISIC_0027538,isic2019,17361641463891163384,987047311277535438,6135
ISIC_0031064,isic2019,17361641463891161320,987047311277535948,6135
ISIC_0027596,isic2019,17352554686944442606,5526816395840926488,6193
ISIC_0028960,isic2019,17352554961822350574,5526816395840926488,6193
ISIC_0031541,isic2019,15046711950461172974,5526816395840926488,6193
ISIC_0027658,isic2019,5154250491605522318,15247263416417891442,6255
ISIC_0028678,isic2019,5082052160079239054,14094341911811175538,6255
ISIC_0027698,isic2019,1094145079780380431,18166188192257356934,6295
ISIC_0029666,isic2019,1094145079646162703,8942816155403105414,6295
ISIC_0027853,isic2019,1881958217144536847,15797260331092188192,6450
ISIC_0032492,isic2019,1737843029068680975,15792756731464817952,6450
ISIC_0027933,isic2019,9765799635926878184,15623986753456857202,6530
ISIC_0028513,isic2019,9693724449702905800,15626229757177520242,6530
ISIC_0027989,isic2019,14737475109292319651,14658422545426028240,6586
ISIC_0029548,isic2019,14737615846780674979,14657296645519185620,6586
ISIC_0028362,isic2019,9729749261629591503,15905943285369844752,6959
ISIC_0030179,isic2019,9729748986751815631,15905943268458411024,6959
ISIC_0029257,isic2019,11461396246106156863,18275891355408242528,7854
