arm,age,lambda_point,boot_median,boot_lo,boot_hi
A1,0,0.26,0.19,0.0,0.6112499999999988
A1,1,0.26,0.19,0.0,0.6112499999999988
A1,2,0.26,0.19,0.0,0.6112499999999988
A1,3,0.26,0.19,0.0,0.6112499999999988
A1,4,0.26,0.19,0.0,0.6112499999999988
A1,5,0.26,0.19,0.0,0.6112499999999988
A1,6,0.26,0.19,0.0,0.6112499999999988
A1,7,0.26,0.19,0.0,0.6112499999999988
A1,8,0.26,0.19,0.0,0.6112499999999988
A1,9,0.26,0.19,0.0,0.6112499999999988
A1,10,0.26,0.19,0.0,0.6112499999999988
A1,11,0.26,0.19,0.0,0.6112499999999988
A1,12,0.26,0.19,0.0,0.6112499999999988
A1,13,0.26,0.19,0.0,0.6112499999999988
A1,14,0.26,0.19,0.0,0.6112499999999988
A1,15,0.26,0.19,0.0,0.6112499999999988
A1,16,0.26,0.19,0.0,0.6112499999999988
A1,17,0.26,0.19,0.0,0.6112499999999988
A1,18,0.26,0.19,0.0,0.6112499999999988
A1,19,0.26,0.19,0.0,0.6112499999999988
A1,20,0.26,0.19,0.0,0.6112499999999988
A1,21,0.26,0.19,0.0,0.6112499999999988
A1,22,0.26,0.19,0.0,0.6112499999999988
A1,23,0.26,0.19,0.0,0.6112499999999988
A1,24,0.26,0.19,0.0,0.6112499999999988
A1,25,0.26,0.19,0.0,0.6112499999999988
A1,26,0.26,0.19,0.0,0.6112499999999988
A1,27,0.26,0.19,0.0,0.6112499999999988
A1,28,0.26,0.19,0.0,0.6112499999999988
A1,29,0.26,0.19,0.0,0.6112499999999988
A1,30,0.26,0.19,0.0,0.6112499999999988
A1,31,0.26,0.19,0.0,0.6112499999999988
A1,32,0.26,0.19,0.0,0.6112499999999988
A1,33,0.26,0.19,0.0,0.6112499999999988
A1,34,0.26,0.19,0.0,0.6112499999999988
A1,35,0.26,0.19,0.0,0.6112499999999988
A1,36,0.26,0.19,0.0,0.6112499999999988
A1,37,0.26,0.19,0.0,0.6112499999999988
A1,38,0.26,0.19,0.0,0.6112499999999988
A1,39,0.26,0.19,0.0,0.6112499999999988
