n_positives,loss_ratio,net_gain_cases,b_rescues,c_losses,mcnemar_p,significant_at_05
21,0.0,2.1,3,0,0.25,False
21,0.5,2.1,4,1,0.375,False
21,1.0,2.1,5,2,0.453125,False
22,0.0,2.2,3,0,0.25,False
22,0.5,2.2,4,1,0.375,False
22,1.0,2.2,5,2,0.453125,False
64,0.0,6.4,7,0,0.015625,True
64,0.5,6.4,10,3,0.09228515625,False
64,1.0,6.4,13,6,0.1670684814453125,False
96,0.0,9.600000000000001,10,0,0.001953125,True
96,0.5,9.600000000000001,15,5,0.04138946533203125,True
96,1.0,9.600000000000001,20,10,0.09873714670538905,False
104,0.0,10.4,11,0,0.0009765625,True
104,0.5,10.4,16,5,0.02660369873046875,True
104,1.0,10.4,21,10,0.07075554598122835,False
107,0.0,10.700000000000001,11,0,0.0009765625,True
107,0.5,10.700000000000001,17,5,0.01690053939819336,True
107,1.0,10.700000000000001,22,11,0.08014331245794892,False
115,0.0,11.5,12,0,0.00048828125,True
115,0.5,11.5,18,6,0.022655844688415527,True
115,1.0,11.5,23,12,0.08953107893466952,False
150,0.0,15.0,15,0,6.103515625e-05,True
150,0.5,15.0,23,8,0.010673840530216694,True
150,1.0,15.0,30,15,0.035697803555194696,True
151,0.0,15.100000000000001,16,0,3.0517578125e-05,True
151,0.5,15.100000000000001,23,8,0.010673840530216694,True
151,1.0,15.100000000000001,31,15,0.02589608179323477,True
300,0.0,30.0,30,0,1.862645149230957e-09,True
300,0.5,30.0,45,15,0.00013451408092849532,True
300,1.0,30.0,60,30,0.0020602656809630745,True
408,0.0,40.800000000000004,41,0,9.094947017729282e-13,True
408,0.5,40.800000000000004,62,20,3.714641593828418e-06,True
408,1.0,40.800000000000004,82,41,0.0002756176335340419,True
515,0.0,51.5,52,0,4.440892098500626e-16,True
515,0.5,51.5,78,26,3.277703497138628e-07,True
515,1.0,51.5,103,52,5.120483494372956e-05,True
