p_assumed,n_positives,k,ci_lo,ci_hi,half_width,resolves_mcid_010,resolves_005
0.143,21,3,0.03048896762151556,0.363423987016981,0.16646750969773272,False,False
0.143,22,3,0.029055851128746688,0.34912209725740806,0.16003312306433068,False,False
0.143,64,9,0.06637407166842633,0.2502368356240119,0.09193138197779277,True,False
0.143,96,14,0.08208470827129136,0.2325635591377562,0.07523942543323242,True,False
0.143,104,15,0.08303104015627806,0.22670674175105834,0.07183785079739013,True,False
0.143,107,15,0.08063646716190843,0.22065660091557232,0.07001006687683195,True,False
0.143,115,16,0.08166584210059809,0.21608630941500848,0.06721023365720519,True,False
0.143,150,21,0.08879823225648584,0.20601068913654932,0.058606228440031743,True,False
0.143,151,22,0.09361456408950906,0.21223602871470434,0.05931073231259764,True,False
0.143,300,43,0.10571228072149376,0.18817488771914762,0.04123130349882693,True,True
0.143,408,58,0.10974744153491975,0.17986258002311056,0.03505756924409541,True,True
0.143,515,74,0.11454080426459241,0.17699802981577156,0.031228612775589575,True,True
0.547,21,11,0.29780683878364417,0.7428693735935925,0.22253126740497417,False,False
0.547,22,12,0.3221047545531717,0.7561381340769835,0.21701668976190588,False,False
0.547,64,35,0.4174763153160475,0.6717928854962819,0.1271582850901172,False,False
0.547,96,53,0.4471410013621108,0.6537249240547354,0.10329196134631227,False,False
0.547,104,57,0.44744602913806164,0.645898838460754,0.09922640466134619,True,False
0.547,107,59,0.4522103293880754,0.647675502022975,0.09773258631744977,True,False
0.547,115,63,0.4523060668577572,0.6408228983597157,0.09425841575097926,True,False
0.547,150,82,0.46342758558129604,0.6280257890489989,0.08229910173385141,True,False
0.547,151,83,0.4667007815196888,0.630649457684588,0.08197433808244961,True,False
0.547,300,164,0.4884439666998976,0.6039586909425876,0.057757362121344996,True,False
0.547,408,223,0.496848604917187,0.5956084475717068,0.04937992132725991,True,True
0.547,515,282,0.503446008975742,0.5911506282498358,0.04385230963704689,True,True
0.5,21,10,0.2571306264064075,0.7021931612163559,0.2225312674049742,False,False
0.5,22,11,0.28221052093809296,0.717789479061907,0.21778947906190704,False,False
0.5,64,32,0.37232286289560673,0.6276771371043932,0.12767713710439324,False,False
0.5,96,48,0.3961779239333521,0.603822076066648,0.10382207606664792,False,False
0.5,104,52,0.4003389254006169,0.5996610745993831,0.09966107459938311,True,False
0.5,107,54,0.4063214129244718,0.6027591969099084,0.0982188919927183,True,False
0.5,115,58,0.4095681413578496,0.5988981860360757,0.09466502233911306,True,False
0.5,150,75,0.41735741029573414,0.5826425897042659,0.08264258970426586,True,False
0.5,151,76,0.42088443702672235,0.5856056111179229,0.08236058704560026,True,False
0.5,300,150,0.44199772080801636,0.5580022791919836,0.05800227919198364,True,False
0.5,408,204,0.45041048450872007,0.54958951549128,0.04958951549127996,True,True
0.5,515,258,0.4569180898910697,0.5450124551619089,0.044047182635419596,True,True
