rung,seed,run_id,epochs_run,best_epoch,final_macro_f1,best_macro_f1,final_esc_sens,best_esc_sens,minutes,age_flip_span
R0,42,R0_ham_only_s42_rerun,30,26,0.7645589029622009,0.766683976500194,0.7727272727272727,0.7402597402597403,17.163333333333334,
R0,43,R0_ham_only_s43_rerun,30,30,0.7788867761384349,0.7788867761384349,0.7532467532467533,0.7532467532467533,17.278333333333332,
R0,44,R0_ham_only_s44_rerun,30,23,0.733951006040747,0.7572769525300559,0.75,0.7954545454545454,17.118333333333332,
R1,42,R1_ham_only_s42,30,25,0.7973692666729628,0.7997538897545989,0.7954545454545454,0.7402597402597403,50.09666666666667,
R1,43,R1_ham_only_s43_rerun,30,7,0.7886355605073281,0.8054536524264979,0.8051948051948052,0.8214285714285714,42.068333333333335,
R1,44,R1_ham_only_s44_rerun,30,21,0.7805406230518743,0.7952398858797202,0.801948051948052,0.7077922077922078,38.535,
R2,42,R2_ham_only_s42_rerun,30,19,0.7435903061630302,0.7509232072720101,0.7142857142857143,0.737012987012987,57.394999999999996,
R2,43,R2_ham_only_s43_rerun,30,24,0.7564453035949701,0.7648273500618561,0.7564935064935064,0.7272727272727273,57.34,
R2,44,R2_ham_only_s44_rerun,30,28,0.7637424364008784,0.769886436282941,0.7305194805194806,0.737012987012987,56.75833333333333,
R4,42,R4_ham_only_s42,30,29,0.7671954216293714,0.7681642632987519,0.7987012987012987,0.7987012987012987,19.755,
R4,43,R4_ham_only_s43_rerun,30,30,0.7870989027757807,0.7870989027757807,0.788961038961039,0.788961038961039,19.445,
R4,44,R4_ham_only_s44_rerun,30,30,0.7634093291083348,0.7634093291083348,0.7857142857142857,0.7857142857142857,19.421666666666667,
R5,42,R5_ham_only_s42_rerun,30,20,0.7396584185159828,0.7499905477038188,0.7597402597402597,0.7272727272727273,18.225,
R5,43,R5_ham_only_s43_rerun,30,30,0.7608206197008591,0.7608206197008591,0.775974025974026,0.775974025974026,16.66,
R5,44,R5_ham_only_s44_rerun,30,24,0.7434542750486879,0.7673749922923269,0.7337662337662337,0.7402597402597403,16.336666666666666,
R6,42,R6_ham_only_s42_rerun,60,13,0.7476860610178032,0.7633425687653179,0.7532467532467533,0.801948051948052,33.27166666666667,
R6,43,R6_ham_only_s43_rerun,60,24,0.7386635724432186,0.7791128135687927,0.7305194805194806,0.7987012987012987,31.303333333333335,
R6,44,R6_ham_only_s44_rerun,60,23,0.7493573262346832,0.7815995361637712,0.724025974025974,0.7954545454545454,30.696666666666665,
R7,42,R7_ham_only_s42_rerun,30,29,0.75806804049021,0.7693320487565991,0.762987012987013,0.762987012987013,17.496666666666666,0.03385592997074127
R7,43,R7_ham_only_s43_rerun,30,23,0.7655376119943049,0.7917773401976536,0.7662337662337663,0.7435064935064936,15.59,0.03751210868358612
R7,44,R7_ham_only_s44_rerun,30,26,0.7712076562030006,0.7886266272726097,0.7467532467532467,0.7467532467532467,16.96333333333333,0.03534737229347229
