contrast,band,n_images,n_band,n_band_escalating,n_band_escalating_groups,endpoint,seed,delta,ci_lo,ci_hi,seed_min,seed_max,per_seed,status,checkpoint
B: composite - control,<40,4733,978,279,104,macro_f1,mean,-0.012058273492665602,-0.032135795314654755,0.009817020305943249,-0.033480015896492854,0.010657636059853592,"[-0.013352, -0.03348, 0.010658]",not_moved,last
B: composite - control,<40,4733,978,279,104,macro_f1,42,-0.013352440641357544,-0.047849136973032516,0.019715617746889246,,,,not_moved,last
B: composite - control,<40,4733,978,279,104,macro_f1,43,-0.033480015896492854,-0.062432710386587376,-0.002331139727336283,,,,harm,last
B: composite - control,<40,4733,978,279,104,macro_f1,44,0.010657636059853592,-0.02688731951317876,0.04775372985472034,,,,not_moved,last
B: composite - control,<40,4733,978,279,104,pauc,mean,0.008868940419901569,-0.019950453936249533,0.03673615412184412,0.003939746659761489,0.011859121724213106,"[0.010808, 0.00394, 0.011859]",not_moved,last
B: composite - control,<40,4733,978,279,104,pauc,42,0.010807952875730109,-0.03210893164705104,0.05412397796786091,,,,not_moved,last
B: composite - control,<40,4733,978,279,104,pauc,43,0.003939746659761489,-0.03936176463223461,0.04474259048941312,,,,not_moved,last
B: composite - control,<40,4733,978,279,104,pauc,44,0.011859121724213106,-0.026291857872018137,0.0504971305738606,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,mean,0.17983928460723653,0.12965587565230172,0.22536425475037847,0.1637098488687096,0.21096141966657117,"[0.16371, 0.164847, 0.210961]",moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,42,0.1637098488687096,0.11279060874275444,0.2139810394000817,,,,moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,43,0.16484658528642887,0.11387670439639301,0.2130208578191316,,,,moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,44,0.21096141966657117,0.15420123848215744,0.2641165764010725,,,,moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,mean,0.0038191518596193408,-0.05249133066118721,0.06150279060560145,-0.0029199134680082395,0.01092474941445054,"[-0.00292, 0.003453, 0.010925]",not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,42,-0.0029199134680082395,-0.06275491343331975,0.05543416104055297,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,43,0.003452619632415721,-0.052854570838723865,0.06300703460096724,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,44,0.01092474941445054,-0.05160917143438104,0.0726159251176286,,,,not_moved,last
B: composite - control,<40,4733,978,279,104,macro_f1,mean,0.031641833622212734,0.00355713417371312,0.05630685521456984,0.015217208681436056,0.05626781049526208,"[0.02344, 0.015217, 0.056268]",moved,best
B: composite - control,<40,4733,978,279,104,macro_f1,42,0.023440481689940063,-0.01118803586390745,0.05726909401892061,,,,not_moved,best
B: composite - control,<40,4733,978,279,104,macro_f1,43,0.015217208681436056,-0.02991556078678169,0.06477461028824526,,,,not_moved,best
B: composite - control,<40,4733,978,279,104,macro_f1,44,0.05626781049526208,0.005372831322667352,0.10104005059536131,,,,moved,best
B: composite - control,<40,4733,978,279,104,pauc,mean,-0.010582905886488544,-0.03669021960717801,0.016059175174258124,-0.028908567681315223,0.0045949467550218115,"[-0.007435, 0.004595, -0.028909]",not_moved,best
B: composite - control,<40,4733,978,279,104,pauc,42,-0.0074350967331722195,-0.0496515328034675,0.03293356841391177,,,,not_moved,best
B: composite - control,<40,4733,978,279,104,pauc,43,0.0045949467550218115,-0.03981841908296446,0.05641602292236448,,,,not_moved,best
B: composite - control,<40,4733,978,279,104,pauc,44,-0.028908567681315223,-0.06712597169720058,0.011726457709845085,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,mean,0.1962568898545515,0.15042043015087914,0.24021605648842675,0.17985333658695363,0.20978566684911798,"[0.209786, 0.179853, 0.199132]",moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,42,0.20978566684911798,0.1566013178535264,0.25913336886602123,,,,moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,43,0.17985333658695363,0.13285555702780083,0.2303841271634894,,,,moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,macro_f1,44,0.19913166612758298,0.14245088291798463,0.2505297978733423,,,,moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,mean,-0.004731684166206507,-0.0545829556763968,0.044102675117365084,-0.012360492231890619,0.003253210907771198,"[-0.005088, 0.003253, -0.01236]",not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,42,-0.0050877711745001,-0.0641854954964279,0.04831720254699701,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,43,0.003253210907771198,-0.05155179451131459,0.05602230631907346,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",<40,4733,978,279,104,pauc,44,-0.012360492231890619,-0.06619945885084742,0.04170496788224146,,,,not_moved,best
