model,band,n_images,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,pauc,pauc_ci_lo,pauc_ci_hi,full_auc_band,checkpoint
control_s42,<40,4733,0.5878535323642458,0.5308665044689123,0.6304573679674325,0.7197224914240006,0.6518762367673857,0.7876815867053895,0.8325872598335564,last
control_s43,<40,4733,0.6091178440371003,0.5485461717626022,0.6510871547023791,0.7329632307403932,0.6695557310601771,0.7955525026840465,0.8315822398613482,last
control_s44,<40,4733,0.6110950264608962,0.5561366141744322,0.6531154933245186,0.7325159854579764,0.6660508341954549,0.7972570174915481,0.8375405725537249,last
composite_s42,<40,4733,0.5745010917228882,0.5230800159366437,0.6159749315004356,0.7305304442997307,0.6614177374964113,0.7929752787898112,0.8295721999169319,last
composite_s43,<40,4733,0.5756378281406075,0.5237256481984343,0.6154579240807905,0.7369029774001546,0.6674989044623677,0.8010426546106152,0.8339409602042857,last
composite_s44,<40,4733,0.6217526625207498,0.5639124987137482,0.6650014706240547,0.7443751071821895,0.6748415503896795,0.809084495814044,0.8452576901974659,last
v1_deployed,<40,4733,0.4107912428541786,0.36013783484318906,0.4522002071801348,0.7334503577677389,0.6609609478571926,0.8002810100239091,0.803610893185862,last
control_s42,<40,4733,0.5971364280133565,0.5394753450984077,0.637017772271542,0.735797683326411,0.6638899429183799,0.8058506586587145,0.8378020828526157,best
control_s43,<40,4733,0.5754273707596962,0.5211224035007762,0.6166848191890368,0.7321086219204883,0.6603870204600244,0.798886145519077,0.8412581209203112,best
control_s44,<40,4733,0.5536550984864995,0.5038338169622041,0.6002003447506326,0.7499984332171635,0.6814895822275823,0.8129582415838096,0.8369919136913461,best
composite_s42,<40,4733,0.6205769097032966,0.5679014261144253,0.6571529013777921,0.7283625865932388,0.657563620141483,0.794003642657827,0.8277159895600986,best
composite_s43,<40,4733,0.5906445794411322,0.5296479818396109,0.6357014026288271,0.7367035686755101,0.664902152189125,0.8044971657762361,0.8209731259710492,best
composite_s44,<40,4733,0.6099229089817616,0.5538563509165731,0.6511205479286366,0.7210898655358483,0.647169432241508,0.792095381552952,0.8341204280564658,best
v1_deployed,<40,4733,0.4107912428541786,0.36013783484318906,0.4522002071801348,0.7334503577677389,0.6609609478571926,0.8002810100239091,0.803610893185862,best
