contrast,band,n_images,n_band,n_band_escalating,n_band_escalating_groups,endpoint,seed,delta,ci_lo,ci_hi,seed_min,seed_max,per_seed,status,checkpoint
B: composite - control,all,48,48,24,24,macro_f1,mean,0.016531700650117886,-0.0067607993021026455,0.04426406718464095,0.005142791679622949,0.02461104042946083,"[0.005143, 0.019841, 0.024611]",not_moved,last
B: composite - control,all,48,48,24,24,macro_f1,42,0.005142791679622949,-0.025020301655527006,0.040374365418438335,,,,not_moved,last
B: composite - control,all,48,48,24,24,macro_f1,43,0.019841269841269882,-0.02109543261505276,0.06526681279733522,,,,not_moved,last
B: composite - control,all,48,48,24,24,macro_f1,44,0.02461104042946083,-0.008537761041050439,0.05887121524059779,,,,not_moved,last
B: composite - control,all,48,48,24,24,pauc,mean,-0.039866255144032935,-0.13060566647523159,0.03531746031746036,-0.09741512345679004,0.013503086419753063,"[-0.097415, -0.035687, 0.013503]",not_moved,last
B: composite - control,all,48,48,24,24,pauc,42,-0.09741512345679004,-0.2131987577639751,0.015047827258475392,,,,not_moved,last
B: composite - control,all,48,48,24,24,pauc,43,-0.03568672839506182,-0.14599255339996076,0.061728395061728336,,,,not_moved,last
B: composite - control,all,48,48,24,24,pauc,44,0.013503086419753063,-0.09477101259508662,0.12445086050724637,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,mean,0.03779034632541508,-8.574680433452184e-05,0.07831245861951765,0.02823228463636146,0.042923450139107394,"[0.028232, 0.042215, 0.042923]",not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,42,0.02823228463636146,-0.015588494727701968,0.06861131934211424,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,43,0.04221530420077638,-0.003929194218187699,0.08760731097606625,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,44,0.042923450139107394,0.002653867097282731,0.08594925248100949,,,,moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,mean,0.06976594650205765,-0.03168689506368068,0.18019639349544578,0.018325617283950657,0.1176697530864198,"[0.018326, 0.073302, 0.11767]",not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,42,0.018325617283950657,-0.10013717421124832,0.1389617327117328,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,43,0.07330246913580252,-0.027520576131687253,0.18227023319615915,,,,not_moved,last
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,44,0.1176697530864198,-0.010848462237351109,0.2674074109083373,,,,not_moved,last
B: composite - control,all,48,48,24,24,macro_f1,mean,0.030425834295010973,0.009802036673399477,0.052102781497659637,0.008883836470043371,0.04262032770097285,"[0.008884, 0.039773, 0.04262]",moved,best
B: composite - control,all,48,48,24,24,macro_f1,42,0.008883836470043371,-0.017352899178539286,0.03689515604756787,,,,not_moved,best
B: composite - control,all,48,48,24,24,macro_f1,43,0.0397733387140167,0.006170258976375827,0.08534460903391783,,,,moved,best
B: composite - control,all,48,48,24,24,macro_f1,44,0.04262032770097285,0.008215585057181033,0.07920028851057821,,,,moved,best
B: composite - control,all,48,48,24,24,pauc,mean,0.021540637860082312,-0.03004283562714258,0.1324890387390388,-0.021219135802469147,0.08777006172839508,"[-0.021219, -0.001929, 0.08777]",not_moved,best
B: composite - control,all,48,48,24,24,pauc,42,-0.021219135802469147,-0.12401827050264551,0.14472167325428198,,,,not_moved,best
B: composite - control,all,48,48,24,24,pauc,43,-0.0019290123456789932,-0.09094575519257915,0.1365288518066297,,,,not_moved,best
B: composite - control,all,48,48,24,24,pauc,44,0.08777006172839508,-0.00036421911421905136,0.188205467372134,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,mean,0.024897436882909036,-0.006465951990725846,0.05557235966203651,0.019626781612253758,0.03110419308966525,"[0.019627, 0.023961, 0.031104]",not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,42,0.019626781612253758,-0.019854138056339996,0.06055703808536321,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,43,0.023961335946808104,-0.008950229770657929,0.05086713697376634,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,macro_f1,44,0.03110419308966525,-0.008492407226838816,0.06881567855612704,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,mean,0.061085390946502116,-0.03334894914756028,0.1730039448235906,0.01736111111111116,0.1253858024691359,"[0.040509, 0.017361, 0.125386]",not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,42,0.0405092592592593,-0.08763111888111882,0.21080792492829528,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,43,0.01736111111111116,-0.08107516411914556,0.15062454906204908,,,,not_moved,best
"A: composite - V1 (CONFOUNDED, deployment delta)",all,48,48,24,24,pauc,44,0.1253858024691359,-0.0044032385973938005,0.22187086640211642,,,,not_moved,best
