model,band,n_images,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,pauc,pauc_ci_lo,pauc_ci_hi,full_auc_band,checkpoint
control_s42,all,48,0.20309641097818437,0.16669851887243195,0.24339035783232213,0.7926311728395061,0.6472470238095239,0.924570671098449,0.8576388888888888,last
control_s43,all,48,0.20238095238095236,0.15790114916022904,0.23227277021919882,0.7858796296296298,0.6527777777777778,0.9314764372046588,0.892361111111111,last
control_s44,all,48,0.19831932773109243,0.15879082937522837,0.23549865587051877,0.7810570987654322,0.686430339208117,0.9108014931927977,0.84375,last
composite_s42,all,48,0.20823920265780732,0.16730202114216097,0.24343308080808082,0.6952160493827161,0.5561767955568999,0.8728545217803032,0.8315972222222222,last
composite_s43,all,48,0.22222222222222224,0.18586543400102723,0.255631145247334,0.7501929012345679,0.6247450252079882,0.9013719299363832,0.8854166666666666,last
composite_s44,all,48,0.22293036816055325,0.18319860411697148,0.2533418639818951,0.7945601851851852,0.69719083000333,0.9301353925540123,0.8854166666666666,last
v1_deployed,all,48,0.18000691802144586,0.14073201050755232,0.21946794563892338,0.6768904320987654,0.5447255291005291,0.8416067981497669,0.7847222222222222,last
control_s42,all,48,0.19074986316365625,0.1533483973382694,0.22634643969230434,0.7386188271604939,0.6354910521577187,0.8543366355866355,0.8263888888888888,best
control_s43,all,48,0.16419491525423727,0.12353626100050699,0.20492397772210122,0.6961805555555556,0.5783313908313908,0.8563762626262627,0.8229166666666666,best
control_s44,all,48,0.16849078341013826,0.12907240608853515,0.20552505448149733,0.7145061728395062,0.5907186948853617,0.8466153188375412,0.8055555555555555,best
composite_s42,all,48,0.19963369963369962,0.16881636029101466,0.2361459633640085,0.7173996913580247,0.5742521367521368,0.9311729508488769,0.8836805555555556,best
composite_s43,all,48,0.20396825396825397,0.17017313473026446,0.2370753779851957,0.6942515432098766,0.527761393426094,0.9068570318570319,0.8732638888888888,best
composite_s44,all,48,0.2111111111111111,0.16993572029316353,0.240500184569952,0.8022762345679013,0.6814290826368121,0.9360119047619048,0.8854166666666666,best
v1_deployed,all,48,0.18000691802144586,0.14073201050755232,0.21946794563892338,0.6768904320987654,0.5447255291005291,0.8416067981497669,0.7847222222222222,best
