budget,contrast,band,stat,delta,ci_lo,ci_hi
0.1,band-global,<40,system_sens,0.21863799283154117,0.14121906550110808,0.30072684694238244
0.1,band-global,<40,referral_rate,0.254601226993865,0.21502610163942518,0.2929409551415153
0.1,band-global,40-59,system_sens,0.0434782608695653,0.027774822695035478,0.06118644398485972
0.1,band-global,60+,system_sens,-0.13025210084033612,-0.1499272459010231,-0.1112654480261226
0.1,band-global,ALL,system_sens,-0.045726495726495675,-0.06559729707682885,-0.025430595397795297
0.1,band-global,ALL,referral_rate,-0.02091696598351997,-0.03849462316511268,-0.0031824505323576357
0.1,band-global,ALL,retained_macro_f1,-0.008969224174928125,-0.021125633839578748,0.002482580412244355
0.15,band-global,<40,system_sens,0.19354838709677424,0.12604333144300667,0.26877882081686433
0.15,band-global,<40,referral_rate,0.221881390593047,0.18404105646126925,0.2578763685415817
0.15,band-global,40-59,system_sens,0.01672240802675584,0.0070043386198184445,0.027882095149120614
0.15,band-global,60+,system_sens,-0.10364145658263313,-0.12195247329443822,-0.08663083407730476
0.15,band-global,ALL,system_sens,-0.03675213675213673,-0.05367014536825849,-0.018459934587081023
0.15,band-global,ALL,referral_rate,-0.023663638284386224,-0.03816637751796791,-0.00855453480788802
0.15,band-global,ALL,retained_macro_f1,-0.011312422804240552,-0.025088856120271286,0.0026016117008710853
0.2,band-global,<40,system_sens,0.15412186379928317,0.10442831590533848,0.21558780398386893
0.2,band-global,<40,referral_rate,0.221881390593047,0.18613914167528442,0.25462184618440764
0.2,band-global,40-59,system_sens,0.01672240802675584,0.006041841080333369,0.029733959311424085
0.2,band-global,60+,system_sens,-0.10014005602240894,-0.11802440901094846,-0.08234380561165719
0.2,band-global,ALL,system_sens,-0.03974358974358971,-0.05473919866254597,-0.024516026532733975
0.2,band-global,ALL,referral_rate,-0.016902598774561572,-0.031007793383333,-0.0035964044513170338
0.2,band-global,ALL,retained_macro_f1,-0.021968530432006916,-0.045533419209919566,0.0006211830075247271
0.25,band-global,<40,system_sens,0.1362007168458781,0.08694741316492588,0.1929824561403508
0.25,band-global,<40,referral_rate,0.2137014314928426,0.1807464183625339,0.24897287511870847
0.25,band-global,40-59,system_sens,0.0016722408026755842,0.0,0.005940594059405946
0.25,band-global,60+,system_sens,-0.10434173669467794,-0.12365545310725008,-0.08594291249061828
0.25,band-global,ALL,system_sens,-0.047863247863247915,-0.06324278438030562,-0.033119939979907656
0.25,band-global,ALL,referral_rate,-0.02894570040143668,-0.04308092774821993,-0.01524876111977385
0.25,band-global,ALL,retained_macro_f1,-0.017012309355395883,-0.044082921716749796,0.010653842595010232
0.3,band-global,<40,system_sens,0.1254480286738351,0.07294534835210681,0.1867704280155642
0.3,band-global,<40,referral_rate,0.17586912065439675,0.1461902395022183,0.2066574157534354
0.3,band-global,40-59,system_sens,0.0016722408026755842,0.0,0.005291005291005346
0.3,band-global,60+,system_sens,-0.07913165266106448,-0.09718543186036485,-0.06137139562000681
0.3,band-global,ALL,system_sens,-0.03418803418803418,-0.048380826527139015,-0.019972925732166448
0.3,band-global,ALL,referral_rate,-0.030635960278892815,-0.043819175003835815,-0.017264781412367522
0.3,band-global,ALL,retained_macro_f1,-0.0018352703072503918,-0.03142080034816412,0.027442058794761984
0.1,band-global[esc_risk],<40,system_sens,0.11111111111111105,0.07010890634198176,0.15925477707006355
0.1,band-global[esc_risk],<40,referral_rate,0.13190184049079756,0.10478380523435887,0.16081922463501414
0.1,band-global[esc_risk],ALL,referral_rate,-0.030847242763574895,-0.04162478719631629,-0.019302364478966112
0.1,band-global[esc_risk],ALL,retained_macro_f1,-0.02753300023440658,-0.038639788428457736,-0.017549499741594615
0.15,band-global[esc_risk],<40,system_sens,0.11111111111111105,0.06352936942124973,0.17037037037037028
0.15,band-global[esc_risk],<40,referral_rate,0.13599182004089982,0.10754830923816096,0.16634062844486694
0.15,band-global[esc_risk],ALL,referral_rate,-0.026199028100570454,-0.037648315181208244,-0.014782437385250676
0.15,band-global[esc_risk],ALL,retained_macro_f1,-0.02318444745448367,-0.03454397367911424,-0.012298016885409623
0.2,band-global[esc_risk],<40,system_sens,0.11111111111111105,0.06461964614171846,0.16723610217045418
0.2,band-global[esc_risk],<40,referral_rate,0.12781186094069527,0.10040963032457698,0.1577804145865344
0.2,band-global[esc_risk],ALL,referral_rate,-0.03063596027889287,-0.04404231282764982,-0.018272452940108253
0.2,band-global[esc_risk],ALL,retained_macro_f1,-0.023546440218840725,-0.03392819840217056,-0.011218391113224816
0.25,band-global[esc_risk],<40,system_sens,0.11111111111111116,0.06591614906832301,0.16728735615160176
0.25,band-global[esc_risk],<40,referral_rate,0.14110429447852763,0.11655837429068014,0.16751291688487524
0.25,band-global[esc_risk],ALL,referral_rate,-0.03169237270230302,-0.04253582796343554,-0.02163429629504235
0.25,band-global[esc_risk],ALL,retained_macro_f1,-0.025555179733865563,-0.03606420362601048,-0.015500851838963908
0.3,band-global[esc_risk],<40,system_sens,0.10752688172043012,0.054661007649001905,0.18085877274128886
0.3,band-global[esc_risk],<40,referral_rate,0.17586912065439675,0.14565039974609711,0.20962369089669697
0.3,band-global[esc_risk],ALL,referral_rate,-0.03993238960490175,-0.05299509657908699,-0.02699099752881513
0.3,band-global[esc_risk],ALL,retained_macro_f1,-0.03317979172981622,-0.05358912644093071,-0.01814867233684416
