arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,score
none,0.0,,oof,ALL,6981,1356,818,0.0,0,0.68952802359882,0.31047197640117996,421,0.68952802359882,0.7776112023446365,0,421,7.457750588235294,3.109096993464052,2.2393662745098037,
none,0.0,,oof,<40,1319,64,34,0.0,0,0.546875,0.453125,29,0.546875,0.7737332845580009,0,29,5.904359704040979,2.6017605767406566,1.9412407512805918,
none,0.0,,oof,40-59,3112,397,224,0.0,0,0.6120906801007556,0.3879093198992444,154,0.6120906801007556,0.7909989745393149,0,154,5.4084032467089544,2.4397815317534297,1.8460571887623247,
none,0.0,,oof,60+,2512,893,559,0.0,0,0.7334826427771557,0.2665173572228443,238,0.7334826427771557,0.7659533113550447,0,238,12.921599894383961,4.893586497492405,3.287983818114093,
none,0.0,,oof,unknown,38,2,1,0.0,0,1.0,0.0,0,1.0,0.3817850637522769,0,0,6.5,2.796296296296296,2.0555555555555554,
band,0.1,0.755,oof,ALL,6981,1356,818,0.09998567540466982,698,0.7610619469026548,0.23893805309734517,324,0.7204486626402071,0.8221968154515503,97,421,16.031627906976745,5.90931955211025,3.8848578811369507,msp
band,0.1,0.755,oof,<40,1319,64,34,0.23654283548142532,312,0.78125,0.21875,14,0.5172413793103449,0.8766321467893688,15,29,29.17121912350597,10.200701195219123,6.406597609561754,msp
band,0.1,0.755,oof,40-59,3112,397,224,0.08868894601542417,276,0.7581863979848866,0.24181360201511337,96,0.6666666666666666,0.8476112261590732,58,154,10.37829702097979,4.06294549170047,2.7998751858446065,msp
band,0.1,0.755,oof,60+,2512,893,559,0.04339171974522293,109,0.7603583426651735,0.23964165733482645,214,0.7452380952380953,0.7930198935690146,24,238,14.993272088354326,5.570193240977676,3.6855774715023446,msp
band,0.1,0.755,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.39765807962529276,0,0,6.5,2.796296296296296,2.0555555555555554,msp
global,0.1,,oof,ALL,6981,1356,818,0.09998567540466982,698,0.7898230088495575,0.21017699115044253,285,0.7288296860133207,0.8319679271202742,136,421,12.498272268907563,4.755327980080921,3.206739122315593,msp
global,0.1,,oof,<40,1319,64,34,0.05307050796057619,70,0.609375,0.390625,25,0.5098039215686274,0.8087316876546298,4,29,10.96775973030953,4.255463615622978,2.9130043926856675,msp
global,0.1,,oof,40-59,3112,397,224,0.06780205655526993,211,0.7204030226700252,0.2795969773299748,111,0.6464968152866242,0.8345893210702794,43,154,9.301062473438162,3.7111214138838444,2.593133201972981,msp
global,0.1,,oof,60+,2512,893,559,0.16560509554140126,416,0.8331466965285554,0.16685330347144456,149,0.7821637426900585,0.8296674137697612,89,238,21.03685319492319,7.54402276063148,4.845456673773137,msp
global,0.1,,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.39765807962529276,0,0,6.5,2.796296296296296,2.0555555555555554,msp
band,0.15,0.81,oof,ALL,6981,1356,818,0.14997851310700472,1047,0.8156342182890856,0.18436578171091444,250,0.7497497497497497,0.8456934252109111,171,421,17.960543942133814,6.539302230259191,4.255053887884268,msp
band,0.15,0.81,oof,<40,1319,64,34,0.26004548900682334,343,0.828125,0.171875,11,0.5769230769230769,0.8834263687120707,18,29,30.243809666992405,10.551008544438599,6.612448319927835,msp
band,0.15,0.81,oof,40-59,3112,397,224,0.1153598971722365,359,0.8136020151133502,0.18639798488664983,74,0.6991869918699187,0.8641741472133379,80,154,11.308160717034704,4.366638348661166,2.9783338749864585,msp
band,0.15,0.81,oof,60+,2512,893,559,0.13694267515923567,344,0.8152295632698768,0.18477043673012317,165,0.7724137931034483,0.8218783629735141,73,238,19.52701182387717,7.050909585576045,4.55568913791582,msp
band,0.15,0.81,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.39765807962529276,0,0,6.5,2.796296296296296,2.0555555555555554,msp
global,0.15,,oof,ALL,6981,1356,818,0.14997851310700472,1047,0.8414454277286135,0.15855457227138647,215,0.7554038680318543,0.8588786465630982,206,421,14.783900438212095,5.501812601032232,3.64539503359626,msp
global,0.15,,oof,<40,1319,64,34,0.08188021228203184,108,0.640625,0.359375,23,0.5306122448979592,0.8291497685362451,6,29,14.668176076183073,5.464017102322418,3.6231853075502864,msp
global,0.15,,oof,40-59,3112,397,224,0.1050771208226221,327,0.7934508816120907,0.20654911838790935,82,0.6833976833976834,0.8579248761312754,72,154,10.78869771112865,4.196982080738986,2.8786389546610542,msp
global,0.15,,oof,60+,2512,893,559,0.24203821656050956,608,0.8768197088465846,0.12318029115341544,110,0.8073555166374781,0.858867045511633,128,238,24.153472059523047,8.56190838307655,5.443595647787251,msp
global,0.15,,oof,unknown,38,2,1,0.10526315789473684,4,1.0,0.0,0,,0.28329297820823246,0,0,9.25,3.694444444444444,2.5833333333333335,msp
band,0.2,0.855,oof,ALL,6981,1356,818,0.19997135080933964,1396,0.8584070796460177,0.1415929203539823,192,0.7780346820809249,0.8649604747790421,229,421,21.03152164948454,7.542281481481481,4.844433447880871,msp
band,0.2,0.855,oof,<40,1319,64,34,0.3169067475360121,418,0.875,0.125,8,0.5789473684210527,0.9100684429103791,21,29,34.71747296528172,12.012103965092013,7.471030165054069,msp
band,0.2,0.855,oof,40-59,3112,397,224,0.15359897172236503,478,0.8589420654911839,0.1410579345088161,56,0.7294685990338164,0.8810131692039065,98,154,13.73569773658884,5.1594703045424835,3.4442248181332116,msp
band,0.2,0.855,oof,60+,2512,893,559,0.1982484076433121,498,0.8566629339305711,0.14333706606942886,128,0.7990580847723705,0.8395827981068288,110,238,22.414090033789922,7.993827384773139,5.109774854969782,msp
band,0.2,0.855,oof,unknown,38,2,1,0.05263157894736842,2,1.0,0.0,0,1.0,0.39757869249394673,0,0,9.25,3.694444444444444,2.5833333333333335,msp
global,0.2,,oof,ALL,6981,1356,818,0.19997135080933964,1396,0.8783185840707964,0.12168141592920356,165,0.7823218997361477,0.8835160120271027,256,421,18.052582367758188,6.569361918089373,4.272717828155612,msp
global,0.2,,oof,<40,1319,64,34,0.12585291887793784,166,0.671875,0.328125,21,0.5116279069767442,0.8445617271045806,8,29,19.081052534049846,6.905259581827728,4.470100991383304,msp
global,0.2,,oof,40-59,3112,397,224,0.14203084832904883,442,0.8488664987405542,0.1511335012594458,60,0.726027397260274,0.8767492736711114,94,154,12.941826647212157,4.900192541345384,3.29186572017203,msp
global,0.2,,oof,60+,2512,893,559,0.31170382165605093,783,0.9059350503919373,0.09406494960806266,84,0.8306451612903226,0.8900960715079254,154,238,29.079192469523296,10.170645351999191,6.388935928494369,msp
global,0.2,,oof,unknown,38,2,1,0.13157894736842105,5,1.0,0.0,0,,0.2857142857142857,0,0,9.25,3.694444444444444,2.5833333333333335,msp
band,0.25,0.88,oof,ALL,6981,1356,818,0.24996418851167454,1745,0.8856932153392331,0.11430678466076694,155,0.7933333333333333,0.8946811322978457,266,421,24.607271273938384,8.710118900915903,5.530688426311407,msp
band,0.25,0.88,oof,<40,1319,64,34,0.39878695981804396,526,0.90625,0.09375,6,0.5384615384615384,0.9389551595286002,23,29,42.346338782799826,14.503686403810049,8.93515592801209,msp
band,0.25,0.88,oof,40-59,3112,397,224,0.18059125964010284,562,0.8841309823677582,0.11586901763224178,46,0.75,0.9057796266427426,108,154,15.723700240827311,5.808750583704542,3.825760652279989,msp
band,0.25,0.88,oof,60+,2512,893,559,0.25995222929936307,653,0.8846584546472565,0.11534154535274355,103,0.8137432188065099,0.8774793286830329,135,238,25.399864739134173,8.968979392915875,5.682802323672214,msp
band,0.25,0.88,oof,unknown,38,2,1,0.10526315789473684,4,1.0,0.0,0,,0.28329297820823246,0,0,9.25,3.694444444444444,2.5833333333333335,msp
global,0.25,,oof,ALL,6981,1356,818,0.24996418851167454,1745,0.9122418879056047,0.08775811209439532,119,0.8155038759689922,0.9052126668700493,302,421,21.58576814874697,7.723298014910625,4.950803988143357,msp
global,0.25,,oof,<40,1319,64,34,0.1683093252463988,222,0.703125,0.296875,19,0.5,0.8443913117072687,10,29,23.66262948207171,8.401599527814668,5.349393536963258,msp
