arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,score,role
none,0.0,,reserved,ALL,4733,2340,779,0.0,0,0.3918803418803419,0.6081196581196582,1423,0.3918803418803419,0.4107912428541786,0,1423,11.768102713248064,4.516855094899199,3.066605571229426,0.3588280915770802,0.42651651964826276,boot,,primary
none,0.0,,reserved,<40,978,279,104,0.0,0,0.34050179211469533,0.6594982078853047,184,0.34050179211469533,0.44340675930349843,0,184,6.407318725999548,2.766026654619381,2.0377682403433477,0.21800204613420543,0.4644208139911475,boot,,primary
none,0.0,,reserved,40-59,1525,598,174,0.0,0,0.3695652173913043,0.6304347826086957,377,0.3695652173913043,0.39091819415841966,0,377,6.7795545402627075,2.887598620893881,2.1092074370201157,0.2913038804318651,0.4477618544445912,boot,,primary
none,0.0,,reserved,60+,2111,1428,479,0.0,0,0.41316526610644255,0.5868347338935574,838,0.41316526610644255,0.3788536031712928,0,838,24.15445814824925,8.562230438990495,5.4437848971387455,0.37202521793275223,0.45611468656637844,boot,,primary
none,0.0,,reserved,unknown,119,35,25,0.0,0,0.3142857142857143,0.6857142857142857,24,0.3142857142857143,0.23537308908232646,0,24,12.25,4.674242424242423,3.159090909090909,0.16851715074700252,0.49288000031517487,CP,,primary
band,0.1,0.755,reserved,ALL,4733,2340,779,0.2148742869216142,1017,0.5564102564102564,0.44358974358974357,1038,0.3839762611275964,0.43455595239920114,385,1423,32.52559019105263,11.296236527044124,7.050365794242423,0.5204742645711025,0.5912602607866966,boot,msp,primary
band,0.1,0.755,reserved,<40,978,279,104,0.38139059304703476,373,0.7132616487455197,0.28673835125448033,80,0.17525773195876287,0.4764316233561637,104,184,38.92647788297711,13.38676213686458,8.278818987642072,0.5914264237707818,0.811265574991445,boot,msp,primary
band,0.1,0.755,reserved,40-59,1525,598,174,0.2321311475409836,354,0.6086956521739131,0.3913043478260869,234,0.35359116022099446,0.4194010453283425,143,377,22.93134535367545,8.162762623927673,5.209046077978117,0.5312414772727273,0.6835855605692467,boot,msp,primary
band,0.1,0.755,reserved,60+,2111,1428,479,0.13358597820937945,282,0.5063025210084033,0.49369747899159666,705,0.41102756892230574,0.39477890927415205,133,838,30.774038140252607,10.724180806749168,6.71420934004848,0.46601015341288077,0.5491987648230691,boot,msp,primary
band,0.1,0.755,reserved,unknown,119,35,25,0.06722689075630252,8,0.45714285714285713,0.5428571428571429,19,0.3448275862068966,0.25215702903564174,5,24,11.3125,4.368055555555555,2.9791666666666665,0.288271443790757,0.6335419828785478,CP,msp,primary
