budget,contrast,band,stat,delta,ci_lo,ci_hi
0.1,band-global,<40,system_sens,0.18181818181818177,0.05245215311004782,0.4117647058823529
0.1,band-global,<40,referral_rate,0.22097378277153557,0.1555059134741084,0.2847800711743772
0.1,band-global,40-59,system_sens,0.06666666666666665,0.01691604872881352,0.12508928571428574
0.1,band-global,60+,system_sens,-0.053097345132743334,-0.08514814489185862,-0.0246245344226841
0.1,band-global,ALL,system_sens,-0.012987012987012991,-0.04456647464392628,0.016474780701754416
0.1,band-global,ALL,referral_rate,0.0013054830287206193,-0.017678103341228008,0.01876560110797183
0.1,band-global,ALL,retained_macro_f1,-0.026026562531413333,-0.04654347894297332,-0.008121744563526809
0.15,band-global,<40,system_sens,0.2727272727272727,0.09055944055944054,0.529812834224599
0.15,band-global,<40,referral_rate,0.19101123595505615,0.13253059440559442,0.25202075471698115
0.15,band-global,40-59,system_sens,0.0,0.0,0.0
0.15,band-global,60+,system_sens,-0.04867256637168138,-0.08750898957209642,-0.016949152542372944
0.15,band-global,ALL,system_sens,-0.016233766233766267,-0.046414480967813365,0.013704596439310827
0.15,band-global,ALL,referral_rate,-0.003263707571801555,-0.021858681332284115,0.01572979159091016
0.15,band-global,ALL,retained_macro_f1,-0.020283243791975214,-0.05528282177525756,0.0030189374264654105
0.2,band-global,<40,system_sens,0.3181818181818181,0.09055944055944054,0.668055555555556
0.2,band-global,<40,referral_rate,0.1910112359550562,0.13737855655794587,0.24908018867924525
0.2,band-global,40-59,system_sens,0.0,0.0,0.0
0.2,band-global,60+,system_sens,-0.03539823008849552,-0.06677725118483409,-0.01263678624321206
0.2,band-global,ALL,system_sens,-0.0032467532467532756,-0.03041318835900744,0.03503324393787015
0.2,band-global,ALL,referral_rate,0.0058746736292428214,-0.008609491392897288,0.025195602424542322
0.2,band-global,ALL,retained_macro_f1,-0.024813249328968667,-0.049854960497014864,-0.00691469500693283
0.25,band-global,<40,system_sens,0.2272727272727273,0.06421901528013582,0.47132352941176486
0.25,band-global,<40,referral_rate,0.17602996254681647,0.13042089264104195,0.22406037735849058
0.25,band-global,40-59,system_sens,0.0,0.0,0.0
0.25,band-global,60+,system_sens,-0.039823008849557584,-0.07505550193050188,-0.013198888132516453
0.25,band-global,ALL,system_sens,-0.012987012987012991,-0.039786737931475025,0.01736193316335817
0.25,band-global,ALL,referral_rate,-0.013054830287206248,-0.030505173896952176,0.003213529445430076
0.25,band-global,ALL,retained_macro_f1,-0.022917459787113015,-0.046777119625018015,-0.004047057889994084
0.3,band-global,<40,system_sens,0.18181818181818188,0.0,0.4347826086956521
0.3,band-global,<40,referral_rate,0.13857677902621723,0.09180695304437567,0.18155288360895958
0.3,band-global,40-59,system_sens,0.0,0.0,0.0
0.3,band-global,60+,system_sens,-0.03982300884955747,-0.0663864965233881,-0.01843106582674505
0.3,band-global,ALL,system_sens,-0.016233766233766156,-0.04454735187575463,0.011300191969284891
0.3,band-global,ALL,referral_rate,-0.028067885117493474,-0.046330052731581306,-0.013241491999098503
0.3,band-global,ALL,retained_macro_f1,-0.020218684538864773,-0.047779536174391415,-0.0020562104167635826
0.1,band-global[esc_risk],<40,system_sens,0.2272727272727273,0.06421901528013582,0.47132352941176486
0.1,band-global[esc_risk],<40,referral_rate,0.11610486891385767,0.07195616883116883,0.1623195776421583
0.1,band-global[esc_risk],ALL,referral_rate,-0.004569190600522188,-0.016385848989030772,0.010084648057063996
0.1,band-global[esc_risk],ALL,retained_macro_f1,-0.0026427309311802816,-0.008992330653398,0.003675345354185497
0.15,band-global[esc_risk],<40,system_sens,0.18181818181818188,0.0,0.4347826086956521
0.15,band-global[esc_risk],<40,referral_rate,0.12359550561797752,0.08093149540517963,0.16487549518958688
0.15,band-global[esc_risk],ALL,referral_rate,-0.015013054830287198,-0.03045057542172594,1.6318537859011624e-05
0.15,band-global[esc_risk],ALL,retained_macro_f1,-0.018294006021348896,-0.03368361539918642,-0.003981702168471895
0.2,band-global[esc_risk],<40,system_sens,0.09090909090909094,0.0,0.26086956521739135
0.2,band-global[esc_risk],<40,referral_rate,0.11610486891385766,0.07193745173745178,0.1536060269186485
0.2,band-global[esc_risk],ALL,referral_rate,-0.01240208877284596,-0.02598648869330535,0.002550259139035879
0.2,band-global[esc_risk],ALL,retained_macro_f1,-0.003301123778954751,-0.010566781702443925,0.00404844178292607
0.25,band-global[esc_risk],<40,system_sens,0.09090909090909094,0.0,0.26086956521739135
0.25,band-global[esc_risk],<40,referral_rate,0.1610486891385768,0.11329270923209667,0.2092422799900654
0.25,band-global[esc_risk],ALL,referral_rate,-0.0058746736292428214,-0.017532301896115116,0.010474659881238262
0.25,band-global[esc_risk],ALL,retained_macro_f1,0.003010359177570754,-0.0031545541201490027,0.01245302164698217
0.3,band-global[esc_risk],<40,system_sens,0.0,0.0,0.0
0.3,band-global[esc_risk],<40,referral_rate,0.18726591760299627,0.13739688500369368,0.23323173471527425
0.3,band-global[esc_risk],ALL,referral_rate,-0.009138381201044377,-0.02366475953721769,0.007862156103867746
0.3,band-global[esc_risk],ALL,retained_macro_f1,9.543667465627959e-05,-0.007748735138435044,0.006237887857547464
