arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,score,role
none,0.0,,val,ALL,1532,308,175,0.0,0,0.7142857142857143,0.2857142857142857,88,0.7142857142857143,0.7638314390344817,0,88,8.247058823529413,3.366884531590414,2.390849673202614,0.6491132400542968,0.7861750390578056,boot,,primary
none,0.0,,val,<40,267,22,10,0.0,0,0.5454545454545454,0.4545454545454546,10,0.5454545454545454,0.7548418054747169,0,10,4.704081632653061,2.209750566893424,1.7108843537414966,0.3221047545531717,0.7561381340769835,CP,,primary
none,0.0,,val,40-59,697,60,33,0.0,0,0.55,0.44999999999999996,27,0.55,0.7174842071340969,0,27,7.499215070643642,3.1226392654964084,2.2473241044669616,0.39028560450819677,0.6876201923076923,boot,,primary
none,0.0,,val,60+,558,226,132,0.0,0,0.7743362831858407,0.2256637168141593,51,0.7743362831858407,0.729872083186869,0,51,14.86340791738382,5.5277796901893295,3.66065404475043,0.7027476968730623,0.8233271532901671,boot,,primary
none,0.0,,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,,primary
band,0.1,0.755,val,ALL,1532,308,175,0.10704960835509138,164,0.7922077922077922,0.20779220779220775,64,0.752895752895753,0.8229076787331316,24,88,16.825096432015428,6.168465838065646,4.037139719275688,0.7328767123287672,0.8540016842749961,boot,msp,primary
band,0.1,0.755,val,<40,267,22,10,0.2846441947565543,76,0.7727272727272727,0.2272727272727273,5,0.2857142857142857,0.7531123870160877,5,10,32.89867947178871,11.418087234893958,7.121968787515006,0.5462963763378781,0.9217937396481075,CP,msp,primary
band,0.1,0.755,val,40-59,697,60,33,0.09038737446197992,63,0.7166666666666667,0.2833333333333333,17,0.6222222222222222,0.8304929376650928,10,27,12.927275382424883,4.895440108064693,3.289073053192654,0.59984375,0.8334016393442624,boot,msp,primary
band,0.1,0.755,val,60+,558,226,132,0.044802867383512544,25,0.8141592920353983,0.18584070796460173,42,0.7971014492753623,0.7641736605076231,9,51,15.284081980094289,5.665171555788371,3.741389470927187,0.7419287634408602,0.8595097415953031,boot,msp,primary
band,0.1,0.755,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
global,0.1,,val,ALL,1532,308,175,0.10574412532637076,162,0.8051948051948052,0.19480519480519476,60,0.7551020408163265,0.848934241264545,28,88,13.857685009487668,5.199311265724928,3.4676365169723797,0.743469786582844,0.8689565443663804,boot,msp,primary
global,0.1,,val,<40,267,22,10,0.06367041198501873,17,0.5909090909090909,0.40909090909090906,9,0.5,0.7889856148897361,1,10,12.625117739403453,4.796755625327053,3.2310832025117735,0.36354696172973133,0.7929068770028508,CP,msp,primary
global,0.1,,val,40-59,697,60,33,0.07173601147776183,50,0.65,0.35,21,0.58,0.8018299974806655,6,27,12.47687477357807,4.7483395725153965,3.202632532302862,0.51497113997114,0.7833653846153846,boot,msp,primary
