contrast,endpoint,n,delta,ci_lo,ci_hi,p_boot,n_draws,p_holm
H2-H0,macro_f1,128,-0.002870771515178283,-0.10787321025200095,0.15819472340148824,0.9306930693069307,100,1.0
H2-H0,pauc_<40,25,,,,,0,1.0
H2-H1,macro_f1,128,-0.004253878019737367,-0.05257690781618831,0.03974837239697078,0.6534653465346535,100,
H2-H1,pauc_<40,25,,,,,0,
H1-H0,macro_f1,128,0.001383106504559084,-0.09152165211067705,0.16562319133576775,0.9306930693069307,100,
H1-H0,pauc_<40,25,,,,,0,
H3-H2,macro_f1,128,-0.002191266302887629,-0.016504931342487622,0.012477413831653275,0.8712871287128713,100,
H3-H2,pauc_<40,25,,,,,0,
D1-H2,macro_f1,128,-0.03345973439677169,-0.1141086490485722,0.004685990394587175,0.19801980198019803,100,
D1-H2,pauc_<40,25,,,,,0,
H2-H0 gate_accepted,macro_f1,119,-0.0629812052412671,-0.16133821623994515,0.18360834234187617,0.9504950495049505,100,
H2-H0 gate_accepted,pauc_<40,24,,,,,0,
