model,subset,n,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,escalation_sensitivity
H0_ham_head,all,128,0.44999193011637917,0.2743543916108452,0.5436353295229882,0.6186400686400687,0.5490196078431373
H0_ham_head,gate_accepted,119,0.5056049213943951,0.25639939816027524,0.5773776876833708,0.6173881673881674,0.5217391304347826
H0_ham_head,archive bcn20000,64,0.49998585197372264,0.2530588766072637,0.5727295918367346,0.6263285024154589,0.5405405405405406
H0_ham_head,archive mskcc,64,0.21162342811827348,0.16621808373055463,0.24451362683438155,0.7057142857142857,0.5714285714285714
H1_pooled_head,all,128,0.45137503662093825,0.3460291016173369,0.5289042592571862,0.6105855855855856,0.7254901960784313
H1_pooled_head,gate_accepted,119,0.4532838306947493,0.3394816746675227,0.5318140366691513,0.6053751803751805,0.6956521739130435
H1_pooled_head,archive bcn20000,64,0.4614948543519972,0.3515384165384165,0.5561921708879218,0.6036231884057971,0.8108108108108109
H1_pooled_head,archive mskcc,64,0.22103638935322104,0.171404071773637,0.24700015344483656,0.71,0.5
H2_routed,all,128,0.4471211586012009,0.3336361231361231,0.5205432340160144,0.5671921921921922,0.6470588235294118
H2_routed,gate_accepted,119,0.44262371615312796,0.3141295214268663,0.5161251884555986,0.5498196248196249,0.6304347826086957
H2_routed,archive bcn20000,64,0.4325925106884859,0.3076274501241501,0.5317447515577199,0.5502415458937199,0.6756756756756757
H2_routed,archive mskcc,64,0.22950618043170776,0.18909715042239314,0.2596718527005568,0.7457142857142858,0.5714285714285714
H3_oracle_routed,all,128,0.44492989229831326,0.33987353605210746,0.5156374659969486,0.5671921921921922,0.6470588235294118
H3_oracle_routed,gate_accepted,119,0.43974913974913976,0.31771909451257274,0.5170261731260971,0.5498196248196249,0.6304347826086957
H3_oracle_routed,archive bcn20000,64,0.4405078044655712,0.31676781478315785,0.5347872989894267,0.557487922705314,0.7027027027027027
H3_oracle_routed,archive mskcc,64,0.22103638935322104,0.171404071773637,0.24700015344483656,0.71,0.5
D1_routed_mskcc3,all,128,0.4136614242044292,0.2889239219409774,0.4935879923678208,0.4977477477477477,0.6470588235294118
D1_routed_mskcc3,gate_accepted,119,0.4093125834808809,0.2825699243643381,0.4973132183908045,0.4803751803751804,0.6304347826086957
D1_routed_mskcc3,archive bcn20000,64,0.3836335937883925,0.24904532967032966,0.4699531361133645,0.47355072463768116,0.6486486486486487
D1_routed_mskcc3,archive mskcc,64,0.232984441301273,0.19341963924212752,0.2614481058550286,0.7814285714285715,0.6428571428571429
