contrast,endpoint,n,delta,ci_lo,ci_hi,p_boot,n_draws,p_holm
H2-H0,macro_f1,4733,0.10708845683498758,0.07487221875677325,0.13600287168754893,0.0009995002498750624,2000,0.001999000499750125
H2-H0,pauc_<40,978,0.0071359836462057125,-0.027126903562772833,0.03996456763914276,0.7246376811594203,2000,0.7246376811594203
H2-H1,macro_f1,4733,-0.008120239633197524,-0.024073180068679655,0.007349046531328439,0.2688655672163918,2000,
H2-H1,pauc_<40,978,-0.01335183846298027,-0.029612163575892747,0.0016233485312894711,0.095952023988006,2000,
H1-H0,macro_f1,4733,0.1152086964681851,0.08338410854456846,0.14465728861241314,0.0009995002498750624,2000,
H1-H0,pauc_<40,978,0.020487822109185982,-0.012050319517651847,0.053543453211228,0.2318840579710145,2000,
H3-H2,macro_f1,4733,0.0052036490287437065,0.00018440914668888252,0.01184297361206811,0.03398300849575212,2000,
H3-H2,pauc_<40,978,-0.0003874226650236734,-0.008404367425826462,0.007352812062530185,0.9055472263868066,2000,
D1-H2,macro_f1,4733,0.004006269015169206,-0.009037092506771463,0.013130307568052347,0.4617691154422789,2000,
D1-H2,pauc_<40,978,-0.0015069602190989073,-0.008862015763960045,0.004693346886322233,0.6436781609195402,2000,
H2-H0 gate_accepted,macro_f1,4418,0.09021375893784023,0.05121872907946824,0.12203291406880853,0.0009995002498750624,2000,
H2-H0 gate_accepted,pauc_<40,937,0.002298122371910849,-0.030287664970979983,0.03515509226213074,0.9025487256371814,2000,
