model,subset,n,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,escalation_sensitivity,pauc_u40,pauc_u40_ci_lo,pauc_u40_ci_hi,u40_escalation_sensitivity
H0_ham_head,all,4733,0.4187995560398209,0.38135740952582825,0.4519461066854679,0.46360187106142536,0.532051282051282,0.7110026327649045,0.6463566187698292,0.7706567419428945,0.46953405017921146
H0_ham_head,gate_accepted,4418,0.4452747521000946,0.4039951358781051,0.4824509116976854,0.47665844865808343,0.5189518015910154,0.7241476761013906,0.6638151031765709,0.7810110393532365,0.45692883895131087
H0_ham_head,archive bcn20000,3856,0.42452813930235156,0.3832477671242974,0.46241392471927467,0.4636520844286959,0.5449490268767377,0.7217230408796241,0.652625049723713,0.7916311340847642,0.4666666666666667
H0_ham_head,archive mskcc,877,0.24070091596973317,0.22185666282789082,0.25875053049434,0.5158450040525512,0.3791208791208791,0.6965144230769231,0.5964387534392365,0.791828460284716,0.5
H1_pooled_head,all,4733,0.534008252508006,0.4861938131793134,0.5714517695865929,0.5912110590717476,0.7884615384615384,0.7314904548740905,0.6611651129521299,0.7988493730492834,0.6344086021505376
H1_pooled_head,gate_accepted,4418,0.5419479877831153,0.4927405743908483,0.580577165195032,0.6013328777964232,0.7824052409920449,0.7416320395525494,0.6742103917542039,0.8053215005894097,0.6292134831460674
H1_pooled_head,archive bcn20000,3856,0.5266501700651237,0.476127820828787,0.5673730384823713,0.5757452543074041,0.8113994439295644,0.7267459144780338,0.6530761444085673,0.8011969266348761,0.6509803921568628
H1_pooled_head,archive mskcc,877,0.2838052949309711,0.2676817394824251,0.2994144562695067,0.6597541609334062,0.5164835164835165,0.6976273148148149,0.5953864150880905,0.8018872544078911,0.4583333333333333
H2_routed,all,4733,0.5258880128748085,0.4779366589553882,0.561446707633391,0.5819362393784276,0.7534188034188034,0.7181386164111102,0.6482092355477952,0.7860276770506488,0.5985663082437276
H2_routed,gate_accepted,4418,0.5354885110379348,0.48580262188172196,0.5720005327169003,0.5941360007354545,0.7487131492746841,0.7264457984733015,0.6584612795341239,0.7916654476216606,0.5880149812734082
H2_routed,archive bcn20000,3856,0.52010088067181,0.47140254411460564,0.5571777034125811,0.5698876593004892,0.7752548656163114,0.7104703841255896,0.6346553987117789,0.7893632603715365,0.615686274509804
H2_routed,archive mskcc,877,0.28338212929703793,0.2666901753045437,0.29937382154921854,0.6547139966951288,0.4945054945054945,0.6867209757834758,0.5834419477098767,0.791211825721479,0.4166666666666667
H3_oracle_routed,all,4733,0.5310916619035522,0.4838881700256838,0.5656521792585859,0.5882088753239362,0.7568376068376068,0.7177511937460865,0.6485463295925736,0.7842757795635473,0.6093189964157706
H3_oracle_routed,gate_accepted,4418,0.5386563211451474,0.49096125096929044,0.5749738587129053,0.6004806375838856,0.7510528778661675,0.7257315171955454,0.6589881636223294,0.7906513760816211,0.599250936329588
H3_oracle_routed,archive bcn20000,3856,0.5254918095048209,0.47609195589184133,0.5630331036915726,0.57576213125766,0.7771084337349398,0.7147655622556786,0.640345867720497,0.7911612371681815,0.6235294117647059
H3_oracle_routed,archive mskcc,877,0.2838052949309711,0.2676817394824251,0.2994144562695067,0.6597541609334062,0.5164835164835165,0.6976273148148149,0.5953864150880905,0.8018872544078911,0.4583333333333333
D1_routed_mskcc3,all,4733,0.5298942818899777,0.48108824510140946,0.5653841269676908,0.5777235430185262,0.7619658119658119,0.7166316561920113,0.6479890393178799,0.7839588290303491,0.5949820788530465
D1_routed_mskcc3,gate_accepted,4418,0.5424387693166732,0.49237592818813786,0.5794037096950987,0.5959241752135639,0.757604117922321,0.7254675436798529,0.6566758345459226,0.7899972982605005,0.5842696629213483
D1_routed_mskcc3,archive bcn20000,3856,0.5144509281863658,0.4662919384492022,0.5523816216536338,0.5584507960202683,0.772937905468026,0.7083982269078711,0.6326372913969909,0.7874666348509062,0.611764705882353
D1_routed_mskcc3,archive mskcc,877,0.30471617121429634,0.29001145249657845,0.32039605547173966,0.7396581406015369,0.6318681318681318,0.6710292022792024,0.5698724121328841,0.7759544884461622,0.4166666666666667
REF_V1_deployed_ensemble,all,4733,0.4107912428541786,0.36013783484318906,0.4522002071801348,0.43739727551873914,0.3918803418803419,0.7334503577677389,0.6609609478571926,0.8002810100239091,0.34050179211469533
REF_V4_pooled_control_s42_last,all,4733,0.5878535323642458,0.5308665044689123,0.6304573679674325,0.5688706996904982,0.7978632478632479,0.7197224914240006,0.6518762367673857,0.7876815867053895,0.6164874551971327
REF_V4_pooled_control_s43_last,all,4733,0.6091178440371003,0.5485461717626022,0.6510871547023791,0.6140471185282089,0.8141025641025641,0.7329632307403932,0.6695557310601771,0.7955525026840465,0.6451612903225806
REF_V4_pooled_control_s44_last,all,4733,0.6110950264608962,0.5561366141744322,0.6531154933245186,0.60378091849599,0.7957264957264957,0.7325159854579764,0.6660508341954549,0.7972570174915481,0.6810035842293907
