label,a,b,band,stat,value_a,value_b,delta,ci_lo,ci_hi
deployed_vs_V1,S56@0.2,V1@0,ALL,system_sens,0.6927350427350427,0.3918803418803419,0.30085470085470084,0.2730231155593432,0.3275378953218855
deployed_vs_V1,S56@0.2,V1@0,ALL,referral_rate,0.3858018170293683,0.0,0.3858018170293683,0.36293813497199146,0.40791519831496376
deployed_vs_V1,S56@0.2,V1@0,<40,system_sens,0.7634408602150538,0.34050179211469533,0.4229390681003584,0.3104803948832036,0.5388250180223475
deployed_vs_V1,S56@0.2,V1@0,<40,referral_rate,0.4539877300613497,0.0,0.4539877300613497,0.39837157709574944,0.5083947129527202
deployed_vs_V1,S56@0.2,V1@0,40-59,system_sens,0.7040133779264214,0.3695652173913043,0.33444816053511706,0.2746652888510073,0.3943933393339334
deployed_vs_V1,S56@0.2,V1@0,40-59,referral_rate,0.35672131147540986,0.0,0.35672131147540986,0.31480209316929936,0.3996229065762314
deployed_vs_V1,S56@0.2,V1@0,60+,system_sens,0.6743697478991597,0.41316526610644255,0.26120448179271716,0.23342627056532542,0.291668986636971
deployed_vs_V1,S56@0.2,V1@0,60+,referral_rate,0.3851255329227854,0.0,0.3851255329227854,0.355058396524159,0.4163431071972168
deployed_vs_V1,S56@0.2,V1@0,ALL,retained_macro_f1,0.4645527240724504,0.4107912428541786,0.05376148121827179,0.025336708848533864,0.08233855119443062
lambda_layer_workload_matched,CASC@0.15,S56_matched_CASC@0.235,ALL,system_sens,0.7111111111111111,0.729059829059829,-0.017948717948717885,-0.02508975819029195,-0.011401939086993667
lambda_layer_workload_matched,CASC@0.15,S56_matched_CASC@0.235,<40,system_sens,0.7670250896057348,0.7670250896057348,0.0,0.0,0.0
lambda_layer_workload_matched,CASC@0.15,S56_matched_CASC@0.235,40-59,system_sens,0.705685618729097,0.7140468227424749,-0.00836120401337792,-0.025607403326568856,0.007900149940852407
lambda_layer_workload_matched,CASC@0.15,S56_matched_CASC@0.235,60+,system_sens,0.7009803921568627,0.7275910364145658,-0.026610644257703098,-0.03455578169819766,-0.018544356533978405
lambda_layer_workload_matched,CASC@0.15,S56_matched_CASC@0.235,ALL,flag_rate,0.5022184660891612,0.5144728502007183,-0.012254384111557104,-0.017322178128752086,-0.00718312631620612
lambda_layer_same_budget,CASC@0.15,S56@0.15,<40,system_sens,0.7670250896057348,0.7311827956989247,0.03584229390681004,0.014978488784929661,0.06550397308325581
lambda_layer_same_budget,CASC@0.15,S56@0.15,60+,system_sens,0.7009803921568627,0.6043417366946778,0.09663865546218486,0.08053476812837462,0.11408411608674476
lambda_layer_same_budget,CASC@0.15,S56@0.15,ALL,system_sens,0.7111111111111111,0.6333333333333333,0.07777777777777783,0.06549294640896579,0.09019881259276619
conformal_layer_workload_matched,S56_CONF@0.2,S56_matched_CONF@0.83,<40,system_sens,0.8817204301075269,1.0,-0.11827956989247312,-0.19436315118103312,-0.061482068555577654
conformal_layer_workload_matched,S56_CONF@0.2,S56_matched_CONF@0.83,ALL,system_sens,0.905982905982906,0.9752136752136752,-0.0692307692307692,-0.08607344792136805,-0.052105495480356666
