arm,key,view,budget,conformal,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate
V1,V1@0,ARG,0.0,False,,reserved,ALL,4733,2340,779,0.0,0,0.3918803418803419,0.6081196581196582,1423,0.3918803418803419,0.4107912428541786,0,1423,11.768102713248064,4.516855094899199,3.066605571229426,0.3588280915770802,0.42651651964826276,boot,0.21529685189097825
V1,V1@0,ARG,0.0,False,,reserved,<40,978,279,104,0.0,0,0.34050179211469533,0.6594982078853047,184,0.34050179211469533,0.44340675930349843,0,184,6.407318725999548,2.766026654619381,2.0377682403433477,0.21800204613420543,0.4644208139911475,boot,0.11042944785276074
V1,V1@0,ARG,0.0,False,,reserved,40-59,1525,598,174,0.0,0,0.3695652173913043,0.6304347826086957,377,0.3695652173913043,0.39091819415841966,0,377,6.7795545402627075,2.887598620893881,2.1092074370201157,0.2913038804318651,0.4477618544445912,boot,0.1580327868852459
V1,V1@0,ARG,0.0,False,,reserved,60+,2111,1428,479,0.0,0,0.41316526610644255,0.5868347338935574,838,0.41316526610644255,0.3788536031712928,0,838,24.15445814824925,8.562230438990495,5.4437848971387455,0.37202521793275223,0.45611468656637844,boot,0.31075319753671243
V1,V1@0,ARG,0.0,False,,reserved,unknown,119,35,25,0.0,0,0.3142857142857143,0.6857142857142857,24,0.3142857142857143,0.23537308908232646,0,24,12.25,4.674242424242423,3.159090909090909,0.16851715074700252,0.49288000031517487,CP,0.11764705882352941
LAM,LAM@0,LAM,0.0,False,,reserved,ALL,4733,2340,779,0.0,0,0.5794871794871795,0.42051282051282046,984,0.5794871794871795,0.44518357832866584,0,984,29.485349969860472,10.303296118102576,6.466885347751,0.5417024264697623,0.6156230462187554,boot,0.37080076061694484
LAM,LAM@0,LAM,0.0,False,,reserved,<40,978,279,104,0.0,0,0.40860215053763443,0.5913978494623655,165,0.40860215053763443,0.46184795215742813,0,165,10.705443867178674,4.16979143136812,2.862660944206008,0.281354959695477,0.5373573168401948,boot,0.14519427402862986
LAM,LAM@0,LAM,0.0,False,,reserved,40-59,1525,598,174,0.0,0,0.705685618729097,0.29431438127090304,176,0.705685618729097,0.4196361780232167,0,176,36.41278240463811,12.565790886363287,7.796392582708323,0.6338013678780502,0.7748008956960231,boot,0.4301639344262295
LAM,LAM@0,LAM,0.0,False,,reserved,60+,2111,1428,479,0.0,0,0.5553221288515406,0.44467787114845936,635,0.5553221288515406,0.41914755425533456,0,635,31.800056866542718,11.059277831833816,6.9111220248920375,0.5151713581984517,0.5978781747674009,boot,0.4315490288962577
LAM,LAM@0,LAM,0.0,False,,reserved,unknown,119,35,25,0.0,0,0.7714285714285715,0.22857142857142854,8,0.7714285714285715,0.21000824572253143,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395
S56,S56@0.1,ARG,0.1,False,0.755,reserved,ALL,4733,2340,779,0.2148742869216142,1017,0.5564102564102564,0.44358974358974357,1038,0.3839762611275964,0.43455595239920114,385,1423,32.52559019105263,11.296236527044124,7.050365794242423,0.5204742645711025,0.5912602607866966,boot,0.3646735685611663
S56,S56@0.1,ARG,0.1,False,0.755,reserved,<40,978,279,104,0.38139059304703476,373,0.7132616487455197,0.28673835125448033,80,0.17525773195876287,0.4764316233561637,104,184,38.92647788297711,13.38676213686458,8.278818987642072,0.5914264237707818,0.811265574991445,boot,0.3987730061349693
S56,S56@0.1,ARG,0.1,False,0.755,reserved,40-59,1525,598,174,0.2321311475409836,354,0.6086956521739131,0.3913043478260869,234,0.35359116022099446,0.4194010453283425,143,377,22.93134535367545,8.162762623927673,5.209046077978117,0.5312414772727273,0.6835855605692467,boot,0.320655737704918
S56,S56@0.1,ARG,0.1,False,0.755,reserved,60+,2111,1428,479,0.13358597820937945,282,0.5063025210084033,0.49369747899159666,705,0.41102756892230574,0.39477890927415205,133,838,30.774038140252607,10.724180806749168,6.71420934004848,0.46601015341288077,0.5491987648230691,boot,0.3917574609189957
S56,S56@0.1,ARG,0.1,False,0.755,reserved,unknown,119,35,25,0.06722689075630252,8,0.45714285714285713,0.5428571428571429,19,0.3448275862068966,0.25215702903564174,5,24,11.3125,4.368055555555555,2.9791666666666665,0.288271443790757,0.6335419828785478,CP,0.16806722689075632
S56_CONF,S56_CONF@0.1,ARG,0.1,True,0.755,reserved,ALL,4733,2340,779,0.6211705049651384,2940,0.8833333333333333,0.1166666666666667,273,0.7032608695652174,0.5231353937794223,1150,1423,75.0925182726348,25.19856657389083,15.219776234142033,0.8615964750323151,0.9027061218641758,boot,0.7709697866046905
S56_CONF,S56_CONF@0.1,ARG,0.1,True,0.755,reserved,<40,978,279,104,0.6820040899795501,667,0.8637992831541219,0.1362007168458781,38,0.3090909090909091,0.3868519672209709,146,184,73.63549587733512,24.72270404074582,14.940145673427955,0.7890819462227913,0.9280832619863014,boot,0.6993865030674846
S56_CONF,S56_CONF@0.1,ARG,0.1,True,0.755,reserved,40-59,1525,598,174,0.6904918032786885,1053,0.8913043478260869,0.10869565217391308,65,0.6632124352331606,0.48045340993771735,312,377,79.48212171442103,26.632208102016293,16.06222537953535,0.8414834656356681,0.9320989837078947,boot,0.779016393442623
S56_CONF,S56_CONF@0.1,ARG,0.1,True,0.755,reserved,60+,2111,1428,479,0.5457129322595926,1152,0.8837535014005602,0.11624649859943981,166,0.7477203647416414,0.4978104218532324,672,838,72.34648806305732,24.30171495662141,14.692760335334233,0.8571351100092965,0.9075949104344396,boot,0.8038844149692089
S56_CONF,S56_CONF@0.1,ARG,0.1,True,0.755,reserved,unknown,119,35,25,0.5714285714285714,68,0.8857142857142857,0.11428571428571432,4,0.7142857142857143,0.2451345755693582,20,24,66.20161290322581,22.29480286738351,13.513440860215052,0.7586206896551724,0.9743589743589743,boot,0.6722689075630253
CASC,CASC@0.1,LAM,0.1,False,0.835,reserved,ALL,4733,2340,779,0.22205789140080287,1051,0.6418803418803419,0.35811965811965807,838,0.49426674713337354,0.4489693740223409,146,984,41.024878376400764,14.072098324952439,8.681542314662773,0.6067312725577387,0.675304521153503,boot,0.44855271497992816
CASC,CASC@0.1,LAM,0.1,False,0.835,reserved,<40,978,279,104,0.4284253578732106,419,0.7455197132616488,0.2544802867383512,71,0.16470588235294117,0.46422791780289296,94,165,43.74461455926048,14.960362330802244,9.203511885110597,0.6301873869216852,0.8395108849307322,boot,0.4427402862985685
CASC,CASC@0.1,LAM,0.1,False,0.835,reserved,40-59,1525,598,174,0.10819672131147541,165,0.705685618729097,0.29431438127090304,176,0.6371134020618556,0.43114307224165804,0,176,36.41278240463811,12.565790886363287,7.796392582708323,0.6338013678780502,0.7748008956960231,boot,0.4301639344262295
CASC,CASC@0.1,LAM,0.1,False,0.835,reserved,60+,2111,1428,479,0.21506395073424917,454,0.5917366946778712,0.40826330532212884,583,0.4505183788878417,0.423621457238669,52,635,36.02853924991553,12.440297330780492,7.722648946953487,0.5521138271982537,0.6320948879120276,boot,0.4680246328754145
