band,referral,sens_constant,sens_oracle_bins,sens_mass
<40,0.0,0.0,0.0,0.0
<40,0.000758150113722517,0.015625,0.015625,0.015625
<40,0.001516300227445034,0.03125,0.03125,0.03125
<40,0.002274450341167551,0.046875,0.046875,0.046875
<40,0.003032600454890068,0.0625,0.0625,0.0625
<40,0.0037907505686125853,0.078125,0.078125,0.078125
<40,0.004548900682335102,0.09375,0.09375,0.09375
<40,0.00530705079605762,0.109375,0.109375,0.109375
<40,0.006065200909780136,0.125,0.125,0.125
<40,0.006823351023502654,0.125,0.140625,0.140625
<40,0.0075815011372251705,0.140625,0.15625,0.15625
<40,0.008339651250947688,0.15625,0.171875,0.171875
<40,0.009097801364670205,0.171875,0.1875,0.1875
<40,0.009855951478392721,0.1875,0.203125,0.203125
<40,0.01061410159211524,0.203125,0.21875,0.21875
<40,0.011372251705837756,0.21875,0.234375,0.21875
<40,0.012130401819560273,0.234375,0.25,0.234375
<40,0.01288855193328279,0.234375,0.265625,0.25
<40,0.013646702047005308,0.25,0.28125,0.25
<40,0.014404852160727824,0.265625,0.296875,0.265625
<40,0.015163002274450341,0.28125,0.3125,0.265625
<40,0.01592115238817286,0.28125,0.3125,0.28125
<40,0.016679302501895376,0.28125,0.328125,0.296875
<40,0.017437452615617893,0.296875,0.34375,0.296875
<40,0.01819560272934041,0.3125,0.359375,0.296875
<40,0.018953752843062926,0.3125,0.359375,0.3125
<40,0.019711902956785442,0.3125,0.375,0.328125
<40,0.02047005307050796,0.3125,0.390625,0.328125
<40,0.02122820318423048,0.328125,0.390625,0.34375
<40,0.021986353297952996,0.328125,0.40625,0.34375
<40,0.022744503411675512,0.328125,0.40625,0.34375
<40,0.02350265352539803,0.34375,0.421875,0.34375
<40,0.024260803639120546,0.359375,0.421875,0.359375
<40,0.025018953752843062,0.375,0.4375,0.359375
<40,0.02577710386656558,0.375,0.4375,0.375
<40,0.026535253980288095,0.375,0.453125,0.375
<40,0.027293404094010616,0.375,0.453125,0.375
<40,0.028051554207733132,0.375,0.46875,0.375
<40,0.02880970432145565,0.390625,0.46875,0.375
<40,0.029567854435178165,0.390625,0.46875,0.375
<40,0.030326004548900682,0.390625,0.484375,0.375
<40,0.0310841546626232,0.390625,0.484375,0.390625
<40,0.03184230477634572,0.390625,0.484375,0.390625
<40,0.032600454890068235,0.40625,0.5,0.390625
<40,0.03335860500379075,0.40625,0.5,0.40625
<40,0.03411675511751327,0.421875,0.515625,0.40625
<40,0.034874905231235785,0.421875,0.515625,0.40625
<40,0.0356330553449583,0.421875,0.53125,0.40625
<40,0.03639120545868082,0.421875,0.53125,0.421875
<40,0.037149355572403335,0.421875,0.53125,0.4375
<40,0.03790750568612585,0.421875,0.546875,0.4375
<40,0.03866565579984837,0.421875,0.546875,0.4375
<40,0.039423805913570885,0.4375,0.546875,0.453125
<40,0.0401819560272934,0.4375,0.5625,0.453125
<40,0.04094010614101592,0.453125,0.5625,0.453125
<40,0.04169825625473844,0.46875,0.5625,0.453125
<40,0.04245640636846096,0.484375,0.578125,0.46875
<40,0.043214556482183475,0.484375,0.578125,0.484375
<40,0.04397270659590599,0.484375,0.578125,0.484375
<40,0.04473085670962851,0.484375,0.59375,0.484375
<40,0.045489006823351025,0.484375,0.59375,0.484375
<40,0.04624715693707354,0.484375,0.59375,0.484375
