label,budget,a,b,band,stat,value_a,value_b,delta,ci_lo,ci_hi
comb_vs_s56,0.1,COMB@0.1,S56@0.1,<40,system_sens,0.7992831541218638,0.7132616487455197,0.08602150537634412,0.045454545454545414,0.1369448857764272
comb_vs_s56,0.1,COMB@0.1,S56@0.1,<40,referral_rate,0.5337423312883436,0.38139059304703476,0.15235173824130882,0.122751666478364,0.18282357721451692
comb_vs_s56,0.1,COMB@0.1,S56@0.1,<40,flag_rate,0.5337423312883436,0.3987730061349693,0.1349693251533743,0.10952240067624688,0.1643598617635083
comb_vs_s56,0.1,COMB@0.1,S56@0.1,40-59,system_sens,0.6923076923076923,0.6086956521739131,0.08361204013377921,0.0604649262805898,0.11009595796394901
comb_vs_s56,0.1,COMB@0.1,S56@0.1,60+,system_sens,0.646358543417367,0.5063025210084033,0.14005602240896364,0.11954193244532928,0.16158493017619935
comb_vs_s56,0.1,COMB@0.1,S56@0.1,ALL,system_sens,0.6782051282051282,0.5564102564102564,0.1217948717948718,0.10681315137905216,0.13855062807524127
comb_vs_s56,0.1,COMB@0.1,S56@0.1,ALL,referral_rate,0.18064652440312698,0.2148742869216142,-0.03422776251848722,-0.05149877503602568,-0.018081866705448753
comb_vs_s56,0.1,COMB@0.1,S56@0.1,ALL,flag_rate,0.48172406507500526,0.3646735685611663,0.11705049651383898,0.1062498288608981,0.12908277745830934
comb_vs_s56,0.1,COMB@0.1,S56@0.1,ALL,retained_macro_f1,0.47524154662637697,0.43455595239920114,0.040685594227175825,0.022608694644462014,0.058841768502843485
comb_vs_lam,0.1,COMB@0.1,LAM@0,60+,system_sens,0.646358543417367,0.5553221288515406,0.09103641456582634,0.07245013319730452,0.11073083264238023
comb_vs_lam,0.1,COMB@0.1,LAM@0,ALL,system_sens,0.6782051282051282,0.5794871794871795,0.0987179487179487,0.08004903604358764,0.11906805431975524
comb_vs_lam,0.1,COMB@0.1,LAM@0,ALL,flag_rate,0.48172406507500526,0.37080076061694484,0.11092330445806042,0.09681941715723594,0.12592816384459657
comb_vs_s56,0.15,COMB@0.15,S56@0.15,<40,system_sens,0.7992831541218638,0.7311827956989247,0.06810035842293904,0.03284187397586774,0.11336032388663964
comb_vs_s56,0.15,COMB@0.15,S56@0.15,<40,referral_rate,0.5337423312883436,0.40286298568507156,0.13087934560327202,0.10307177568028646,0.15942414431082333
comb_vs_s56,0.15,COMB@0.15,S56@0.15,<40,flag_rate,0.5337423312883436,0.42024539877300615,0.11349693251533743,0.08987493677237234,0.14056304425623287
comb_vs_s56,0.15,COMB@0.15,S56@0.15,40-59,system_sens,0.6923076923076923,0.6555183946488294,0.03678929765886285,0.019840287600188522,0.054014496053430484
comb_vs_s56,0.15,COMB@0.15,S56@0.15,60+,system_sens,0.7366946778711485,0.6043417366946778,0.13235294117647067,0.11058053621464185,0.15529382550348142
comb_vs_s56,0.15,COMB@0.15,S56@0.15,ALL,system_sens,0.7333333333333333,0.6333333333333333,0.09999999999999998,0.08488080015250016,0.1164706020181231
comb_vs_s56,0.15,COMB@0.15,S56@0.15,ALL,referral_rate,0.31523346714557365,0.30171138812592435,0.013522079019649302,-0.003362947890123919,0.02978120274388054
comb_vs_s56,0.15,COMB@0.15,S56@0.15,ALL,flag_rate,0.5191210648637228,0.4225649693640397,0.09655609549968308,0.08607219910221636,0.10764594091421227
comb_vs_s56,0.15,COMB@0.15,S56@0.15,ALL,retained_macro_f1,0.49544643635541047,0.4525291685793095,0.04291726777610094,0.02363119715572308,0.06149854137833042
comb_vs_lam,0.15,COMB@0.15,LAM@0,60+,system_sens,0.7366946778711485,0.5553221288515406,0.18137254901960786,0.15281642148443028,0.20948439804560362
comb_vs_lam,0.15,COMB@0.15,LAM@0,ALL,system_sens,0.7333333333333333,0.5794871794871795,0.15384615384615374,0.13241287450537023,0.17930570378388208
comb_vs_lam,0.15,COMB@0.15,LAM@0,ALL,flag_rate,0.5191210648637228,0.37080076061694484,0.14832030424677795,0.1334328831361478,0.16482229641713306
primary,0.2,COMB@0.2,S56@0.2,<40,system_sens,0.8458781362007168,0.7634408602150538,0.08243727598566308,0.0420160048752325,0.1312230297524415
comb_vs_s56,0.2,COMB@0.2,S56@0.2,<40,referral_rate,0.6083844580777096,0.4539877300613497,0.1543967280163599,0.12926558908924365,0.18084339467185323
comb_vs_s56,0.2,COMB@0.2,S56@0.2,<40,flag_rate,0.6083844580777096,0.4662576687116564,0.14212678936605316,0.11747409859758505,0.1678990977729613
comb_vs_s56,0.2,COMB@0.2,S56@0.2,40-59,system_sens,0.6923076923076923,0.7040133779264214,-0.01170568561872909,-0.029832516045287336,0.005384369640106783
comb_vs_s56,0.2,COMB@0.2,S56@0.2,60+,system_sens,0.7661064425770309,0.6743697478991597,0.09173669467787116,0.07361042126563656,0.11133682316741673
comb_vs_s56,0.2,COMB@0.2,S56@0.2,ALL,system_sens,0.7568376068376068,0.6927350427350427,0.0641025641025641,0.04968368775474037,0.07873265751220716
comb_vs_s56,0.2,COMB@0.2,S56@0.2,ALL,referral_rate,0.372068455525037,0.3858018170293683,-0.013733361504331298,-0.030718578586090565,0.0027662677968105643
comb_vs_s56,0.2,COMB@0.2,S56@0.2,ALL,flag_rate,0.5495457426579337,0.4793999577435031,0.07014578491443058,0.06005327609422103,0.08076344222749793
comb_vs_s56,0.2,COMB@0.2,S56@0.2,ALL,retained_macro_f1,0.500526845530997,0.4645527240724504,0.035974121458546615,0.013670007199621697,0.05710507204877987
non_inferiority,0.2,COMB@0.2,LAM@0,60+,system_sens,0.7661064425770309,0.5553221288515406,0.21078431372549022,0.17940910701630053,0.24265308785237033
comb_vs_lam,0.2,COMB@0.2,LAM@0,ALL,system_sens,0.7568376068376068,0.5794871794871795,0.17735042735042728,0.1535359463138216,0.20439368972605965
comb_vs_lam,0.2,COMB@0.2,LAM@0,ALL,flag_rate,0.5495457426579337,0.37080076061694484,0.17874498204098882,0.16231676838221218,0.19637556044403565
comb_vs_s56,0.25,COMB@0.25,S56@0.25,<40,system_sens,0.8458781362007168,0.8100358422939068,0.03584229390681004,0.00999916943521596,0.06762209948310008
comb_vs_s56,0.25,COMB@0.25,S56@0.25,<40,referral_rate,0.6083844580777096,0.5122699386503068,0.09611451942740279,0.07578626822427645,0.1173148075613592
comb_vs_s56,0.25,COMB@0.25,S56@0.25,<40,flag_rate,0.6083844580777096,0.5204498977505112,0.08793456032719837,0.06906478328722424,0.10802560788999853
comb_vs_s56,0.25,COMB@0.25,S56@0.25,40-59,system_sens,0.6923076923076923,0.7207357859531772,-0.02842809364548493,-0.04746166263115418,-0.011844331641285955
comb_vs_s56,0.25,COMB@0.25,S56@0.25,60+,system_sens,0.8235294117647058,0.7247899159663865,0.09873949579831931,0.07768309347106607,0.12179157073014242
comb_vs_s56,0.25,COMB@0.25,S56@0.25,ALL,system_sens,0.7918803418803418,0.7341880341880341,0.05769230769230771,0.042887915560999496,0.07264207334463088
comb_vs_s56,0.25,COMB@0.25,S56@0.25,ALL,referral_rate,0.4510881047961124,0.4498204098880203,0.0012676949080920874,-0.013770205313572807,0.016407863156577693
