arm,view,kind,budget,score,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,flag_rate,decision_esc_rate,decision_specificity
S56_none,S56,none,0.0,,,oof,ALL,6981,1356,818,0.0,0,0.68952802359882,0.31047197640117996,421,0.68952802359882,0.7776112023446365,0,421,7.457750588235294,3.109096993464052,2.2393662745098037,0.17017619252256125,0.17017619252256125,0.9550222222222222
S56_none,S56,none,0.0,,,oof,<40,1319,64,34,0.0,0,0.546875,0.453125,29,0.546875,0.7737332845580009,0,29,5.904359704040979,2.6017605767406566,1.9412407512805918,0.052312357846853674,0.052312357846853674,0.9729083665338646
S56_none,S56,none,0.0,,,oof,40-59,3112,397,224,0.0,0,0.6120906801007556,0.3879093198992444,154,0.6120906801007556,0.7909989745393149,0,154,5.4084032467089544,2.4397815317534297,1.8460571887623247,0.1018637532133676,0.1018637532133676,0.972744014732965
S56_none,S56,none,0.0,,,oof,60+,2512,893,559,0.0,0,0.7334826427771557,0.2665173572228443,238,0.7334826427771557,0.7659533113550447,0,238,12.921599894383961,4.893586497492405,3.287983818114093,0.3176751592356688,0.3176751592356688,0.9116738727609636
S56_none,S56,none,0.0,,,oof,unknown,38,2,1,0.0,0,1.0,0.0,0,1.0,0.3817850637522769,0,0,6.5,2.796296296296296,2.0555555555555554,0.10526315789473684,0.10526315789473684,0.9444444444444444
LAM,LAM,none,0.0,,,oof,ALL,6981,1356,818,0.0,0,0.8421828908554573,0.15781710914454272,214,0.8421828908554573,0.7670296761019679,0,214,14.70913625218914,5.47739466822339,3.631046351430239,0.25755622403667094,0.25755622403667094,0.8833777777777778
LAM,LAM,none,0.0,,,oof,<40,1319,64,34,0.0,0,0.625,0.375,24,0.625,0.7789694670479624,0,24,8.572908366533863,3.4733067729083666,2.453386454183267,0.0758150113722517,0.0758150113722517,0.952191235059761
LAM,LAM,none,0.0,,,oof,40-59,3112,397,224,0.0,0,0.8967254408060453,0.10327455919395467,41,0.8967254408060453,0.735533891951796,0,41,15.272925072940591,5.661527717425042,3.7392482463219316,0.22718508997429307,0.22718508997429307,0.8707182320441988
LAM,LAM,none,0.0,,,oof,60+,2512,893,559,0.0,0,0.8331466965285554,0.16685330347144456,149,0.8331466965285554,0.7761224981404382,0,149,18.688211062184937,6.77695782165636,4.394707173550644,0.39211783439490444,0.39211783439490444,0.8511426806670784
LAM,LAM,none,0.0,,,oof,unknown,38,2,1,0.0,0,1.0,0.0,0,1.0,0.3442100003843345,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
COMB_none,COMB,none,0.0,,,oof,ALL,6981,1356,818,0.0,0,0.8532448377581121,0.1467551622418879,199,0.8532448377581121,0.7725910579691441,0,199,14.118860501296457,5.284611005473926,3.517761106309421,0.25683999427016185,0.25683999427016185,0.8869333333333334
COMB_none,COMB,none,0.0,,,oof,<40,1319,64,34,0.0,0,0.4375,0.5625,36,0.4375,0.7683021422237154,0,36,3.5243027888446212,1.8244355909694556,1.4844621513944223,0.03184230477634572,0.03184230477634572,0.9888446215139443
COMB_none,COMB,none,0.0,,,oof,40-59,3112,397,224,0.0,0,0.8942065491183879,0.10579345088161207,42,0.8942065491183879,0.7394744365211706,0,42,15.272352346120922,5.661340665231412,3.7391383290535103,0.22654241645244216,0.22654241645244216,0.8710865561694291
COMB_none,COMB,none,0.0,,,oof,60+,2512,893,559,0.0,0,0.864501679731243,0.13549832026875697,121,0.864501679731243,0.7846846697401503,0,121,19.956462602450816,7.191167920665755,4.638108984308742,0.4140127388535032,0.4140127388535032,0.8344657195799876
COMB_none,COMB,none,0.0,,,oof,unknown,38,2,1,0.0,0,1.0,0.0,0,1.0,0.3442100003843345,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
S56,S56,band,0.1,msp,0.755,oof,ALL,6981,1356,818,0.09998567540466982,698,0.7610619469026548,0.23893805309734517,324,0.7204486626402071,0.8221968154515503,97,421,16.031627906976745,5.90931955211025,3.8848578811369507,0.24093969345365993,0.17017619252256125,0.9550222222222222
S56,S56,band,0.1,msp,0.755,oof,<40,1319,64,34,0.23654283548142532,312,0.78125,0.21875,14,0.5172413793103449,0.8766321467893688,15,29,29.17121912350597,10.200701195219123,6.406597609561754,0.2494313874147081,0.052312357846853674,0.9729083665338646
S56,S56,band,0.1,msp,0.755,oof,40-59,3112,397,224,0.08868894601542417,276,0.7581863979848866,0.24181360201511337,96,0.6666666666666666,0.8476112261590732,58,154,10.37829702097979,4.06294549170047,2.7998751858446065,0.15938303341902313,0.1018637532133676,0.972744014732965
S56,S56,band,0.1,msp,0.755,oof,60+,2512,893,559,0.04339171974522293,109,0.7603583426651735,0.23964165733482645,214,0.7452380952380953,0.7930198935690146,24,238,14.993272088354326,5.570193240977676,3.6855774715023446,0.3395700636942675,0.3176751592356688,0.9116738727609636
S56,S56,band,0.1,msp,0.755,oof,unknown,38,2,1,0.02631578947368421,1,1.0,0.0,0,1.0,0.39765807962529276,0,0,6.5,2.796296296296296,2.0555555555555554,0.10526315789473684,0.10526315789473684,0.9444444444444444
COMB,COMB,band,0.1,entropy,0.865,oof,ALL,6981,1356,818,0.09998567540466982,698,0.8761061946902655,0.12389380530973448,168,0.8676122931442081,0.7949731914196724,31,199,25.267377777777778,8.925709240553685,5.657375533108866,0.34321730411115886,0.25683999427016185,0.8869333333333334
COMB,COMB,band,0.1,entropy,0.865,oof,<40,1319,64,34,0.4836997725549659,638,0.890625,0.109375,7,0.2222222222222222,0.47964573652647047,29,36,52.63749213671629,17.864770159129563,10.910225763612218,0.4852160727824109,0.03184230477634572,0.9888446215139443
COMB,COMB,band,0.1,entropy,0.865,oof,40-59,3112,397,224,0.004177377892030848,13,0.8942065491183879,0.10579345088161207,42,0.8931297709923665,0.74595699518697,0,42,15.272352346120922,5.661340665231412,3.7391383290535103,0.22654241645244216,0.22654241645244216,0.8710865561694291
COMB,COMB,band,0.1,entropy,0.865,oof,60+,2512,893,559,0.018710191082802547,47,0.8667413213885778,0.13325867861142215,119,0.8624277456647399,0.7997672357677335,2,121,20.119130384819798,7.24429510884687,4.669328053652284,0.4160031847133758,0.4140127388535032,0.8344657195799876
COMB,COMB,band,0.1,entropy,0.865,oof,unknown,38,2,1,0.0,0,1.0,0.0,0,1.0,0.3442100003843345,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
COMB_global,COMB,global,0.1,entropy,,oof,ALL,6981,1356,818,0.09998567540466982,698,0.8746312684365781,0.12536873156342188,170,0.8357487922705314,0.8289373327832791,29,199,16.031705902192243,5.909345025295109,3.8848728499156833,0.27689442773241657,0.25683999427016185,0.8869333333333334
COMB_global,COMB,global,0.1,entropy,,oof,<40,1319,64,34,0.013646702047005308,18,0.46875,0.53125,34,0.3584905660377358,0.7730706441185065,2,36,4.0291633466135455,1.9893227091633467,1.5813545816733068,0.03639120545868082,0.03184230477634572,0.9888446215139443
COMB_global,COMB,global,0.1,entropy,,oof,40-59,3112,397,224,0.05173521850899743,161,0.8942065491183879,0.10579345088161207,42,0.8746268656716418,0.791623982361973,0,42,15.272352346120922,5.661340665231412,3.7391383290535103,0.22654241645244216,0.22654241645244216,0.8710865561694291
COMB_global,COMB,global,0.1,entropy,,oof,60+,2512,893,559,0.2054140127388535,516,0.8947368421052632,0.10526315789473684,94,0.8547140649149922,0.8579069314609126,27,121,26.62856520001453,9.370272136031682,5.918613523235112,0.46735668789808915,0.4140127388535032,0.8344657195799876
COMB_global,COMB,global,0.1,entropy,,oof,unknown,38,2,1,0.07894736842105263,3,1.0,0.0,0,,0.2784503631961259,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
CAL_S56,CAL,band,0.1,entropy,0.775,oof,ALL,6981,1356,818,0.09998567540466982,698,0.7817109144542773,0.21828908554572268,296,0.7457044673539519,0.8150871207186399,90,386,16.91790490566038,6.198777023060796,4.054951446540881,0.25311559948431456,0.17547629279472854,0.9546666666666667
CAL_S56,CAL,band,0.1,entropy,0.775,oof,<40,1319,64,34,0.27975739196360877,369,0.796875,0.203125,13,0.13333333333333333,0.44923270548190103,28,41,32.677525193344266,11.345858396479441,7.0795250371064755,0.2812736921910538,0.025018953752843062,0.9920318725099602
CAL_S56,CAL,band,0.1,entropy,0.775,oof,40-59,3112,397,224,0.09865038560411311,307,0.7783375314861462,0.22166246851385385,88,0.6716417910447762,0.83714767631707,56,144,11.072466877648445,4.289660899434004,2.933099703791116,0.16838046272493573,0.10668380462724936,0.970902394106814
CAL_S56,CAL,band,0.1,entropy,0.775,oof,60+,2512,893,559,0.00875796178343949,22,0.7816349384098544,0.21836506159014557,195,0.7781569965870307,0.7893561140144569,6,201,14.299438437891018,5.343587637964407,3.5524174779790836,0.34554140127388533,0.34076433121019106,0.8987029030265596
CAL_S56,CAL,band,0.1,entropy,0.775,oof,unknown,38,2,1,0.0,0,1.0,0.0,0,1.0,0.3817850637522769,0,0,6.5,2.796296296296296,2.0555555555555554,0.10526315789473684,0.10526315789473684,0.9444444444444444
LAM_S56,LAM,band,0.1,entropy,0.85,oof,ALL,6981,1356,818,0.09998567540466982,698,0.8657817109144543,0.13421828908554567,182,0.842832469775475,0.8059872006874473,32,214,21.16582214650767,7.58614393337119,4.8702082907438955,0.31027073485174045,0.25755622403667094,0.8833777777777778
LAM_S56,LAM,band,0.1,entropy,0.85,oof,<40,1319,64,34,0.30856709628506446,407,0.875,0.125,8,0.5789473684210527,0.9100803777436252,16,24,33.72578258394991,11.688218554354012,7.280705748434832,0.31766489764973466,0.0758150113722517,0.952191235059761
