arm,view,kind,budget,score,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate,decision_esc_rate,decision_specificity
S56_none,S56,none,0.0,,,reserved,ALL,4733,2340,779,0.0,0,0.3918803418803419,0.6081196581196582,1423,0.3918803418803419,0.4107912428541786,0,1423,11.768102713248064,4.516855094899199,3.066605571229426,0.3588280915770802,0.42651651964826276,boot,0.21529685189097825,0.21529685189097825,0.9573756790639365
S56_none,S56,none,0.0,,,reserved,<40,978,279,104,0.0,0,0.34050179211469533,0.6594982078853047,184,0.34050179211469533,0.44340675930349843,0,184,6.407318725999548,2.766026654619381,2.0377682403433477,0.21800204613420543,0.4644208139911475,boot,0.11042944785276074,0.11042944785276074,0.9814020028612304
S56_none,S56,none,0.0,,,reserved,40-59,1525,598,174,0.0,0,0.3695652173913043,0.6304347826086957,377,0.3695652173913043,0.39091819415841966,0,377,6.7795545402627075,2.887598620893881,2.1092074370201157,0.2913038804318651,0.4477618544445912,boot,0.1580327868852459,0.1580327868852459,0.9784250269687162
S56_none,S56,none,0.0,,,reserved,60+,2111,1428,479,0.0,0,0.41316526610644255,0.5868347338935574,838,0.41316526610644255,0.3788536031712928,0,838,24.15445814824925,8.562230438990495,5.4437848971387455,0.37202521793275223,0.45611468656637844,boot,0.31075319753671243,0.31075319753671243,0.9033674963396778
S56_none,S56,none,0.0,,,reserved,unknown,119,35,25,0.0,0,0.3142857142857143,0.6857142857142857,24,0.3142857142857143,0.23537308908232646,0,24,12.25,4.674242424242423,3.159090909090909,0.16851715074700252,0.49288000031517487,CP,0.11764705882352941,0.11764705882352941,0.9642857142857143
LAM,LAM,none,0.0,,,reserved,ALL,4733,2340,779,0.0,0,0.5794871794871795,0.42051282051282046,984,0.5794871794871795,0.44518357832866584,0,984,29.485349969860472,10.303296118102576,6.466885347751,0.5417024264697623,0.6156230462187554,boot,0.37080076061694484,0.37080076061694484,0.8332636857501045
LAM,LAM,none,0.0,,,reserved,<40,978,279,104,0.0,0,0.40860215053763443,0.5913978494623655,165,0.40860215053763443,0.46184795215742813,0,165,10.705443867178674,4.16979143136812,2.862660944206008,0.281354959695477,0.5373573168401948,boot,0.14519427402862986,0.14519427402862986,0.9599427753934192
LAM,LAM,none,0.0,,,reserved,40-59,1525,598,174,0.0,0,0.705685618729097,0.29431438127090304,176,0.705685618729097,0.4196361780232167,0,176,36.41278240463811,12.565790886363287,7.796392582708323,0.6338013678780502,0.7748008956960231,boot,0.4301639344262295,0.4301639344262295,0.7475728155339806
LAM,LAM,none,0.0,,,reserved,60+,2111,1428,479,0.0,0,0.5553221288515406,0.44467787114845936,635,0.5553221288515406,0.41914755425533456,0,635,31.800056866542718,11.059277831833816,6.9111220248920375,0.5151713581984517,0.5978781747674009,boot,0.4315490288962577,0.4315490288962577,0.8272327964860908
LAM,LAM,none,0.0,,,reserved,unknown,119,35,25,0.0,0,0.7714285714285715,0.22857142857142854,8,0.7714285714285715,0.21000824572253143,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
