centre,arm,macro_f1,balanced_accuracy,n_escalating|all,sensitivity|all,missed_serious|all,specificity|all,referral_rate|all,nnb_pi0.03|all,n_escalating|<40,sensitivity|<40,missed_serious|<40,specificity|<40,referral_rate|<40,nnb_pi0.03|<40,n_escalating|40-59,sensitivity|40-59,missed_serious|40-59,specificity|40-59,referral_rate|40-59,nnb_pi0.03|40-59,n_escalating|60+,sensitivity|60+,missed_serious|60+,specificity|60+,referral_rate|60+,nnb_pi0.03|60+
bcn20000,A0,0.39802650879505436,0.42711121708360833,4391,0.3828285128672284,2710,0.9631538263334192,0.2205029013539652,4.111992903288867,117,0.18803418803418803,95,0.9846014492753623,0.03194103194103194,3.647850790513834,1262,0.3510301109350238,819,0.9752781211372065,0.16770833333333332,3.277128727697526,3004,0.4044607190412783,1789,0.9249329758713136,0.3150618481688091,7.000995892128848
bcn20000,P0,0.43864322064717076,0.4403579655189267,4391,0.5989524026417673,1761,0.8397320278278794,0.3931334622823984,9.651768895228747,117,0.26495726495726496,86,0.970108695652174,0.05241605241605242,4.647703366058907,1262,0.7274167987321711,344,0.7639060568603214,0.4513888888888889,11.494264326616056,3004,0.5585885486018641,1326,0.8266309204647007,0.4540383216104778,11.035293871202187
bcn20000,PC,0.4338692910811547,0.4373696703570117,4391,0.5943976315190161,1781,0.8237567637206905,0.39821083172147004,10.587069335726365,117,0.5897435897435898,48,0.8478260869565217,0.1941031941031941,9.343100189035917,1262,0.696513470681458,383,0.8053152039555006,0.41458333333333336,10.03759750587461,3004,0.5529294274300932,1343,0.8293118856121537,0.4491874848411351,10.981229836493227
bcn20000,P1,0.4277796421431157,0.43488506200401594,4391,0.555682076975632,1951,0.8539036330842567,0.3635154738878143,9.50087257804943,117,0.5897435897435898,48,0.8478260869565217,0.1941031941031941,9.343100189035917,1262,0.6275752773375595,470,0.8603213844252163,0.35347222222222224,8.196388066907225,3004,0.5252996005326231,1426,0.8516532618409294,0.4229929662866845,10.131064499090677
bcn20000,P2,0.42760693892384166,0.434712944964429,4391,0.555682076975632,1951,0.8531306364339087,0.3638781431334623,9.54585073983805,117,0.5897435897435898,48,0.8478260869565217,0.1941031941031941,9.343100189035917,1262,0.6275752773375595,470,0.8603213844252163,0.35347222222222224,8.196388066907225,3004,0.5252996005326231,1426,0.8516532618409294,0.4229929662866845,10.131064499090677
bcn20000,P2r,0.427406635494694,0.43449151582858486,4391,0.5561375540879071,1949,0.8523576397835609,0.3644825918762089,9.583793005720345,117,0.5897435897435898,48,0.8478260869565217,0.1941031941031941,9.343100189035917,1262,0.6275752773375595,470,0.8590852904820766,0.3541666666666667,8.260072917056847,3004,0.525965379494008,1424,0.8507596067917784,0.4237205918020859,10.174442973872845
mskcc,A0,0.22505438568508632,0.4864941130980233,370,0.23513513513513515,283,0.9522946859903382,0.08193484698914116,7.559937623780702,12,0.08333333333333333,11,0.98046875,0.02099236641221374,8.578125,87,0.19540229885057472,70,0.959349593495935,0.06390328151986183,7.726446676231469,220,0.2318181818181818,169,0.9156378600823045,0.13031161473087818,12.766588665644584
mskcc,P0,0.2302202208783344,0.4905658578069874,370,0.4135135135135135,217,0.8592995169082126,0.19052319842053306,12.001612937177018,12,0.16666666666666666,10,0.96875,0.03435114503816794,7.062500000000001,87,0.4942528735632184,44,0.758130081300813,0.27979274611398963,16.822792588391,220,0.3409090909090909,145,0.8703703703703703,0.1954674220963173,13.294650205761316
mskcc,PC,0.22830293505002883,0.4854599777843804,370,0.40540540540540543,220,0.8460144927536232,0.19990128331688056,13.281199677938808,12,0.4166666666666667,7,0.880859375,0.12595419847328243,10.2453125,87,0.47126436781609193,46,0.7926829268292683,0.2469775474956822,15.223973825104107,220,0.33636363636363636,146,0.8703703703703703,0.19405099150141644,13.460794127460794
mskcc,P1,0.23281698304894594,0.49447108618723395,370,0.4027027027027027,221,0.8701690821256038,0.17966436327739388,11.424231862443126,12,0.4166666666666667,7,0.880859375,0.12595419847328243,10.2453125,87,0.3448275862068966,57,0.9004065040650406,0.13644214162348878,10.338550135501356,220,0.38636363636363635,135,0.8374485596707819,0.23229461756373937,14.603324457354956
mskcc,P2,0.22921575992596108,0.48744593319539015,370,0.3783783783783784,230,0.8665458937198067,0.17818361303060218,12.403971129514607,12,0.4166666666666667,7,0.880859375,0.12595419847328243,10.2453125,87,0.3563218390804598,56,0.8617886178861789,0.17098445595854922,13.541568318908997,220,0.33636363636363636,146,0.8703703703703703,0.19405099150141644,13.460794127460794
mskcc,P2r,0.228681325368126,0.48654503229448925,370,0.37567567567567567,231,0.8665458937198067,0.17769002961500494,12.4860140872809,12,0.4166666666666667,7,0.880859375,0.12595419847328243,10.2453125,87,0.3563218390804598,56,0.8617886178861789,0.17098445595854922,13.541568318908997,220,0.33181818181818185,147,0.8703703703703703,0.19263456090651557,13.63148993742601
